time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	35.76
0.05	0	33.57
0.06	0	32.97
0.07	0	32.02
0.08	0	30.37
0.09	0	28.36
0.1	0	25.99
0.11	0	24.26
0.12	0	30.63
0.13	0	40.02
0.14	0	46.85
0.15	0	54.31
0.16	0	64.57
0.17	126.03	71.32
0.18	125.22	74.9
0.19	126.6	76.85
0.2	130.3	77.97
0.21	133.05	78.14
0.22	134.79	77.16
0.23	135.78	74.8
0.24	135.21	70.22
0.25	0	61.99
0.26	0	48.48
0.27	0	30.09
0.28	0	25.1
0.29	0	46.6
0.3	0	59.6
0.31	0	64.45
0.32	0	64.77
0.33	165.85	67.97
0.34	162.06	73.37
0.35	157.37	75.52
0.36	155.62	75.94
0.37	154.76	75.64
0.38	153.37	74
0.39	151.3	70.45
0.4	149.84	66.5
0.41	148.88	65.54
0.42	147.65	65.68
0.43	146.51	66.17
0.44	145.57	67.1
0.45	144.3	67.76
0.46	143.07	68.34
0.47	142.29	69.42
0.48	141.78	70.3
0.49	141.11	70.8
0.5	140.04	71.3
0.51	138.8	72.14
0.52	137.61	73.18
0.53	136.45	73.74
0.54	135.06	73.67
0.55	133.73	73.37
0.56	133.01	72.78
0.57	132.1	72.28
0.58	130.98	72.37
0.59	130.2	73.11
0.6	130.22	74.61
0.61	130.71	77.14
0.62	131.39	79.82
0.63	131.62	81.36
0.64	131.19	81.62
0.65	131.13	81.89
0.66	132.07	82.37
0.67	133.32	82.77
0.68	134.57	83.1
0.69	136.02	83.21
0.7	137.4	83.3
0.71	138.26	83.27
0.72	139.19	82.92
0.73	140.27	82.57
0.74	140.2	82.52
0.75	139.09	82.08
0.76	138.46	80.51
0.77	138.76	78.77
0.78	139.17	77.9
0.79	139.74	76.94
0.8	140.14	75.15
0.81	139.74	73.28
0.82	138.84	71.8
0.83	137.2	70.18
0.84	134.43	67.03
0.85	133.27	63.53
0.86	133.2	62.71
0.87	132.4	62.66
0.88	131.16	62.54
0.89	129.99	62.35
0.9	129.65	62.59
0.91	132.09	65.86
0.92	131.45	69.89
0.93	129.18	71.26
0.94	128.57	71.27
0.95	127.53	70.77
0.96	126.64	70.23
0.97	125.79	69.69
0.98	124.02	68.76
0.99	122.09	67.44
1	120.64	66.25
1.01	119.82	65.97
1.02	119.95	66.7
1.03	120.74	68.23
1.04	122.11	70.29
1.05	123.58	72.36
1.06	124.87	74.19
1.07	126.74	75.83
1.08	128.5	77.13
1.09	130.13	78.13
1.1	131.75	79.02
1.11	133.83	79.53
1.12	136.28	79.74
1.13	138.65	79.62
1.14	140.81	79.34
1.15	142.47	79.17
1.16	144.14	78.97
1.17	145.29	78.82
1.18	144.58	78.91
1.19	142.73	79.02
1.2	139.92	79.13
1.21	136.67	79.12
1.22	133.61	79.04
1.23	130.46	78.9
1.24	126.55	78.54
1.25	120.43	77.9
1.26	114.79	76.43
1.27	109.71	74.57
1.28	105.67	72.88
1.29	104.31	71.29
1.3	104.05	69.74
1.31	103.51	67.79
1.32	0	65.16
1.33	0	59.57
1.34	0	52
1.35	0	48.38
1.36	0	45.62
1.37	0	48.9
1.38	0	54.19
1.39	0	56.44
1.4	0	59.56
1.41	0	62.27
1.42	0	63.16
1.43	0	63.15
1.44	0	63.09
1.45	0	62.67
1.46	0	62.12
1.47	0	61.12
1.48	0	60.95
1.49	0	60.95
1.5	0	61.83
1.51	0	60.55
1.52	0	55.54
1.53	0	50.1
1.54	0	47
1.55	0	45.76
1.56	0	44.39
1.57	0	43.13
1.58	0	43.96
1.59	0	43.57
1.6	0	42.01
1.61	0	42.52
1.62	0	43.1
1.63	0	41.3
1.64	0	35.54
1.65	0	24.15
1.66	0	17.63
1.67	0	22.65
1.68	0	40.09
1.69	0	52.08
1.7	0	56.04
1.71	0	55.96
1.72	0	56.34
1.73	0	57.26
1.74	0	55.99
1.75	143.58	59.91
1.76	137.29	67.41
1.77	130.44	71.49
1.78	127.32	72.81
1.79	125.63	72.58
1.8	125.02	71.96
1.81	123.92	70.53
1.82	119.47	66.7
1.83	0	59.44
1.84	0	50.47
1.85	0	46.4
1.86	0	49.4
1.87	0	55.08
1.88	0	59.25
1.89	0	63.3
1.9	0	65.9
1.91	0	65.39
1.92	0	62.36
1.93	0	59.53
1.94	0	59.14
1.95	129.08	66.82
1.96	126.1	72.79
1.97	122.76	76.22
1.98	120.9	77.7
1.99	119.51	77.92
2	118.42	77.93
2.01	117.17	77.56
2.02	115.96	76.83
2.03	115.13	75.77
2.04	115.08	74.34
2.05	115.52	72.89
2.06	115.25	71.2
2.07	114.71	68.62
2.08	112.39	64.63
2.09	0	58.5
2.1	0	49.12
2.11	0	36.87
2.12	0	34.71
2.13	0	45.88
2.14	0	50.77
2.15	0	50.25
2.16	0	53.21
2.17	138.27	61.36
2.18	135.96	66.41
2.19	134.01	68.76
2.2	134.32	70.29
2.21	134.8	71.47
2.22	134.37	72.01
2.23	132.86	71.63
2.24	130.74	70.61
2.25	128.44	69.87
2.26	126.11	69.73
2.27	123.59	70.03
2.28	120.29	70.63
2.29	116.05	71.17
2.3	111.93	70.7
2.31	106.44	68.39
2.32	101.16	65.69
2.33	96.89	63.92
2.34	93.91	61.97
2.35	92.26	59.78
2.36	90.95	57.26
2.37	0	53.75
2.38	0	48.87
2.39	0	43.28
2.4	0	38.34
2.41	0	33.43
2.42	0	30.21
2.43	0	28.04
2.44	0	25.82
2.45	0	22.92
2.46	0	21.14
2.47	0	20.53
2.48	0	0
2.49	0	0
2.5	0	0
?	?	?
