time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	29.52
0.04	0	29.63
0.05	0	29.15
0.06	0	28.53
0.07	0	28.46
0.08	0	28.65
0.09	0	29.46
0.1	0	31.1
0.11	0	32.89
0.12	0	34.25
0.13	0	36.66
0.14	0	38.99
0.15	0	40.63
0.16	0	42.25
0.17	0	44.91
0.18	0	47.01
0.19	0	47.19
0.2	0	46.06
0.21	0	48.22
0.22	0	62.5
0.23	0	70.83
0.24	139.75	74.59
0.25	138.29	75.72
0.26	136.22	75.87
0.27	134.32	76.13
0.28	132.75	76.52
0.29	131.79	76.78
0.3	131.18	76.91
0.31	130.26	76.98
0.32	128.82	76.96
0.33	127.38	76.96
0.34	126.55	76.88
0.35	125.72	76.75
0.36	124.32	76.71
0.37	121.84	76.76
0.38	118.95	76.68
0.39	116.13	76.25
0.4	113.07	75.78
0.41	109.77	75.16
0.42	107.22	73.89
0.43	105.37	72.39
0.44	104.12	71.29
0.45	103.61	70.66
0.46	103.55	70.37
0.47	103.42	70.32
0.48	103.4	69.71
0.49	102.89	67.58
0.5	102.36	64.41
0.51	103.21	60.55
0.52	104.14	58.18
0.53	103.4	57.24
0.54	101.53	55.89
0.55	0	54.15
0.56	0	51.97
0.57	0	49.23
0.58	0	47.83
0.59	0	47.74
0.6	0	47.53
0.61	0	45.05
0.62	0	42.65
0.63	0	40.73
0.64	0	38.65
0.65	0	36.47
0.66	0	35.12
0.67	0	35.55
0.68	0	36.89
0.69	0	38.09
0.7	0	37.72
0.71	0	41.46
0.72	0	53.73
0.73	0	61.63
0.74	123.56	67.28
0.75	123.61	71.23
0.76	121.35	74.08
0.77	119.41	76.28
0.78	118.59	77.53
0.79	118.05	78.17
0.8	117.88	78.4
0.81	117.57	78.26
0.82	117.01	78.22
0.83	116.23	78.65
0.84	115.56	79.28
0.85	115.92	79.82
0.86	116.28	79.87
0.87	116.79	79.76
0.88	116.7	80.53
0.89	115.8	81.37
0.9	115.14	81.79
0.91	114.65	81.67
0.92	114.74	80.98
0.93	114.16	79.43
0.94	0	76.16
0.95	0	69.67
0.96	0	57.96
0.97	0	46.21
0.98	0	49.08
0.99	0	51.03
1	0	50.66
1.01	0	52.33
1.02	0	52.95
1.03	0	54.38
1.04	0	61.2
1.05	119.14	65.42
1.06	118.4	66.59
1.07	115.2	65.81
1.08	110.42	63.14
1.09	106.2	60.22
1.1	104.83	61.12
1.11	106.19	64.31
1.12	107.63	66.51
1.13	107.93	67.31
1.14	107.65	66.31
1.15	107.15	62.94
1.16	107.22	58.92
1.17	107.53	57.83
1.18	107.91	57.91
1.19	108.49	58.04
1.2	109	58.08
1.21	109.15	58.17
1.22	109.13	60.58
1.23	109.74	66.49
1.24	110.88	70.47
1.25	111.55	72.77
1.26	111.8	73.89
1.27	111.95	74.07
1.28	112.3	74.1
1.29	112.63	74.21
1.3	112.61	74.21
1.31	112.58	74.33
1.32	112.67	74.7
1.33	112.47	75.06
1.34	111.78	75.27
1.35	110.97	75.27
1.36	110.48	75.12
1.37	109.83	74.89
1.38	109.09	74.69
1.39	108.62	74.3
1.4	107.77	73.67
1.41	106.96	73.22
1.42	105.69	72.76
1.43	104.14	71.45
1.44	103.23	69.69
1.45	102.67	68.69
1.46	101.88	67.59
1.47	100.62	65.83
1.48	100.64	64.4
1.49	0	63.5
1.5	0	61.15
1.51	0	59.67
1.52	0	59.56
1.53	0	56.51
1.54	0	52.05
1.55	0	51.05
1.56	0	54.18
1.57	0	57.83
1.58	0	61.09
1.59	0	62.11
1.6	0	61.95
1.61	0	63.05
1.62	0	64.23
1.63	0	64.32
1.64	0	61.61
1.65	0	57.45
1.66	0	53.86
1.67	0	50.51
1.68	0	53.69
1.69	0	57.33
1.7	0	59.87
1.71	114.72	61.11
1.72	112.51	61.65
1.73	111.22	61.82
1.74	0	61.86
1.75	0	62.19
1.76	0	62.18
1.77	0	63.23
1.78	0	64.54
1.79	0	65.46
1.8	0	65.3
1.81	0	65.67
1.82	0	66.15
1.83	0	66.77
1.84	0	66.88
1.85	0	68.09
1.86	0	67.57
1.87	0	67.23
1.88	0	67.34
1.89	0	68.12
1.9	0	66.6
1.91	0	63.66
1.92	0	58.81
1.93	0	57.84
1.94	0	60.82
1.95	0	62.09
1.96	0	63.02
1.97	0	61.55
1.98	0	60.68
1.99	0	58.76
2	0	57.21
2.01	0	54.31
2.02	0	49.46
2.03	0	41.97
2.04	0	34.6
2.05	0	38.41
2.06	0	51.59
2.07	0	55.87
2.08	0	52.77
2.09	0	47.5
2.1	0	44.74
2.11	0	41.91
2.12	0	41.37
2.13	0	43.07
2.14	0	42.76
2.15	0	41.07
2.16	0	40.61
2.17	0	38.96
2.18	0	38.11
2.19	0	37.36
2.2	0	0
2.21	0	0
2.22	0	0
?	?	?
