time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	25.8
0.04	0	25.07
0.05	0	25.2
0.06	0	25.53
0.07	0	26.11
0.08	0	26.55
0.09	0	26.49
0.1	0	25.79
0.11	0	24.6
0.12	0	28.04
0.13	0	50.5
0.14	0	64.1
0.15	0	70.13
0.16	0	71.9
0.17	0	70.87
0.18	0	67.43
0.19	0	62.32
0.2	0	59.37
0.21	0	57.87
0.22	0	55.81
0.23	0	52.79
0.24	0	48.28
0.25	0	44.35
0.26	0	41.42
0.27	0	45.1
0.28	0	55.6
0.29	0	62.79
0.3	0	67.76
0.31	129.73	74.84
0.32	127.06	79.59
0.33	124.93	81.79
0.34	123.4	82.52
0.35	121.19	82.25
0.36	119.05	81.51
0.37	117.48	80.67
0.38	116.33	79.8
0.39	115.05	79.06
0.4	113.74	78.49
0.41	112.61	77.75
0.42	111.62	76.64
0.43	110.28	74.69
0.44	0	71.1
0.45	0	64.76
0.46	0	55.41
0.47	0	51.78
0.48	0	57.95
0.49	0	64.95
0.5	0	70.06
0.51	0	74.42
0.52	0	76.98
0.53	0	77.28
0.54	0	77.14
0.55	0	76.93
0.56	0	76.95
0.57	0	76
0.58	0	73.41
0.59	0	73.37
0.6	129.46	78.23
0.61	126.76	81.99
0.62	123.05	83.53
0.63	120.32	83.75
0.64	117.88	83.46
0.65	115.17	82.64
0.66	112.98	82.13
0.67	110.92	81.93
0.68	108.76	82.01
0.69	106.38	82.02
0.7	103.72	81.77
0.71	101.16	81.5
0.72	98.69	80.56
0.73	0	77.38
0.74	0	70.78
0.75	0	59.08
0.76	0	51.16
0.77	0	48.72
0.78	0	47.3
0.79	0	46.55
0.8	0	45.84
0.81	0	45
0.82	0	43.72
0.83	0	41.14
0.84	0	48.19
0.85	0	63.06
0.86	0	74.46
0.87	0	79.56
0.88	0	80.56
0.89	103.24	80.79
0.9	102.83	81.68
0.91	101.54	81.79
0.92	100.59	81.61
0.93	100.63	82.07
0.94	100.84	82.46
0.95	100.93	81.97
0.96	100.88	80.43
0.97	100.92	79.01
0.98	100.98	78.19
0.99	100.13	76.63
1	96.88	74.32
1.01	0	71.96
1.02	0	71.4
1.03	0	70.87
1.04	0	69.42
1.05	0	68.57
1.06	0	67.58
1.07	0	65.31
1.08	0	62.1
1.09	0	56.74
1.1	0	47.68
1.11	0	41.44
1.12	0	45.49
1.13	0	48.61
1.14	0	55.44
1.15	0	62.07
1.16	0	66.29
1.17	107.32	70.86
1.18	101.98	73.22
1.19	98.01	73.78
1.2	97.13	73.9
1.21	96.87	73.49
1.22	96.85	72.8
1.23	96.86	72.56
1.24	97.01	72.59
1.25	97.22	73.08
1.26	97.27	74.3
1.27	96.99	75.97
1.28	96.55	77.34
1.29	95.94	77.87
1.3	95.05	77.92
1.31	94.01	78.19
1.32	93.17	78.53
1.33	92.53	78.42
1.34	91.99	78.05
1.35	91.38	77.88
1.36	90.09	78
1.37	88.71	77.17
1.38	88.17	75.3
1.39	87.9	73.48
1.4	86.32	72.4
1.41	85.4	71.34
1.42	83.22	70.22
1.43	81.85	69.38
1.44	81	68.54
1.45	0	67.01
1.46	0	62.86
1.47	0	56.65
1.48	0	53.59
1.49	0	49.19
1.5	0	38.61
1.51	0	30.75
1.52	0	29.86
1.53	0	30.34
1.54	0	30.2
1.55	0	29.93
1.56	0	30.46
1.57	0	33.13
1.58	0	36.27
1.59	0	37.33
1.6	0	36.89
1.61	0	35.68
1.62	0	34.42
1.63	0	34.55
1.64	0	35.44
1.65	0	37.08
1.66	0	37.57
1.67	0	37.15
1.68	0	37.84
1.69	0	38.53
1.7	0	38.88
1.71	0	39.7
1.72	0	40.47
1.73	0	40.29
1.74	0	40.87
1.75	0	41.24
1.76	0	40.56
1.77	0	42.21
1.78	0	43.55
1.79	0	41.36
1.8	0	39.2
1.81	0	38.62
1.82	0	39.04
1.83	0	39.07
1.84	0	38.93
1.85	0	39.77
1.86	0	40.2
1.87	0	40.62
1.88	0	0
1.89	0	0
1.9	0	0
?	?	?
