time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	25.9
0.04	0	25.97
0.05	0	25.69
0.06	0	25.99
0.07	0	27.71
0.08	0	31.7
0.09	0	35.16
0.1	0	37.94
0.11	0	41.4
0.12	0	44.01
0.13	0	47.16
0.14	0	50.17
0.15	0	51.27
0.16	0	51.36
0.17	0	51.53
0.18	0	58.57
0.19	0	67.94
0.2	110.71	72.42
0.21	109.2	74.85
0.22	107.54	77.01
0.23	106.31	79.13
0.24	105.53	80.51
0.25	104.81	80.69
0.26	103.82	80.38
0.27	102.55	80.47
0.28	100.64	80.73
0.29	98.48	80.41
0.3	95.97	79.21
0.31	92.77	77.14
0.32	89.29	73.97
0.33	85.83	69.68
0.34	0	64.46
0.35	0	58.51
0.36	0	56
0.37	0	58.59
0.38	0	62.76
0.39	0	65.3
0.4	0	66.48
0.41	0	68.02
0.42	0	69.46
0.43	0	69.56
0.44	0	68.68
0.45	0	68.72
0.46	0	68.82
0.47	0	68.26
0.48	0	68.16
0.49	0	68.45
0.5	0	68.75
0.51	0	68.44
0.52	0	67.45
0.53	0	64.9
0.54	0	62.36
0.55	0	61.31
0.56	0	64.92
0.57	111.2	69.87
0.58	105.53	71.95
0.59	101.99	72.54
0.6	99.07	72.41
0.61	98.41	72.16
0.62	98.07	72.01
0.63	96.88	71.52
0.64	94.79	69.46
0.65	0	64.57
0.66	0	56.12
0.67	0	48.74
0.68	0	51.81
0.69	0	62.15
0.7	0	69.74
0.71	96.16	74.75
0.72	96.12	77.62
0.73	96.04	78.64
0.74	93.04	79.48
0.75	92.35	80.34
0.76	92.91	80.63
0.77	94.09	80.67
0.78	93.96	80.52
0.79	93.23	79.41
0.8	90.11	76.15
0.81	0	69.06
0.82	0	57.54
0.83	0	38.81
0.84	0	27.18
0.85	0	26.66
0.86	0	27.47
0.87	0	27.57
0.88	0	27.29
0.89	0	26.76
0.9	0	25.86
0.91	0	25.74
0.92	0	25.91
0.93	0	25.61
0.94	0	25.61
0.95	0	26.47
0.96	0	28.03
0.97	0	28.71
0.98	0	29.39
0.99	0	39.55
1	0	48.52
1.01	0	51.55
1.02	0	51.86
1.03	0	52.09
1.04	0	51.18
1.05	0	50.99
1.06	0	51.27
1.07	0	51.84
1.08	0	54.35
1.09	0	64.97
1.1	99.34	71.51
1.11	85.64	74.32
1.12	84.43	75.45
1.13	83.03	74.92
1.14	0	71.43
1.15	0	62.61
1.16	0	47.96
1.17	0	30.51
1.18	0	25.67
1.19	0	27.67
1.2	0	45.89
1.21	0	58.74
1.22	0	63.65
1.23	0	62.68
1.24	0	59.14
1.25	0	62.79
1.26	0	68.1
1.27	93.09	71.15
1.28	93.86	72.65
1.29	94.21	73.56
1.3	93.78	74.5
1.31	93.8	74.85
1.32	93.92	74.63
1.33	93.61	74.24
1.34	92.9	73.91
1.35	92.21	73.55
1.36	91.63	73.09
1.37	90.95	72.65
1.38	89.67	72.42
1.39	88.77	72.45
1.4	86.58	72.4
1.41	84.85	72.06
1.42	81.65	71.55
1.43	80.81	71.2
1.44	79.27	70.88
1.45	77.86	70.5
1.46	76.42	70.16
1.47	75.76	69.86
1.48	75.16	69.38
1.49	79.98	68.88
1.5	75.47	68.39
1.51	75.26	67.93
1.52	75.47	67.91
1.53	76.02	67.19
1.54	0	64.9
1.55	0	59.61
1.56	0	54.62
1.57	0	53.08
1.58	0	52.45
1.59	0	51.91
1.6	0	52.18
1.61	76	54.66
1.62	77.49	56.67
1.63	77.25	57.33
1.64	0	56.22
1.65	0	54.61
1.66	0	53.17
1.67	0	52.31
1.68	0	51.7
1.69	0	50.9
1.7	0	50.17
1.71	0	49.29
1.72	0	48.25
1.73	0	47.8
1.74	0	47.88
1.75	0	48.15
1.76	0	48.57
1.77	0	48.31
1.78	0	47.57
1.79	0	47.14
1.8	0	46.88
1.81	0	47.06
1.82	0	47.06
1.83	0	46.53
1.84	0	45.25
1.85	0	44.89
1.86	0	0
1.87	0	0
1.88	0	0
