time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	27.23
0.05	0	27.19
0.06	0	27.57
0.07	0	28.23
0.08	0	28.62
0.09	0	30.01
0.1	0	30.68
0.11	0	29.19
0.12	0	27.29
0.13	0	26.75
0.14	0	26.22
0.15	0	25.21
0.16	0	25.01
0.17	0	29.41
0.18	0	41.22
0.19	0	47.45
0.2	0	49.48
0.21	0	50.65
0.22	0	52.83
0.23	100.6	56.13
0.24	106.08	61.51
0.25	113.24	68.27
0.26	121.5	73.71
0.27	128.42	76.29
0.28	137.11	76.82
0.29	145.16	76.99
0.3	152.45	77.28
0.31	155.22	77.24
0.32	153.02	76.96
0.33	0	76.43
0.34	0	76.18
0.35	0	76.37
0.36	0	75.27
0.37	102.71	73.65
0.38	99.57	72.05
0.39	97.45	69.09
0.4	96.24	64.28
0.41	96.78	61.11
0.42	98.93	61.11
0.43	100.14	61.99
0.44	100.25	62.62
0.45	100.09	62.28
0.46	100.22	60.93
0.47	102.96	59.63
0.48	103.48	58.69
0.49	103.22	58.6
0.5	99.45	58.72
0.51	0	57.93
0.52	0	54.16
0.53	0	50.58
0.54	0	47.58
0.55	0	50.6
0.56	0	58.81
0.57	0	58.66
0.58	0	64.4
0.59	0	71.46
0.6	0	74.27
0.61	102.37	76.56
0.62	103.2	79.02
0.63	106.49	80.68
0.64	109.75	81.3
0.65	111.23	81.05
0.66	111.71	79.7
0.67	111.28	76.48
0.68	0	70.08
0.69	0	62.25
0.7	0	53.58
0.71	0	47.99
0.72	0	47.27
0.73	0	44.78
0.74	0	42.23
0.75	0	46.54
0.76	0	52.71
0.77	0	57.63
0.78	0	58.27
0.79	0	58.07
0.8	130.55	65.18
0.81	121.46	69.93
0.82	114.29	71.77
0.83	110.01	73.04
0.84	106.58	74.5
0.85	102.68	75.11
0.86	97.96	74.36
0.87	94.59	73.64
0.88	92.37	73.97
0.89	90.17	74.12
0.9	88.32	73.38
0.91	87.96	71.8
0.92	89.28	69.79
0.93	91.22	68.64
0.94	93.09	69.17
0.95	94.71	70.53
0.96	97.34	72.34
0.97	99.95	74.16
0.98	101.68	76.16
0.99	102.61	78.49
1	103.21	80
1.01	103.92	80.78
1.02	104.43	81.36
1.03	103.77	81.42
1.04	101.79	81.28
1.05	99.68	80.89
1.06	98.49	80.06
1.07	97.11	78.75
1.08	94.91	77.25
1.09	93.4	76.65
1.1	90.55	76.03
1.11	88.49	74.78
1.12	87.38	73.13
1.13	85.64	72.09
1.14	83.66	71.94
1.15	82.55	71.7
1.16	81.32	70.89
1.17	80.47	69.28
1.18	81.11	67.85
1.19	82.26	66.7
1.2	83.64	65.73
1.21	85.29	66.71
1.22	88.99	68.46
1.23	90.94	69.36
1.24	91.53	69.25
1.25	93.02	67.16
1.26	94.17	62.72
1.27	0	56.38
1.28	0	51.75
1.29	0	48.22
1.3	0	46.31
1.31	0	47.8
1.32	0	50.87
1.33	0	54.39
1.34	0	58.47
1.35	0	60.69
1.36	0	61.16
1.37	0	62.57
1.38	0	62.9
1.39	0	62.73
1.4	0	64.31
1.41	0	64.78
1.42	0	65.15
1.43	0	65.27
1.44	0	63.71
1.45	0	61.24
1.46	0	64.32
1.47	119.72	69.79
1.48	115.91	71.39
1.49	110.97	69.57
1.5	104.87	65.69
1.51	98.8	61.44
1.52	95.6	58.34
1.53	96.32	58.33
1.54	97.77	60.47
1.55	98.34	63.34
1.56	98.7	66.65
1.57	97.63	69.34
1.58	97.52	70.75
1.59	97.9	70.95
1.6	99.03	70.22
1.61	99.55	68.65
1.62	99.27	66.11
1.63	0	60.96
1.64	0	55.04
1.65	0	51.87
1.66	0	47.47
1.67	0	47.83
1.68	0	55.71
1.69	0	60.02
1.7	0	61.91
1.71	0	62.14
1.72	0	59.8
1.73	0	59.78
1.74	109.48	63.96
1.75	105.7	66.79
1.76	101.05	68.29
1.77	97.26	68.52
1.78	95.41	67.88
1.79	94.63	67.4
1.8	95.28	67.41
1.81	97.19	68.38
1.82	98.13	70.38
1.83	98.19	71.88
1.84	97.94	72.09
1.85	95.14	71.41
1.86	92.99	70.18
1.87	91.43	68
1.88	0	63.91
1.89	0	58.49
1.9	0	56.15
1.91	0	55.55
1.92	0	55.52
1.93	0	55.93
1.94	0	57.94
1.95	0	63.07
1.96	103.54	66.72
1.97	105.13	68.04
1.98	106.63	68.59
1.99	107.59	68.93
2	107.81	69.2
2.01	107.62	69.54
2.02	106.78	69.94
2.03	105.12	70.3
2.04	102.37	70.76
2.05	100.19	71.11
2.06	97.37	70.84
2.07	94.56	70.07
2.08	92.04	68.62
2.09	86.87	67.5
2.1	82.1	67.77
2.11	77.62	67.31
2.12	76.29	66.33
2.13	76.5	64.91
2.14	78.11	62.64
2.15	80.03	58.46
2.16	80.98	54.19
2.17	0	49.68
2.18	0	46.09
2.19	0	46.45
2.2	0	45.55
2.21	0	43.74
2.22	0	41.83
2.23	0	40.65
2.24	0	39.33
2.25	0	37.95
2.26	0	35.39
2.27	0	32.95
2.28	0	32.03
2.29	0	30.47
2.3	0	26.68
2.31	0	0
2.32	0	0
2.33	0	0
?	?	?
