time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	33.17
0.04	0	33.64
0.05	0	33.94
0.06	0	33.4
0.07	0	32.88
0.08	0	32.55
0.09	0	36.61
0.1	0	57.6
0.11	0	67.84
0.12	0	69.15
0.13	0	63.57
0.14	0	57.7
0.15	0	55.55
0.16	136.84	59.47
0.17	130.75	64.9
0.18	123.84	67.64
0.19	118.92	68.71
0.2	114.7	69.02
0.21	111.84	68.82
0.22	108.66	67.99
0.23	104.43	65.91
0.24	101.95	61.66
0.25	0	54.78
0.26	0	53.78
0.27	0	61.95
0.28	0	64.96
0.29	0	65.88
0.3	0	69.34
0.31	119.46	72.22
0.32	121.75	73.96
0.33	124.54	75.97
0.34	126.55	77.86
0.35	128.75	79.15
0.36	131.35	80.22
0.37	133.42	81.21
0.38	134.19	81.99
0.39	134.11	82.53
0.4	133.51	82.79
0.41	132.43	82.87
0.42	131.41	82.74
0.43	131.04	82.39
0.44	131.01	81.75
0.45	130.2	80.45
0.46	128.26	76.91
0.47	127.86	70.12
0.48	129.91	64.92
0.49	130.74	64.5
0.5	130.27	65.88
0.51	130.11	68.36
0.52	129.38	71.04
0.53	127.43	73.15
0.54	124.14	74.69
0.55	120.32	75.81
0.56	115.38	76.25
0.57	109.5	75.26
0.58	0	72.1
0.59	0	65.3
0.6	0	52.41
0.61	0	38.54
0.62	0	34.11
0.63	0	43.74
0.64	0	59.15
0.65	0	65.92
0.66	0	65.97
0.67	0	65.79
0.68	0	67.06
0.69	0	67.53
0.7	0	67.97
0.71	0	67.5
0.72	0	66.17
0.73	0	62.71
0.74	0	63.89
0.75	0	71.17
0.76	125.4	74.71
0.77	124.06	76.14
0.78	121.87	76.85
0.79	119.78	77.25
0.8	118.97	77.56
0.81	119.09	77.63
0.82	118.72	77.6
0.83	117.78	77.44
0.84	116.85	77.09
0.85	115.81	76.62
0.86	114.7	75.66
0.87	113.02	73.6
0.88	111.55	70.8
0.89	109.8	69.23
0.9	107.24	68.73
0.91	104.18	68.1
0.92	100.98	67.32
0.93	97.24	66.36
0.94	0	65.68
0.95	0	67.32
0.96	0	69.96
0.97	0	71.61
0.98	0	70.06
0.99	0	63.37
1	0	50.6
1.01	0	35.18
1.02	0	33.27
1.03	0	48.72
1.04	0	64.91
1.05	0	70.83
1.06	0	68.62
1.07	0	61.34
1.08	0	58.21
1.09	0	56.68
1.1	0	54.96
1.11	0	57.9
1.12	0	61.15
1.13	86.97	61.26
1.14	87.21	59.89
1.15	87.32	58.77
1.16	87.04	57.94
1.17	91.53	60.95
1.18	98.6	66.78
1.19	96.58	69.87
1.2	95.24	70.41
1.21	96.36	70.09
1.22	95.89	69.78
1.23	94.78	68.72
1.24	92.72	66.26
1.25	93.65	64.5
1.26	94.84	64.54
1.27	94.85	64.59
1.28	94.18	64.46
1.29	93.51	64.77
1.3	94.54	68.25
1.31	95.11	72.03
1.32	94.46	74.39
1.33	94.67	76.23
1.34	94.85	77.27
1.35	95.24	77.6
1.36	95.38	77.93
1.37	95.04	78.02
1.38	94.91	77.6
1.39	94.78	77.08
1.4	94.09	76.45
1.41	93.32	75.02
1.42	0	71.06
1.43	0	62.29
1.44	0	63.55
1.45	84.44	68.72
1.46	85.52	71.32
1.47	88.1	72.48
1.48	88.99	72.42
1.49	88.31	70.3
1.5	85.22	65.5
1.51	82.87	58.93
1.52	0	54.84
1.53	0	53.19
1.54	0	56.71
1.55	0	66.53
1.56	89.65	73.65
1.57	90.64	76.74
1.58	92	77.77
1.59	93.19	78.35
1.6	93.87	79.33
1.61	93.99	80.29
1.62	93.5	80.82
1.63	92.79	80.82
1.64	93.3	80.25
1.65	94.07	79.07
1.66	95.02	77.26
1.67	95.26	74.32
1.68	0	68.85
1.69	0	63.53
1.7	0	66.1
1.71	0	69.77
1.72	0	70.2
1.73	0	68.58
1.74	0	68.39
1.75	0	67.61
1.76	0	64.14
1.77	0	61.4
1.78	0	59.39
1.79	0	55.37
1.8	0	51.83
1.81	0	48.99
1.82	0	49.97
1.83	0	60.18
1.84	0	67.13
1.85	0	68.67
1.86	0	69.48
1.87	0	71.42
1.88	0	70.18
1.89	0	69.24
1.9	0	70.55
1.91	0	68.6
1.92	0	66.33
1.93	0	67.52
1.94	0	66.62
1.95	0	61.67
1.96	0	60.4
1.97	0	60.05
1.98	0	58.65
1.99	0	57.59
2	0	56.13
2.01	0	50.8
2.02	0	47.57
2.03	0	47.36
2.04	0	46.3
2.05	0	46.18
2.06	0	47.12
2.07	0	48.2
2.08	0	48.81
2.09	0	47.82
2.1	0	46.47
2.11	0	46.41
2.12	0	46.58
2.13	0	45.87
2.14	0	45.53
2.15	0	45.42
2.16	0	45
2.17	0	44.69
2.18	0	44.77
2.19	0	0
2.2	0	0
?	?	?
