time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	29.93
0.04	0	29.18
0.05	0	28.01
0.06	0	27.53
0.07	0	28.4
0.08	0	30
0.09	0	32.57
0.1	0	35.79
0.11	0	40.35
0.12	0	44.29
0.13	0	45.03
0.14	0	45.38
0.15	0	47.34
0.16	0	49.98
0.17	0	57.61
0.18	0	72.25
0.19	82.41	79.12
0.2	82.6	81.25
0.21	82.08	81.91
0.22	79.84	81.28
0.23	83.39	80.31
0.24	83.72	80
0.25	83.31	78.89
0.26	85.32	77.93
0.27	85.08	76.04
0.28	0	71.56
0.29	0	62.85
0.3	0	48.99
0.31	0	38.44
0.32	0	46.02
0.33	0	56.16
0.34	0	63.31
0.35	0	67.96
0.36	0	70.08
0.37	0	69.38
0.38	0	65.42
0.39	0	60.66
0.4	0	56.47
0.41	0	53.82
0.42	0	56.12
0.43	0	66.14
0.44	0	73.38
0.45	83.31	76.4
0.46	85.61	77.94
0.47	85.97	78.46
0.48	85.2	78.06
0.49	84.3	77.42
0.5	83.83	76.99
0.51	83.87	76.62
0.52	84.05	75.99
0.53	83.88	74.84
0.54	83.51	72.61
0.55	83.4	68.09
0.56	81.41	62.27
0.57	80.58	57.69
0.58	0	53.46
0.59	0	48.95
0.6	0	44.72
0.61	0	42.05
0.62	0	50.63
0.63	0	59.41
0.64	0	61.17
0.65	91.33	63.39
0.66	87.31	66.13
0.67	83.53	67.34
0.68	81.06	67.53
0.69	79.92	67.07
0.7	78.34	66.02
0.71	76.47	64.1
0.72	0	61.55
0.73	0	58.78
0.74	0	55.76
0.75	0	54.46
0.76	0	54.94
0.77	0	54.51
0.78	0	53.67
0.79	0	54.95
0.8	0	62.13
0.81	0	71.76
0.82	0	79.38
0.83	79.63	81.99
0.84	81.92	82.1
0.85	83	82.29
0.86	83.15	82.52
0.87	83.16	82.76
0.88	82.64	82.33
0.89	82.01	81.04
0.9	80.91	79.05
0.91	80.18	76.52
0.92	80.69	73.6
0.93	80.95	68.91
0.94	0	61.4
0.95	0	59.64
0.96	0	65.22
0.97	0	69.52
0.98	0	70.71
0.99	0	70.24
1	0	68.69
1.01	0	65.07
1.02	0	60.67
1.03	0	57.48
1.04	0	57.13
1.05	0	51.65
1.06	0	48.85
1.07	0	56.25
1.08	0	59.72
1.09	0	58.78
1.1	0	54.63
1.11	0	55.81
1.12	0	57.45
1.13	0	55.9
1.14	0	60.38
1.15	0	72.65
1.16	87	78.34
1.17	80.53	80.78
1.18	77.96	82.01
1.19	77.89	82.39
1.2	77.92	81.77
1.21	78.49	80.44
1.22	79.91	78.66
1.23	80.69	77.62
1.24	80.36	77.68
1.25	79.09	76.74
1.26	0	74.16
1.27	0	68.87
1.28	0	60
1.29	0	49.08
1.3	0	37.12
1.31	0	31.82
1.32	0	35.14
1.33	0	51.15
1.34	0	58.98
1.35	0	59.48
1.36	0	55.56
1.37	0	54.47
1.38	0	62.33
1.39	0	69.67
1.4	0	72.21
1.41	0	71.56
1.42	76.67	71.02
1.43	0	69.77
1.44	0	68.52
1.45	0	68.21
1.46	0	67.84
1.47	0	66.6
1.48	0	64.82
1.49	0	63.32
1.5	0	61.26
1.51	0	57.8
1.52	0	51.92
1.53	0	40.91
1.54	0	30.03
1.55	0	26.15
1.56	0	41.7
1.57	0	54.29
1.58	0	58.61
1.59	0	58.39
1.6	0	58.61
1.61	0	57.95
1.62	0	54.94
1.63	0	54.02
1.64	0	60.72
1.65	80.69	64.32
1.66	0	64.52
1.67	0	61.67
1.68	0	57.64
1.69	0	54.72
1.7	75.01	54.46
1.71	75.12	54.84
1.72	75.2	55.14
1.73	0	55.34
1.74	0	55.83
1.75	0	56.14
1.76	0	56.05
1.77	0	55.56
1.78	0	56.12
1.79	0	60.6
1.8	0	64.55
1.81	0	66.9
1.82	0	68.02
1.83	0	68.47
1.84	0	68.65
1.85	0	67.65
1.86	0	66.4
1.87	0	66.51
1.88	0	66.19
1.89	0	65.33
1.9	0	64.79
1.91	76.05	64.58
1.92	76.51	64.02
1.93	75.57	63.51
1.94	75.51	64.09
1.95	75.81	64.41
1.96	76	64.27
1.97	0	63.27
1.98	0	59.63
1.99	0	50.5
2	0	44.82
2.01	0	44.94
2.02	0	51.4
2.03	0	55.34
2.04	0	54.52
2.05	0	51.61
2.06	0	50.15
2.07	0	49.01
2.08	0	47.2
2.09	0	46.22
2.1	0	44.81
2.11	0	42.3
2.12	0	40.46
2.13	0	38.84
2.14	0	36.25
2.15	0	0
2.16	0	0
2.17	0	0
?	?	?
