time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	38.68
0.04	0	38.74
0.05	0	38.98
0.06	0	39.43
0.07	0	40.76
0.08	0	43.95
0.09	0	46.59
0.1	0	47.88
0.11	0	50.07
0.12	0	60.68
0.13	0	70.7
0.14	0	74.51
0.15	90.83	74.51
0.16	90.98	73.93
0.17	89.66	73.61
0.18	87.83	73.03
0.19	85.78	71.79
0.2	82.38	69.03
0.21	80.32	64.16
0.22	0	59.67
0.23	0	57.61
0.24	0	56.06
0.25	0	54.4
0.26	0	55.79
0.27	0	65.72
0.28	0	70.14
0.29	0	69.88
0.3	0	70.26
0.31	0	71.51
0.32	0	72.68
0.33	0	72.89
0.34	86.36	72.99
0.35	87.43	74.35
0.36	88.95	76.14
0.37	91	77.37
0.38	93.13	78.42
0.39	94.52	79.95
0.4	95.45	81.08
0.41	96.18	81.18
0.42	96.85	81.09
0.43	97.39	80.9
0.44	97.96	80.18
0.45	98.39	79.49
0.46	98.63	78.86
0.47	98.46	78.62
0.48	97.83	78.71
0.49	97.1	78.79
0.5	96.45	78.81
0.51	95.52	78.72
0.52	94.3	78.62
0.53	93.04	78.92
0.54	91.98	79.59
0.55	90.63	79.92
0.56	88.64	79.76
0.57	86.21	78.8
0.58	83.96	76.76
0.59	0	72.4
0.6	83.87	63.73
0.61	82.56	59.7
0.62	80.96	59.59
0.63	0	59.2
0.64	0	58.64
0.65	0	57.68
0.66	0	55.86
0.67	0	59.48
0.68	0	68.62
0.69	0	72.98
0.7	91.82	75.17
0.71	91.75	76.58
0.72	92.49	76.59
0.73	95.83	76.01
0.74	98.52	75.39
0.75	100.41	75.14
0.76	102.44	74.86
0.77	103.29	73.78
0.78	102.62	71.61
0.79	102.63	68.43
0.8	0	63.88
0.81	0	56.29
0.82	0	47.01
0.83	0	40.52
0.84	0	38.11
0.85	0	37.94
0.86	0	37.82
0.87	0	37.11
0.88	0	41.3
0.89	0	59.6
0.9	0	69.13
0.91	0	69.72
0.92	0	62.88
0.93	0	55.4
0.94	0	51.11
0.95	0	50.37
0.96	0	51
0.97	0	51.39
0.98	0	51.6
0.99	0	51.03
1	0	49.53
1.01	0	46.99
1.02	0	44.74
1.03	0	43.78
1.04	0	45.67
1.05	0	53.95
1.06	93.82	60.6
1.07	94.58	63.71
1.08	92.76	64.06
1.09	89.3	62.7
1.1	86.51	61.09
1.11	83.38	60.63
1.12	0	65.95
1.13	86.14	73.1
1.14	85.68	77.51
1.15	84.65	80.04
1.16	84.1	81.07
1.17	84.05	81.65
1.18	83.66	82.2
1.19	83.01	82.35
1.2	82.22	82.36
1.21	81.3	82.3
1.22	80.5	82.04
1.23	79.7	81.52
1.24	78.3	80.61
1.25	76.7	79.69
1.26	76.6	79.55
1.27	76.37	79.71
1.28	82.19	80.27
1.29	86.32	80.58
1.3	84	80.23
1.31	82.57	79.78
1.32	81.78	79.74
1.33	80.42	79.28
1.34	80.02	75.83
1.35	0	72.43
1.36	0	69.62
1.37	0	62.57
1.38	0	54.38
1.39	0	48.09
1.4	0	45.89
1.41	0	48.3
1.42	0	52.3
1.43	0	57.09
1.44	0	61.25
1.45	0	62.19
1.46	0	61.06
1.47	0	59.92
1.48	0	59
1.49	0	57.41
1.5	0	54.69
1.51	0	51.69
1.52	0	49.02
1.53	0	47.49
1.54	0	46.78
1.55	0	46.09
1.56	0	45.8
1.57	0	45.76
1.58	0	45.6
1.59	0	0
1.6	0	0
1.61	0	0
?	?	?
