time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	29.8
0.05	0	29.25
0.06	0	28.5
0.07	0	28.52
0.08	0	29.2
0.09	0	29.32
0.1	0	30.02
0.11	0	32.82
0.12	0	37.66
0.13	0	43.35
0.14	0	49.12
0.15	0	52.99
0.16	0	61.68
0.17	0	71.12
0.18	0	74.99
0.19	111.84	76.32
0.2	110.72	77.33
0.21	110.55	78.25
0.22	110.2	78.85
0.23	109.92	79.01
0.24	109.31	79.06
0.25	109.5	79.01
0.26	111.83	78.85
0.27	113.39	79.39
0.28	114.97	79.87
0.29	116.51	78.87
0.3	117.35	76.54
0.31	117.65	73.02
0.32	0	67.64
0.33	0	59.64
0.34	0	48.77
0.35	0	39.33
0.36	0	48.71
0.37	0	58.13
0.38	0	62.19
0.39	0	61.52
0.4	0	56.51
0.41	0	59.32
0.42	0	69.63
0.43	127.6	75.11
0.44	127.89	76.26
0.45	127.78	74.07
0.46	0	70.47
0.47	0	66.41
0.48	0	60.69
0.49	0	54.17
0.5	0	43.04
0.51	0	32.29
0.52	0	29.79
0.53	0	28.69
0.54	0	34.07
0.55	0	55.33
0.56	0	64.62
0.57	0	65.76
0.58	0	61.14
0.59	0	58.38
0.6	0	59.06
0.61	0	60.92
0.62	0	69.31
0.63	0	75.19
0.64	111.62	76.63
0.65	112.66	76.63
0.66	112.45	76.79
0.67	111.9	76.98
0.68	110.97	77.02
0.69	108.91	76.47
0.7	0	73.83
0.71	0	66.85
0.72	0	54.08
0.73	0	45.52
0.74	0	47.38
0.75	0	49.71
0.76	0	55.34
0.77	0	59.26
0.78	0	58.92
0.79	0	56.69
0.8	0	62.92
0.81	0	68.48
0.82	112.96	68.03
0.83	110.57	64.98
0.84	108.76	63.39
0.85	105.9	61.73
0.86	102.91	59.46
0.87	0	56.54
0.88	0	53.77
0.89	0	56.11
0.9	0	62.59
0.91	0	67.95
0.92	0	69.54
0.93	0	69.39
0.94	0	70.9
0.95	0	71.11
0.96	0	69.37
0.97	0	66.02
0.98	0	60.96
0.99	0	54.89
1	0	55.55
1.01	0	65.74
1.02	116.09	72.23
1.03	110.51	74.18
1.04	106.78	73.68
1.05	105.7	72.54
1.06	105.25	71.29
1.07	105.62	69.99
1.08	105.31	68.41
1.09	102.68	65.77
1.1	99.63	62.02
1.11	0	58.24
1.12	0	59.29
1.13	0	63.24
1.14	0	64.59
1.15	0	64.75
1.16	0	63.45
1.17	0	60.92
1.18	0	59.29
1.19	0	57.08
1.2	0	54.2
1.21	0	54.4
1.22	0	59.02
1.23	0	60.98
1.24	105.22	60.43
1.25	104.98	59.44
1.26	106.68	58.97
1.27	108.04	58.92
1.28	110.84	58.42
1.29	0	56.49
1.3	0	53.99
1.31	0	50.09
1.32	0	46.2
1.33	0	49.19
1.34	0	51.5
1.35	0	52.18
1.36	0	53.21
1.37	0	55.48
1.38	0	57.5
1.39	0	59.82
1.4	0	61.91
1.41	106.17	63.38
1.42	107.57	66.3
1.43	108.07	67.5
1.44	104.13	67.35
1.45	100.84	65.92
1.46	96.95	63.15
1.47	93.15	61.54
1.48	0	62.81
1.49	0	64.01
1.5	0	64.35
1.51	0	63.69
1.52	0	60.87
1.53	0	61.94
1.54	104.82	66.2
1.55	103.36	69.69
1.56	101.64	71.59
1.57	100.62	71.92
1.58	100.34	71.77
1.59	99.83	71.12
1.6	98.87	68.59
1.61	98.63	63.92
1.62	100.17	60.93
1.63	100.48	60.22
1.64	100.76	59.79
1.65	100.83	59.42
1.66	100.58	58.97
1.67	100.58	58.66
1.68	101.33	59.81
1.69	101.98	62.39
1.7	101.32	63.62
1.71	100.49	63.59
1.72	99.6	63.32
1.73	98.92	63.47
1.74	99.01	63.6
1.75	98.25	63.58
1.76	97.16	62.68
1.77	94.9	60.64
1.78	0	59.57
1.79	0	62.55
1.8	0	67.17
1.81	0	68.74
1.82	0	69.66
1.83	0	70.96
1.84	0	71.99
1.85	0	70.3
1.86	0	63.29
1.87	0	53.29
1.88	0	40.1
1.89	0	29.13
1.9	0	28.87
1.91	0	39.65
1.92	0	52.85
1.93	0	56.24
1.94	0	59.54
1.95	118.8	67.78
1.96	115.76	71.71
1.97	110.16	72.29
1.98	106.31	71.17
1.99	103.79	68.5
2	101.65	63.39
2.01	100.05	59.73
2.02	98.26	57.82
2.03	0	54.58
2.04	0	51.24
2.05	0	57.36
2.06	0	67.73
2.07	0	73.73
2.08	0	75.25
2.09	0	72.79
2.1	0	68.88
2.11	0	65.35
2.12	0	60.48
2.13	0	55.23
2.14	0	51.59
2.15	0	51.08
2.16	0	49.23
2.17	0	43.33
2.18	0	39.48
2.19	0	36.95
2.2	0	40.86
2.21	0	52.35
2.22	0	56.27
2.23	0	57.43
2.24	0	66.14
2.25	119.41	72.07
2.26	107.42	74.21
2.27	100.71	74.68
2.28	97.9	74.16
2.29	95.88	72.42
2.3	93.72	70.24
2.31	91.7	67.6
2.32	89.98	63.05
2.33	0	55.99
2.34	0	50.72
2.35	0	50.57
2.36	0	50
2.37	0	49.75
2.38	0	52.27
2.39	0	55.63
2.4	0	55.05
2.41	0	53.32
2.42	0	0
2.43	0	0
2.44	0	0
