time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	33.68
0.05	0	33.45
0.06	0	33.39
0.07	0	34.6
0.08	0	36.87
0.09	0	35.71
0.1	0	34.66
0.11	0	37.09
0.12	0	42.26
0.13	0	47.07
0.14	0	52.59
0.15	0	56.01
0.16	0	56.88
0.17	0	58.73
0.18	0	61
0.19	0	62.88
0.2	0	66.01
0.21	0	71.06
0.22	122.59	76.21
0.23	121.24	79.24
0.24	122.31	80.12
0.25	124.5	79.87
0.26	128.13	79.59
0.27	132.35	79.66
0.28	136.83	79.79
0.29	140.27	79.83
0.3	142.6	77.5
0.31	148.42	71.41
0.32	156.47	67.08
0.33	161.47	66.56
0.34	164.97	66.61
0.35	168.89	67.42
0.36	174.06	71.22
0.37	175.89	76.1
0.38	176.21	78.51
0.39	175.76	78.77
0.4	174.53	77.36
0.41	172.62	73.49
0.42	175.1	69.08
0.43	177.39	68.39
0.44	179.87	70.01
0.45	178.07	73.31
0.46	176.02	74.98
0.47	175.32	75.21
0.48	174.68	74.91
0.49	173.89	74.12
0.5	172.47	72.81
0.51	170.4	70.89
0.52	166.43	67.43
0.53	0	60.74
0.54	0	50.34
0.55	0	48.5
0.56	0	60.68
0.57	0	68.37
0.58	0	72.23
0.59	0	74.26
0.6	0	75.54
0.61	0	75.03
0.62	0	73.61
0.63	0	71.47
0.64	0	66.88
0.65	0	64.28
0.66	175.66	71.21
0.67	172.01	76.65
0.68	168.93	78.72
0.69	167.41	79.75
0.7	166.66	80.44
0.71	166.55	80.57
0.72	166.79	80.27
0.73	168.05	79.32
0.74	170.23	78.18
0.75	172.12	77.66
0.76	172.89	77.16
0.77	172.13	75.12
0.78	170.32	70.17
0.79	0	61.38
0.8	0	55.19
0.81	0	58.99
0.82	0	61.55
0.83	0	62.63
0.84	0	62.88
0.85	141.28	63.48
0.86	140.48	67.41
0.87	138.33	70.36
0.88	135.46	71.47
0.89	132.09	71.05
0.9	129.23	69.47
0.91	127.16	67.17
0.92	125.51	65.39
0.93	123.7	64.66
0.94	121.52	63.62
0.95	118.59	61.84
0.96	116.05	59.13
0.97	0	55.93
0.98	0	58.05
0.99	0	61.92
1	113.33	63.37
1.01	112.61	64.63
1.02	112.08	65.39
1.03	110.71	65.93
1.04	110.02	66.44
1.05	110.34	67.05
1.06	110.8	67.74
1.07	111.19	68.84
1.08	111.92	70.14
1.09	112.58	71.53
1.1	112.46	72.83
1.11	112.51	73.65
1.12	112.29	73.57
1.13	110.76	72.97
1.14	109.4	73.09
1.15	108.81	73.88
1.16	108.12	74.71
1.17	106.25	74.33
1.18	102.8	71.19
1.19	102.63	66.54
1.2	103.3	64.57
1.21	102.63	64.36
1.22	112.97	67.21
1.23	116.38	70.27
1.24	113.72	72.27
1.25	110.31	74.97
1.26	107.96	78.42
1.27	107.07	81.32
1.28	107.27	82.46
1.29	106.97	82.03
1.3	106.44	81.52
1.31	105.93	80.92
1.32	106.16	79.86
1.33	105.75	78.14
1.34	104.09	74.45
1.35	102.07	68.88
1.36	100.59	62.6
1.37	0	54.54
1.38	0	42.73
1.39	0	34.03
1.4	0	32.73
1.41	0	32.28
1.42	0	32.42
1.43	0	32.99
1.44	0	37.27
1.45	0	45.23
1.46	0	50.06
1.47	0	56.67
1.48	0	67.92
1.49	0	74.84
1.5	106.64	77.41
1.51	106.99	78.74
1.52	107.12	80.19
1.53	105.8	80.79
1.54	104.88	80.51
1.55	104.29	79.92
1.56	103.23	79.29
1.57	102.28	77.85
1.58	100.62	74.63
1.59	98.51	69.65
1.6	0	65.32
1.61	0	68.23
1.62	0	70.54
1.63	0	69.37
1.64	0	68.4
1.65	0	66.45
1.66	0	61.5
1.67	0	59.15
1.68	108.69	63.99
1.69	108.16	66.46
1.7	104.57	65.91
1.71	102.33	63.72
1.72	100.69	60.55
1.73	0	56.37
1.74	0	50.62
1.75	0	48.59
1.76	0	45.99
1.77	0	40.16
1.78	0	41.92
1.79	0	55.51
1.8	0	62.37
1.81	0	65
1.82	0	64.03
1.83	0	60.21
1.84	0	56.02
1.85	0	61.46
1.86	0	68.9
1.87	0	71.9
1.88	0	70.96
1.89	0	64.91
1.9	0	52.26
1.91	0	47.25
1.92	0	61.4
1.93	103.29	71.12
1.94	103.43	75.08
1.95	103.82	76.5
1.96	104.25	77.49
1.97	104.22	78.71
1.98	104.04	79.53
1.99	104.14	79.42
2	104.28	78.84
2.01	105.77	78.42
2.02	106.2	78.21
2.03	107.12	77.79
2.04	109.37	77.25
2.05	113.52	76.3
2.06	116.16	74.91
2.07	119.24	73.76
2.08	121.88	72.7
2.09	124.42	70.44
2.1	126.73	66.36
2.11	0	61
2.12	0	55.96
2.13	0	51.34
2.14	0	45.88
2.15	0	40.85
2.16	0	38.31
2.17	0	38.26
2.18	0	38.68
2.19	0	36.85
2.2	0	34.93
2.21	0	33.73
2.22	0	0
2.23	0	0
2.24	0	0
?	?	?
