time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	45.92
0.04	0	46.03
0.05	0	47.52
0.06	0	50.67
0.07	0	54.35
0.08	0	57.66
0.09	0	58.58
0.1	0	59.54
0.11	0	58.65
0.12	0	57.04
0.13	0	58.94
0.14	114.7	67.08
0.15	112.65	72.25
0.16	108.64	73.78
0.17	106.03	73.42
0.18	105.63	72.91
0.19	105.77	73.11
0.2	105.97	73.8
0.21	106.26	74.31
0.22	106.9	74.65
0.23	107.44	75.03
0.24	107.33	75.06
0.25	107.12	75.2
0.26	108.16	75.93
0.27	109.92	77.22
0.28	110.99	78.46
0.29	111.87	79.02
0.3	113.73	79.16
0.31	115.38	78.19
0.32	116.33	74.79
0.33	121.69	71.28
0.34	125.54	71.16
0.35	127.27	71.66
0.36	128.74	71.98
0.37	129.22	71.92
0.38	128.01	71.41
0.39	129.13	72.09
0.4	130.04	75.65
0.41	129.7	78.28
0.42	128.68	79.12
0.43	127.09	78.88
0.44	123.95	77.67
0.45	121.1	75.54
0.46	116.86	72.77
0.47	0	69.57
0.48	0	69.39
0.49	0	73.58
0.5	0	76.15
0.51	0	76.06
0.52	0	76.04
0.53	0	73.45
0.54	0	64.88
0.55	0	51.98
0.56	0	42.2
0.57	0	52.09
0.58	0	65.97
0.59	0	70.99
0.6	0	71.13
0.61	140.44	75.86
0.62	140.35	81.05
0.63	139.85	83.3
0.64	138.96	83.72
0.65	138.6	83.71
0.66	138.8	83.79
0.67	139.13	83.86
0.68	138.27	83.6
0.69	137.35	82.59
0.7	136.57	80.44
0.71	0	75.19
0.72	0	64.74
0.73	0	56.79
0.74	0	57.01
0.75	120.79	58.14
0.76	121	61.87
0.77	122.05	66.59
0.78	122.65	69.19
0.79	121.34	70.01
0.8	118.23	69.28
0.81	114.61	67.8
0.82	111.99	66.46
0.83	110.52	65.48
0.84	109.24	64.7
0.85	108.1	63.81
0.86	106.49	62.49
0.87	0	59.72
0.88	0	53.88
0.89	0	45.31
0.9	0	39.44
0.91	0	39.5
0.92	0	54.91
0.93	0	67.41
0.94	0	70.79
0.95	0	66.94
0.96	0	60.89
0.97	0	63.47
0.98	143.07	71.3
0.99	143.53	76.27
1	143.67	78.51
1.01	142.82	78.92
1.02	142.2	78.2
1.03	141.63	76.99
1.04	140.98	76
1.05	140.32	75.41
1.06	139.6	75.35
1.07	138.79	75.6
1.08	137.65	75.78
1.09	135.86	75.77
1.1	133.86	75.55
1.11	130.16	75.12
1.12	126.74	74.32
1.13	0	74.74
1.14	0	78
1.15	0	77.46
1.16	0	71.89
1.17	0	66.26
1.18	0	62.25
1.19	0	59.51
1.2	0	57.09
1.21	0	55.2
1.22	0	58.37
1.23	124.23	65.43
1.24	122.01	68.59
1.25	118.78	68.78
1.26	116.92	68.67
1.27	115.68	70.4
1.28	113.84	72.28
1.29	112.54	72.88
1.3	111.23	72.43
1.31	108.72	71.7
1.32	107.36	71.42
1.33	106.29	71.68
1.34	105.63	72.38
1.35	105.51	73.27
1.36	105.02	73.92
1.37	104.71	74.07
1.38	104.27	73.56
1.39	103.42	71.84
1.4	0	67.57
1.41	0	59.03
1.42	0	51.4
1.43	0	48.2
1.44	0	43.95
1.45	0	43.86
1.46	0	56.91
1.47	0	63.36
1.48	0	66.29
1.49	130.3	72.71
1.5	125.05	76.42
1.51	119.22	77.42
1.52	117.86	77.91
1.53	118.04	78.38
1.54	118.21	78.17
1.55	0	77.39
1.56	0	76.55
1.57	0	71.15
1.58	0	61.32
1.59	0	51.91
1.6	0	48.43
1.61	0	46.04
1.62	0	40.34
1.63	0	37.49
1.64	0	44.74
1.65	0	54.65
1.66	0	60.22
1.67	0	61.93
1.68	0	63.39
1.69	122.28	64.88
1.7	120.72	65.95
1.71	118.86	66.63
1.72	0	64.97
1.73	0	62.76
1.74	0	58.52
1.75	0	55.37
1.76	0	53.71
1.77	0	51.51
1.78	0	58.64
1.79	0	69.27
1.8	119.8	76.26
1.81	117.35	79.57
1.82	115.69	80.49
1.83	115.67	80.51
1.84	115.69	80.72
1.85	115.24	80.85
1.86	114.78	80.93
1.87	114.61	81.1
1.88	113.71	81.33
1.89	113.04	81.15
1.9	112.92	80.62
1.91	112.68	80.4
1.92	111.65	80.14
1.93	0	79.3
1.94	0	78.37
1.95	0	76.15
1.96	0	70.55
1.97	0	67.61
1.98	106.99	70.64
1.99	105.33	71.88
2	106.16	71.64
2.01	104.78	70.07
2.02	0	67.65
2.03	0	64.86
2.04	0	58.04
2.05	0	46.21
2.06	0	38.49
2.07	0	37.87
2.08	0	39.49
2.09	0	41.08
2.1	0	42.08
2.11	0	41.97
2.12	0	40.7
2.13	0	38.75
2.14	0	36.88
2.15	0	36.74
2.16	0	42.23
2.17	0	48.34
2.18	0	50.85
2.19	0	53.43
2.2	0	53.7
2.21	0	54.54
2.22	0	55.75
2.23	0	55.13
2.24	0	54.35
2.25	0	53.95
2.26	0	53.49
2.27	0	52.51
2.28	0	51.98
2.29	0	51.89
2.3	0	52.14
2.31	0	51.18
2.32	0	49.2
2.33	0	47.19
2.34	0	46.38
2.35	0	47.01
2.36	0	0
2.37	0	0
2.38	0	0
?	?	?
