time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	25.36
0.05	0	24.88
0.06	0	24.23
0.07	0	24.53
0.08	0	24.52
0.09	0	26.29
0.1	0	26.57
0.11	0	24.11
0.12	0	23.53
0.13	0	28.48
0.14	0	34.35
0.15	0	37.83
0.16	0	51.82
0.17	0	63.67
0.18	93.8	69.31
0.19	101.01	71.9
0.2	104.14	73.17
0.21	102.61	72.75
0.22	103.67	71.87
0.23	104.6	72.04
0.24	104.99	72.93
0.25	105.07	73.76
0.26	104.57	73.79
0.27	103.12	72.1
0.28	100.77	68.49
0.29	98.53	63.75
0.3	0	59.29
0.31	0	57.55
0.32	0	57.83
0.33	0	56.88
0.34	0	53.53
0.35	0	47.23
0.36	0	44.77
0.37	0	55.97
0.38	110.66	66.66
0.39	111.4	73.76
0.4	112.47	78.03
0.41	113.22	80.49
0.42	114.09	81.74
0.43	115.13	82.06
0.44	116.19	82.11
0.45	116.49	82.22
0.46	117.23	82.39
0.47	118.22	82.69
0.48	117.91	82.91
0.49	116.57	82.66
0.5	114.79	81.7
0.51	112.57	79.82
0.52	109.42	76.64
0.53	106.25	72.2
0.54	103.85	68.97
0.55	101.77	68.04
0.56	100.28	68.32
0.57	99.92	70
0.58	101.36	74.29
0.59	102.9	78.87
0.6	103.47	81.52
0.61	103.67	82.81
0.62	103.99	82.99
0.63	104.99	82.88
0.64	106.6	82.3
0.65	108.32	81
0.66	110.27	79.19
0.67	111.8	76.86
0.68	112.14	74.58
0.69	111.98	72.08
0.7	111.13	67.86
0.71	0	60.99
0.72	0	48.8
0.73	0	34.14
0.74	0	38.13
0.75	0	39.58
0.76	0	40.43
0.77	0	38.43
0.78	0	29.8
0.79	0	34.29
0.8	0	51.74
0.81	0	64.83
0.82	102.91	73.39
0.83	99.41	77.43
0.84	94.62	78.68
0.85	92.6	78.77
0.86	92.03	78.67
0.87	91.41	78.42
0.88	90.4	77.55
0.89	90.26	76
0.9	89.46	73.56
0.91	87.93	69.75
0.92	87.35	67.21
0.93	87.28	67.24
0.94	87.1	68.15
0.95	86.77	69.26
0.96	86.36	69.85
0.97	85.44	68.95
0.98	0	65.65
0.99	0	58.69
1	0	45.31
1.01	0	42.52
1.02	0	50.27
1.03	0	58.11
1.04	0	64.1
1.05	0	67.17
1.06	0	67.08
1.07	0	65.12
1.08	0	62.61
1.09	0	62.53
1.1	114.35	69.62
1.11	114.02	74.76
1.12	110.79	77.31
1.13	107.14	78.21
1.14	105	77.64
1.15	104.18	76.71
1.16	104.04	76.37
1.17	103.74	76.51
1.18	102.97	76.09
1.19	101.52	74.49
1.2	100.09	71.23
1.21	98.7	65.79
1.22	0	57.5
1.23	0	54.57
1.24	0	60.31
1.25	0	61.62
1.26	0	60.29
1.27	0	58.62
1.28	0	62.24
1.29	0	68.27
1.3	98.15	71.57
1.31	96.56	73.06
1.32	93.44	72.98
1.33	90.25	70.54
1.34	89.51	66.15
1.35	89.51	64.72
1.36	89.02	66.3
1.37	88.7	67.42
1.38	88.42	68.09
1.39	88.29	68.24
1.4	88.39	67.69
1.41	88.07	66.03
1.42	87.77	62.51
1.43	87.78	58.43
1.44	0	55.72
1.45	0	52.24
1.46	0	49.5
1.47	0	52.15
1.48	0	53.88
1.49	0	54.59
1.5	0	54.13
1.51	0	53.66
1.52	0	54.76
1.53	0	66.61
1.54	0	75.16
1.55	0	77.59
1.56	92.45	77.85
1.57	92.26	78.26
1.58	91.31	78.64
1.59	91.39	78.82
1.6	92.15	78.75
1.61	92.88	77.94
1.62	93.66	75.87
1.63	0	72.11
1.64	0	65.4
1.65	0	53.91
1.66	0	43.23
1.67	0	38.81
1.68	0	38.04
1.69	0	42.22
1.7	0	50.6
1.71	0	64.85
1.72	0	72.5
1.73	0	74.25
1.74	0	72.91
1.75	0	69
1.76	0	60.02
1.77	0	44.87
1.78	0	38.59
1.79	0	49.35
1.8	0	54.56
1.81	0	54.2
1.82	0	52.16
1.83	100.14	58.99
1.84	100.15	65.32
1.85	90.31	68.05
1.86	81.92	68.83
1.87	82	68.21
1.88	82.89	68.32
1.89	83.12	68.43
1.9	83.5	67.2
1.91	85.63	64.77
1.92	88.63	60.98
1.93	0	56.23
1.94	0	52.97
1.95	0	51.52
1.96	0	49.74
1.97	0	46.86
1.98	0	43.85
1.99	0	42.65
2	0	41.81
2.01	0	41.14
2.02	0	40.18
2.03	0	39
2.04	0	39.24
2.05	0	38.59
2.06	0	37.24
2.07	0	36.47
2.08	0	36.46
2.09	0	0
2.1	0	0
2.11	0	0
?	?	?
