time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	27.66
0.04	0	27.82
0.05	0	27.39
0.06	0	26.99
0.07	0	27.06
0.08	0	27
0.09	0	26.87
0.1	0	27.39
0.11	0	27.22
0.12	0	26.66
0.13	0	31.9
0.14	0	36.92
0.15	0	37.89
0.16	0	39.08
0.17	0	41.46
0.18	0	39.42
0.19	0	37.55
0.2	0	42.19
0.21	0	46.66
0.22	0	49.16
0.23	0	50.59
0.24	0	54.37
0.25	0	63.87
0.26	0	73.44
0.27	120.98	78.59
0.28	120.97	81.11
0.29	121.39	82.52
0.3	121.96	82.97
0.31	122.23	82.9
0.32	122.22	82.36
0.33	122.1	80.99
0.34	122.06	79.08
0.35	122.27	77.17
0.36	121.69	74.96
0.37	117.62	71.57
0.38	111.82	66.89
0.39	109.66	62.34
0.4	109.49	60.06
0.41	110.23	60.54
0.42	113.15	62.26
0.43	114.1	64.24
0.44	115.5	65.72
0.45	116.6	67.29
0.46	117.13	68.98
0.47	117.4	69.99
0.48	117.08	70.49
0.49	116.41	70.83
0.5	115.97	71.29
0.51	115.92	71.83
0.52	116.32	72.26
0.53	115.59	72.15
0.54	113.54	70.84
0.55	109.39	68.49
0.56	111.95	68.18
0.57	114.3	69.59
0.58	116.72	71.25
0.59	118.85	73.01
0.6	121.63	74.91
0.61	125.43	78.03
0.62	126.24	81.55
0.63	126.99	83.61
0.64	127.81	84.49
0.65	129.16	84.8
0.66	130.11	85.01
0.67	130.47	85.06
0.68	129.4	84.51
0.69	128.34	83.84
0.7	127.14	83.05
0.71	123.69	82.13
0.72	119.95	80.61
0.73	114.5	77.5
0.74	109.95	72.96
0.75	0	67.22
0.76	0	59.92
0.77	0	51.45
0.78	0	39.19
0.79	0	33.17
0.8	0	46.25
0.81	0	54.55
0.82	0	55.52
0.83	0	52.59
0.84	0	52.93
0.85	0	54.83
0.86	0	55.09
0.87	0	55.42
0.88	0	56.38
0.89	0	58.99
0.9	104.62	64.31
0.91	101.73	68.11
0.92	100.15	69.87
0.93	98.9	70.4
0.94	97.96	70.44
0.95	97.75	70.54
0.96	97.77	70.55
0.97	97.5	70.38
0.98	97.04	68.89
0.99	96.4	64.58
1	98.16	59.28
1.01	99.61	57.72
1.02	100.6	57.91
1.03	102.97	60.13
1.04	103.18	63.15
1.05	102.86	63.73
1.06	105.8	63.24
1.07	106.66	62.86
1.08	109.25	62.37
1.09	110.54	61.46
1.1	110.04	60.15
1.11	110.12	58.14
1.12	110.23	55.17
1.13	0	51.73
1.14	0	48.38
1.15	0	44
1.16	0	39.49
1.17	0	36.49
1.18	0	33.74
1.19	0	32.67
1.2	0	31.54
1.21	0	30.19
1.22	0	29.3
1.23	0	27.36
1.24	0	26.01
1.25	0	0
1.26	0	0
1.27	0	0
