time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	27.95
0.04	0	27.4
0.05	0	27.03
0.06	0	26.58
0.07	0	26.43
0.08	0	26.63
0.09	0	26.85
0.1	0	26.98
0.11	0	26.23
0.12	0	38.66
0.13	0	53.14
0.14	0	58.53
0.15	0	57.28
0.16	0	54.97
0.17	0	54.38
0.18	0	54.43
0.19	0	56.11
0.2	0	63.23
0.21	0	72.1
0.22	123.13	76.39
0.23	124.1	77.71
0.24	123.87	77.93
0.25	122.42	77.74
0.26	121.24	77.19
0.27	121.01	76.54
0.28	121.33	75.92
0.29	121.14	74.94
0.3	120.79	72.92
0.31	119.67	68.01
0.32	120.26	61.42
0.33	120.87	59.12
0.34	120.83	58.68
0.35	120.35	58.16
0.36	118.57	57.34
0.37	0	58.08
0.38	0	63.29
0.39	0	66.64
0.4	0	68.43
0.41	0	65.65
0.42	0	61.31
0.43	0	60.01
0.44	0	59.21
0.45	0	60.8
0.46	0	70.16
0.47	107.81	78.04
0.48	108.44	81.07
0.49	111.06	81.71
0.5	112.06	82.78
0.51	111.64	83.09
0.52	112.05	82.28
0.53	111.85	80.56
0.54	111.41	77.46
0.55	0	71.74
0.56	0	60.19
0.57	0	47.61
0.58	0	55.05
0.59	0	64.26
0.6	107.65	70.96
0.61	106.93	74.52
0.62	105.71	75.81
0.63	102.85	75.88
0.64	100.34	75.32
0.65	98.38	74.52
0.66	97.27	73.78
0.67	96.62	73.2
0.68	96.27	72.68
0.69	95.62	71.94
0.7	94.41	70.78
0.71	93.61	69.46
0.72	93.13	67.87
0.73	92.16	65.47
0.74	89.45	62.18
0.75	0	60.6
0.76	0	62.61
0.77	0	65.16
0.78	0	66.93
0.79	0	66.64
0.8	0	63.77
0.81	0	57.45
0.82	0	46.08
0.83	0	37.32
0.84	0	42.31
0.85	0	50.97
0.86	0	55.14
0.87	95.05	56.58
0.88	96.19	59.63
0.89	96.35	65.81
0.9	96.03	69.82
0.91	95.68	71.56
0.92	96.45	72.26
0.93	97.3	72.81
0.94	97.94	73.34
0.95	98.34	73.6
0.96	99.86	73.53
0.97	99.94	73.24
0.98	100.62	73.03
0.99	100.59	73.04
1	100.71	72.62
1.01	100.58	71.91
1.02	100.36	71.1
1.03	100.04	69.21
1.04	0	64.54
1.05	0	55.45
1.06	0	43.83
1.07	0	40.49
1.08	0	40.91
1.09	0	46.33
1.1	0	51.5
1.11	0	54.47
1.12	96.62	55.94
1.13	96.72	56.58
1.14	96.5	56.82
1.15	95.11	57.02
1.16	95.73	59.87
1.17	95.13	65.48
1.18	94.79	68.86
1.19	94.59	70.26
1.2	95.91	70.9
1.21	96.03	71.45
1.22	96.33	71.98
1.23	96.91	71.89
1.24	96.22	71.69
1.25	96.37	71.71
1.26	96.72	71.68
1.27	95.85	71.48
1.28	95.69	70.93
1.29	94.83	69.83
1.3	94.09	68.24
1.31	93.52	66.19
1.32	92.13	64.16
1.33	90.64	62.11
1.34	88.91	59.51
1.35	90.45	59.17
1.36	90.77	61.73
1.37	91.97	64.57
1.38	91.92	66.8
1.39	92.05	68.26
1.4	91.02	68.75
1.41	90.74	68.79
1.42	89.45	68.18
1.43	88.15	65.31
1.44	0	59.06
1.45	0	46.11
1.46	0	29.92
1.47	0	26.39
1.48	0	28.4
1.49	0	33.73
1.5	0	47.58
1.51	0	54.68
1.52	0	55.32
1.53	0	51.19
1.54	0	49.86
1.55	0	50.43
1.56	0	52.25
1.57	0	58.46
1.58	0	62.92
1.59	93.24	65.25
1.6	92.63	67.47
1.61	94.71	71.81
1.62	93.26	74.16
1.63	91.89	74
1.64	92.07	73.45
1.65	90.61	73.33
1.66	90.18	72.65
1.67	90.07	72.23
1.68	89.6	72.07
1.69	88.81	71.76
1.7	88.1	70.97
1.71	87.94	69.96
1.72	87.73	69.35
1.73	86.85	68.91
1.74	85.74	67.82
1.75	85.36	66.27
1.76	85.18	65.26
1.77	84.66	64.86
1.78	84.44	64.82
1.79	83.44	64.93
1.8	83.37	64.52
1.81	83.25	63.74
1.82	83.53	62.87
1.83	83.75	61.54
1.84	84.19	59.98
1.85	84.63	57.32
1.86	84.22	53.73
1.87	0	50.49
1.88	0	48.02
1.89	0	46.27
1.9	0	47.18
1.91	0	46.44
1.92	0	44.39
1.93	0	44
1.94	0	42.03
1.95	0	37.35
1.96	0	32.36
1.97	0	29.95
1.98	0	30.66
1.99	0	30.99
2	0	30.04
2.01	0	28.19
2.02	0	28.31
2.03	0	28.68
2.04	0	27.79
2.05	0	26.81
2.06	0	26.19
2.07	0	26.64
2.08	0	31.21
2.09	0	34.61
2.1	0	32.3
2.11	0	27.66
2.12	0	26.42
2.13	0	26.05
2.14	0	26.81
2.15	0	33.29
2.16	0	38.87
2.17	0	36.55
2.18	0	29.06
2.19	0	25.58
2.2	0	24.85
2.21	0	24.69
2.22	0	24.55
2.23	0	25.24
2.24	0	24.91
2.25	0	24.38
2.26	0	24.83
2.27	0	0
2.28	0	0
2.29	0	0
