time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	30.28
0.04	0	30.29
0.05	0	29.88
0.06	0	29.33
0.07	0	29.43
0.08	0	29.34
0.09	0	29.35
0.1	0	29.49
0.11	0	29.69
0.12	0	29.83
0.13	0	31.81
0.14	0	33.24
0.15	0	31.73
0.16	0	30.23
0.17	0	29.29
0.18	0	37.11
0.19	0	53.47
0.2	0	60.96
0.21	0	60.77
0.22	0	54.86
0.23	140.07	58.74
0.24	138.87	65.6
0.25	132.6	67.21
0.26	129.75	65.12
0.27	125.07	62.48
0.28	118.34	62.19
0.29	113.9	63.01
0.3	113.1	63.27
0.31	115.72	63.87
0.32	118.13	64.94
0.33	125.22	66.06
0.34	130.32	67.92
0.35	134.5	71.61
0.36	136.54	75.53
0.37	138.08	78.77
0.38	139.28	81.34
0.39	139.64	82.54
0.4	139.24	81.93
0.41	138.39	79.42
0.42	135.87	75.39
0.43	133.23	71.38
0.44	132.17	69.08
0.45	132.32	68.74
0.46	133.22	69.83
0.47	135.97	71.75
0.48	138.39	73.15
0.49	139.06	73.06
0.5	138.31	71.97
0.51	136.64	70.12
0.52	135.17	68.06
0.53	134.34	66.41
0.54	132.78	65.02
0.55	131.16	63.76
0.56	128.14	63.04
0.57	0	62.89
0.58	0	62.18
0.59	0	59.65
0.6	0	57.34
0.61	126.52	57.8
0.62	126.86	60.99
0.63	126.81	64.61
0.64	127.4	67.44
0.65	128.13	69.3
0.66	128.24	70.28
0.67	127.7	70.3
0.68	126.78	69.4
0.69	125.34	67.62
0.7	123.5	64.87
0.71	0	61.15
0.72	0	57.51
0.73	0	56.16
0.74	0	55.69
0.75	0	55.78
0.76	0	57.53
0.77	0	59.3
0.78	0	60.77
0.79	0	61.52
0.8	0	61.32
0.81	0	62.43
0.82	0	68.11
0.83	127	71.76
0.84	127.71	73.11
0.85	127.9	73.75
0.86	127.74	74.07
0.87	127.63	74.18
0.88	127.42	74.08
0.89	127.3	73.71
0.9	127.6	72.95
0.91	128.14	71.98
0.92	128.09	70.54
0.93	127.37	68.69
0.94	126.88	66.72
0.95	125.06	64.2
0.96	0	63.67
0.97	0	65.65
0.98	0	66.67
0.99	0	67.08
1	0	67.54
1.01	0	68.11
1.02	0	70.25
1.03	0	72.83
1.04	0	72.36
1.05	0	68.07
1.06	0	66.52
1.07	0	68.4
1.08	0	66.18
1.09	0	59.54
1.1	0	56.2
1.11	0	54.83
1.12	0	48.15
1.13	0	50.26
1.14	0	60.94
1.15	0	65.53
1.16	125.67	69.74
1.17	125	74.17
1.18	124.09	77.06
1.19	122.79	78.4
1.2	121.73	78.33
1.21	121.21	76.94
1.22	119.86	74.44
1.23	117.69	71.99
1.24	116.53	70.53
1.25	116.75	70.68
1.26	117.36	72.88
1.27	118.24	76.1
1.28	119.08	79.09
1.29	119.17	81.13
1.3	118.04	81.63
1.31	115.94	80.38
1.32	112.85	77.02
1.33	0	70.47
1.34	0	59.37
1.35	0	44.4
1.36	0	37.95
1.37	0	41.36
1.38	0	44.45
1.39	0	54.77
1.4	0	62.04
1.41	0	64.64
1.42	0	63.01
1.43	0	65.73
1.44	114.97	70.79
1.45	112.13	72.92
1.46	110.82	73.62
1.47	110.12	73.54
1.48	109.68	72.78
1.49	110.15	71.55
1.5	111.18	70.4
1.51	111.66	69.59
1.52	112.29	69.02
1.53	113.13	68.76
1.54	113.76	68.87
1.55	114.82	69.53
1.56	115.68	70.36
1.57	116.11	70.78
1.58	116.83	70.78
1.59	117.23	70.63
1.6	116.77	70.26
1.61	115.64	69.61
1.62	114.85	68.9
1.63	113.91	67.83
1.64	112.95	65.09
1.65	0	58.58
1.66	0	46.35
1.67	0	34.45
1.68	0	31.9
1.69	0	33.36
1.7	0	35.32
1.71	0	45.12
1.72	0	55
1.73	0	61.72
1.74	0	65.15
1.75	0	66.28
1.76	0	65.15
1.77	0	63.48
1.78	0	61.64
1.79	0	59.57
1.8	0	57.39
1.81	0	54.96
1.82	0	53.09
1.83	0	52.83
1.84	0	52.25
1.85	0	52.15
1.86	0	51.47
1.87	0	50.93
1.88	0	47.52
1.89	0	45.5
1.9	0	44.69
1.91	0	43.53
1.92	0	43.04
1.93	0	42.35
1.94	0	41.84
1.95	0	41.78
1.96	0	41.5
1.97	0	41.54
1.98	0	41.2
1.99	0	0
2	0	0
2.01	0	0
?	?	?
