time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	36.41
0.05	0	36.6
0.06	0	34.49
0.07	0	43.25
0.08	0	53.82
0.09	0	57.69
0.1	0	58.82
0.11	0	59.57
0.12	0	58.23
0.13	0	59.87
0.14	150.65	70.46
0.15	152	78.83
0.16	154.25	82.78
0.17	154.69	84.25
0.18	154.88	84.7
0.19	155.6	84.74
0.2	156.26	84.75
0.21	156.3	84.85
0.22	155.81	84.95
0.23	155.25	85.01
0.24	154.59	84.88
0.25	153.73	84.57
0.26	152.96	84.12
0.27	152.32	83.66
0.28	151.19	83.1
0.29	149.55	82.26
0.3	148.31	81.25
0.31	147.14	80.25
0.32	146.31	79.75
0.33	146	79.61
0.34	145.54	79.53
0.35	145.05	79.38
0.36	144.31	78.99
0.37	142.83	77.73
0.38	138.6	74.65
0.39	133.08	70.5
0.4	131.21	68.39
0.41	132.95	70.47
0.42	139.55	75.21
0.43	143.79	79.45
0.44	144.4	81.36
0.45	143.3	81.69
0.46	142.52	81.66
0.47	142.21	81.47
0.48	141.53	81.02
0.49	141.06	80.46
0.5	140.58	79.87
0.51	140.31	79.23
0.52	139.96	78.55
0.53	139.18	77.72
0.54	138.19	76.58
0.55	136.66	74.89
0.56	134.12	72.5
0.57	132.68	70
0.58	128.68	67.97
0.59	0	66.76
0.6	0	67.29
0.61	0	68.65
0.62	0	68.64
0.63	0	68
0.64	0	67.94
0.65	0	68.57
0.66	0	67.58
0.67	139.64	67.28
0.68	142.96	69.57
0.69	143.12	72.73
0.7	142.51	74.63
0.71	142.08	75.38
0.72	141.79	75.76
0.73	141.43	76
0.74	141.79	76.04
0.75	142.24	76
0.76	142.29	76
0.77	142.03	75.85
0.78	141.34	74.96
0.79	139.96	73.33
0.8	140.63	72.86
0.81	140.25	73.19
0.82	137.96	73.96
0.83	136.73	74.75
0.84	135.09	75.33
0.85	131.55	75.12
0.86	128.38	73.44
0.87	122.05	69.96
0.88	116.07	64.07
0.89	0	56.21
0.9	0	52.69
0.91	0	53.51
0.92	0	54.38
0.93	0	54.4
0.94	0	54.14
0.95	0	54.38
0.96	0	55.05
0.97	0	55.28
0.98	0	54.5
0.99	0	52.66
1	0	50.64
1.01	0	58.63
1.02	0	69.5
1.03	128.21	73.98
1.04	131.77	74.5
1.05	131.47	74.68
1.06	131.81	74.92
1.07	130.16	74.75
1.08	128.77	74.5
1.09	127.81	74.2
1.1	126.56	73.23
1.11	125.57	71.96
1.12	127.14	71.69
1.13	125.08	71.87
1.14	124.84	72.04
1.15	124.68	71.96
1.16	125.91	72.18
1.17	125.49	72.39
1.18	121.37	70.71
1.19	124.01	68.54
1.2	123.29	67.23
1.21	124.03	66.84
1.22	121.87	66.32
1.23	120.34	65.7
1.24	119.28	64.57
1.25	116.97	62.84
1.26	112.63	61.28
1.27	0	64.51
1.28	0	70.05
1.29	0	73.44
1.3	0	73.24
1.31	0	73.96
1.32	0	74.26
1.33	0	73.35
1.34	0	72.88
1.35	0	72.21
1.36	0	71.91
1.37	0	69.54
1.38	0	64.91
1.39	0	64.49
1.4	0	71.84
1.41	140.36	75.75
1.42	135.91	76.61
1.43	133.06	76.46
1.44	131.4	75.55
1.45	130.35	74.03
1.46	128.27	71.64
1.47	123.57	68.35
1.48	118.86	65.36
1.49	119.43	64.8
1.5	123.12	68.55
1.51	127.9	73.64
1.52	128.37	77.02
1.53	127.71	77.97
1.54	127.2	77.49
1.55	126.43	76.37
1.56	126.22	75.52
1.57	125.56	75.03
1.58	125.16	73.88
1.59	125.33	72.37
1.6	126.5	71.54
1.61	126.32	71.18
1.62	126.97	71.44
1.63	129.16	72.56
1.64	130.49	74.02
1.65	131.18	75.81
1.66	131.04	77.68
1.67	130.8	79.24
1.68	130.45	79.95
1.69	129.37	79.69
1.7	128.54	78.95
1.71	127.67	77.66
1.72	123.77	76.04
1.73	0	74.07
1.74	0	70.36
1.75	0	65.81
1.76	0	60.4
1.77	0	57.5
1.78	0	55.02
1.79	0	49.98
