time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	33.32
0.04	0	32.52
0.05	0	30.57
0.06	0	27.69
0.07	0	25.64
0.08	0	24.05
0.09	0	23.41
0.1	0	23.25
0.11	0	24.89
0.12	0	27.83
0.13	0	30.63
0.14	0	41.59
0.15	0	51.11
0.16	0	57.06
0.17	0	59.19
0.18	0	57.05
0.19	0	52.1
0.2	0	57.43
0.21	115.75	65.38
0.22	115.92	68.51
0.23	113.93	68.78
0.24	112.43	68.03
0.25	111.45	67.6
0.26	111.32	67.28
0.27	112.11	66.54
0.28	113.66	66.23
0.29	117.1	66.89
0.3	120.91	68.53
0.31	123.32	70.7
0.32	125.54	72.93
0.33	127.68	74.61
0.34	128.85	75.39
0.35	129.72	75.61
0.36	129.76	75.47
0.37	129.04	74.58
0.38	125.95	72.67
0.39	124.74	69.78
0.4	0	66.72
0.41	0	68.09
0.42	0	70.14
0.43	0	70.05
0.44	0	70.05
0.45	0	70.4
0.46	0	70.26
0.47	0	69.24
0.48	0	68.49
0.49	0	68.22
0.5	0	65.34
0.51	0	60.28
0.52	0	61.62
0.53	0	67
0.54	0	67.13
0.55	0	62.03
0.56	0	51.53
0.57	0	36.74
0.58	0	24.54
0.59	0	21.67
0.6	0	23.38
0.61	0	28.71
0.62	0	39.58
0.63	0	48.76
0.64	0	55.11
0.65	0	58.68
0.66	0	59.09
0.67	0	56.44
0.68	0	58.04
0.69	139.94	69.09
0.7	127.52	75.64
0.71	123.96	78.26
0.72	123.42	79.44
0.73	121.17	80.41
0.74	119.42	81.15
0.75	118.8	81.76
0.76	118.28	82.05
0.77	117.4	82.28
0.78	116.2	82.44
0.79	114.52	82.31
0.8	113.13	82.06
0.81	111.23	81.72
0.82	109.54	81.17
0.83	107.69	80.56
0.84	106.17	80.13
0.85	105.02	79.92
0.86	103.89	79.66
0.87	103.08	79.28
0.88	102.64	78.72
0.89	102.11	77.89
0.9	101.76	76.8
0.91	100.89	75.12
0.92	100.14	72.54
0.93	0	68.93
0.94	0	63.64
0.95	0	59.65
0.96	0	60.89
0.97	0	62.47
0.98	0	62.02
0.99	0	60.64
1	0	58.68
1.01	95.33	59.2
1.02	93.79	61.6
1.03	90.17	63.41
1.04	87.47	64.18
1.05	86.1	63.9
1.06	85.27	62.64
1.07	84.95	60.61
1.08	83.96	58.1
1.09	0	57.19
1.1	0	58.5
1.11	0	60.01
1.12	0	59.63
1.13	0	54.87
1.14	0	45.11
1.15	0	35.43
1.16	0	25.34
1.17	0	22.25
1.18	0	23.11
1.19	0	24.11
1.2	0	31.51
1.21	0	40.84
1.22	0	47.71
1.23	0	53.15
1.24	0	54.75
1.25	0	53.73
1.26	0	58.15
1.27	0	68.41
1.28	120.35	73.52
1.29	119.08	75.58
1.3	117.49	75.99
1.31	116.43	75.25
1.32	115.86	74.59
1.33	115.42	74.21
1.34	114.77	73.88
1.35	113.54	73.72
1.36	113.13	73.64
1.37	113.12	73.58
1.38	112.93	73.51
1.39	112.57	73.34
1.4	111.67	73.1
1.41	110.64	72.86
1.42	109.41	72.41
1.43	108.4	71.82
1.44	107.26	71.05
1.45	105.98	70.08
1.46	104.48	69.04
1.47	102.9	67.95
1.48	101.51	66.55
1.49	100.55	64.9
1.5	101.12	64.08
1.51	102.68	64.98
1.52	103.28	66.54
1.53	103.72	68.11
1.54	104.68	69.54
1.55	105.51	71.02
1.56	105.79	72.13
1.57	105.86	72.99
1.58	105.34	73.64
1.59	104.9	73.88
1.6	104.34	74.13
1.61	104.07	73.97
1.62	104.79	73.3
1.63	104.43	71.77
1.64	0	68.49
1.65	0	65.56
1.66	0	59.69
1.67	0	50.76
1.68	0	42.54
1.69	0	35.13
1.7	0	27.38
1.71	0	24.19
1.72	0	23.34
1.73	0	22.77
1.74	0	23.28
1.75	0	24.62
1.76	0	26.47
1.77	0	35.24
1.78	0	45.94
1.79	0	52.88
1.8	0	56.68
1.81	0	56.62
1.82	0	54.82
1.83	0	53.69
1.84	0	63.24
1.85	111.94	70.8
1.86	110.59	73.2
1.87	108.02	73.86
1.88	105.1	74.35
1.89	103.24	74.69
1.9	101.34	74.65
1.91	99.5	74.27
1.92	97.2	73.32
1.93	95.91	71.14
1.94	92.27	67.06
1.95	0	60.24
1.96	0	51.86
1.97	0	50.16
1.98	0	50.13
1.99	0	49.52
2	0	47.83
2.01	0	47.68
2.02	0	47.81
2.03	0	51.11
2.04	0	57.13
2.05	0	57.59
2.06	0	55.41
2.07	0	53.9
2.08	0	49.62
2.09	0	43.32
2.1	0	36
2.11	0	39.38
2.12	0	47.28
2.13	0	49.29
2.14	0	49.57
2.15	0	50.56
2.16	0	49.65
2.17	0	46.13
2.18	0	49.57
2.19	0	54.89
2.2	0	52.95
2.21	0	49.62
2.22	0	49.89
2.23	0	48.67
2.24	0	49.1
2.25	0	49.65
2.26	0	49.72
2.27	0	49.17
2.28	0	48.03
2.29	0	46.74
2.3	0	45.85
2.31	0	44.68
2.32	0	43.29
2.33	0	41.81
2.34	0	41.31
2.35	0	41.78
2.36	0	41.52
2.37	0	39.82
2.38	0	38.73
2.39	0	39.93
2.4	0	41.33
2.41	0	41.08
2.42	0	40.55
2.43	0	40.39
2.44	0	0
2.45	0	0
2.46	0	0
