time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	24.52
0.05	0	24.66
0.06	0	24.35
0.07	0	24.78
0.08	0	25.63
0.09	0	26.89
0.1	0	28.34
0.11	0	30.48
0.12	0	36.01
0.13	0	49.06
0.14	0	60.12
0.15	122.15	65.28
0.16	123.65	66.49
0.17	120.93	65.6
0.18	119.91	65.21
0.19	121.82	66.23
0.2	122.26	67.11
0.21	121.87	67.79
0.22	121.24	68.62
0.23	121.44	70.22
0.24	124.84	74.39
0.25	125.01	78.54
0.26	125.85	80.49
0.27	127.69	81.35
0.28	130.73	81.96
0.29	133.4	82.51
0.3	135.27	83.08
0.31	136.12	83.37
0.32	136.93	83.5
0.33	138.28	83.56
0.34	139.39	82.8
0.35	140.46	80.55
0.36	141.08	76.66
0.37	142.8	71.24
0.38	0	64.24
0.39	0	56.94
0.4	0	51.86
0.41	0	47
0.42	0	44.14
0.43	0	41.28
0.44	0	35.28
0.45	0	27.95
0.46	0	25.51
0.47	0	26.39
0.48	0	32.32
0.49	0	42.23
0.5	0	58.19
0.51	138.96	69.31
0.52	129.5	75.01
0.53	129.15	77.59
0.54	129.18	78.74
0.55	128.71	79.27
0.56	127.77	79.36
0.57	127.68	79.1
0.58	128.43	78.74
0.59	129.8	78.25
0.6	130.63	77.45
0.61	130.93	76.09
0.62	131.14	73.85
0.63	130.71	70.72
0.64	130.35	66.73
0.65	0	59.46
0.66	0	47.44
0.67	0	46.87
0.68	0	56.05
0.69	0	60.92
0.7	0	61.71
0.71	0	59.08
0.72	0	54.71
0.73	0	49.26
0.74	0	45.69
0.75	0	53.7
0.76	0	58.1
0.77	0	59.67
0.78	0	62.33
0.79	110.13	62.41
0.8	113.15	60.31
0.81	0	57.81
0.82	0	60.76
0.83	0	65.7
0.84	0	68.14
0.85	0	68.99
0.86	0	69.01
0.87	0	68.92
0.88	0	69.9
0.89	0	69.78
0.9	0	68.8
0.91	0	68.54
0.92	0	64.66
0.93	0	55.65
0.94	0	40.73
0.95	0	37.58
0.96	0	52.38
0.97	0	62.23
0.98	0	72.11
0.99	0	77.52
1	0	79.58
1.01	126.79	80.94
1.02	126.36	81.46
1.03	123.54	80.8
1.04	116.89	79.45
1.05	113.54	77.64
1.06	0	74.78
1.07	0	70.72
1.08	0	65.73
1.09	0	57.84
1.1	0	48.43
1.11	0	37.76
1.12	0	35.46
1.13	0	37.01
1.14	0	46.85
1.15	0	53.09
1.16	0	50.79
1.17	0	42.2
1.18	0	39.44
1.19	0	38.78
1.2	0	39.93
1.21	0	41.43
1.22	0	42.81
1.23	0	49.45
1.24	0	65.78
1.25	116.85	74.34
1.26	119.05	77.8
1.27	120	78.41
1.28	120.26	76.92
1.29	96.43	77
1.3	95.56	77.26
1.31	97.53	76.11
1.32	98.68	76.44
1.33	83	77.03
1.34	79.82	75.81
1.35	80.18	74.12
1.36	79.54	75.26
1.37	79.72	74.81
1.38	78.2	75.21
1.39	0	75.98
1.4	0	73.91
1.41	0	72.39
1.42	0	72.87
1.43	0	72.84
1.44	0	66.61
1.45	0	53.2
1.46	0	51.39
1.47	0	54.46
1.48	0	54.41
1.49	0	56.03
1.5	0	59.7
1.51	0	63.48
1.52	0	65.26
1.53	0	64.08
1.54	0	60.99
1.55	0	60.66
1.56	0	59.83
1.57	0	53.93
1.58	0	42.59
1.59	0	33
1.6	0	38.42
1.61	0	49.9
1.62	0	55.15
1.63	0	53.79
1.64	0	48
1.65	0	43.37
1.66	0	39.83
1.67	0	35.43
1.68	0	31.39
1.69	0	28.65
1.7	0	26.87
1.71	0	26.16
1.72	0	25.85
1.73	0	25.49
1.74	0	24.98
1.75	0	0
1.76	0	0
1.77	0	0
