time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	36.83
0.05	0	36.36
0.06	0	34.47
0.07	0	31.7
0.08	0	29.32
0.09	0	27.98
0.1	0	27.49
0.11	0	27.13
0.12	0	36.91
0.13	0	50.69
0.14	0	57.18
0.15	0	59.4
0.16	0	60.41
0.17	0	59.81
0.18	0	63.54
0.19	128.19	73.61
0.2	127.89	79.31
0.21	127.34	81.58
0.22	126.68	82.2
0.23	125.67	82.37
0.24	125.08	82.55
0.25	124.3	82.55
0.26	123.42	82.18
0.27	122.2	81.26
0.28	120.17	79.16
0.29	0	74.53
0.3	0	66.18
0.31	0	60.15
0.32	0	60.37
0.33	0	60.49
0.34	0	60.51
0.35	0	60.36
0.36	0	59.44
0.37	0	63.61
0.38	0	70.21
0.39	104.62	72.86
0.4	104.2	73.05
0.41	99.26	71.9
0.42	95.11	69.73
0.43	90.79	66.95
0.44	89.03	63
0.45	0	56.56
0.46	0	46.23
0.47	0	34.68
0.48	0	27.67
0.49	0	27.69
0.5	0	35.83
0.51	0	41.35
0.52	0	38.12
0.53	0	45.32
0.54	0	57.22
0.55	0	61.46
0.56	0	61.05
0.57	0	58.87
0.58	0	56.01
0.59	0	52.98
0.6	0	50.53
0.61	0	47.92
0.62	0	45.9
0.63	0	44.35
0.64	0	42.53
0.65	0	41.2
0.66	0	40.99
0.67	0	41.77
0.68	0	41.07
0.69	0	39.37
0.7	0	40.71
0.71	0	52.38
0.72	0	60.89
0.73	104.47	63.69
0.74	107.61	64.14
0.75	107.45	64.82
0.76	105.44	64.97
0.77	101.48	63.17
0.78	0	58.57
0.79	0	51.35
0.8	0	48.19
0.81	0	52.61
0.82	0	55.17
0.83	0	55.11
0.84	0	56.14
0.85	0	59.77
0.86	0	60.76
0.87	0	59.34
0.88	0	66.88
0.89	0	75.43
0.9	97.7	78.4
0.91	102.6	78.67
0.92	103.58	79.19
0.93	102.16	79.23
0.94	100.81	79.14
0.95	99.58	79.04
0.96	98.12	78.79
0.97	96.61	78.51
0.98	95.52	78.23
0.99	95.03	78.11
1	94.6	77.98
1.01	94.31	77.43
1.02	93.35	76.84
1.03	90.99	75.83
1.04	88.71	74.25
1.05	82.94	72.2
1.06	81.54	69.62
1.07	0	66.59
1.08	0	60.97
1.09	0	51.91
1.1	0	47.81
1.11	0	43.26
1.12	0	39.02
1.13	0	32.7
1.14	0	27.53
1.15	0	26.57
1.16	0	26.9
1.17	0	33.01
1.18	0	39.44
1.19	0	41.9
1.2	0	42.7
1.21	0	40.55
1.22	0	39.38
1.23	0	40.14
1.24	0	40.41
1.25	0	41.44
1.26	0	42.03
1.27	0	40.89
1.28	0	39.68
1.29	0	39.28
1.3	0	39.23
1.31	0	39.02
1.32	0	39.15
1.33	0	38.7
1.34	0	38.44
1.35	0	38.86
1.36	0	38.98
1.37	0	38.75
1.38	0	37.96
1.39	0	37.53
1.4	0	37.65
1.41	0	37.47
1.42	0	36.69
1.43	0	35.47
1.44	0	35.29
1.45	0	35.28
1.46	0	35.95
1.47	0	39.04
1.48	0	43.95
1.49	0	43.74
1.5	0	40.23
1.51	0	39.19
1.52	0	38.46
1.53	0	37.85
1.54	0	37.6
1.55	0	37.33
1.56	0	36.34
1.57	0	34.99
1.58	0	33.76
1.59	0	0
1.6	0	0
1.61	0	0
