time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	23.25
0.04	0	23.48
0.05	0	23.17
0.06	0	23.2
0.07	0	25.35
0.08	0	28.95
0.09	0	28.79
0.1	0	25.5
0.11	0	25.21
0.12	0	38.61
0.13	0	53.37
0.14	94.74	61.02
0.15	102.37	65.36
0.16	107.5	69.33
0.17	108.21	73.04
0.18	108.84	76.34
0.19	108.76	78.23
0.2	108.22	78.53
0.21	108.18	78.74
0.22	108.19	78.98
0.23	0	77.24
0.24	0	71.32
0.25	107.05	66.54
0.26	105.34	70.16
0.27	106.32	74.65
0.28	110.41	78.33
0.29	112.58	80.38
0.3	113.44	81.15
0.31	114.74	81.45
0.32	116.31	81.64
0.33	118.01	81.83
0.34	119.65	81.84
0.35	121.59	81.06
0.36	122.4	78.59
0.37	121.58	74.28
0.38	119.68	69.81
0.39	118.56	66.79
0.4	121	67.05
0.41	125.19	70.12
0.42	127.9	72.29
0.43	128.36	72.2
0.44	128.62	70.67
0.45	129.33	69.47
0.46	129.33	69.04
0.47	128.57	69.02
0.48	128.07	69.28
0.49	127.7	69.85
0.5	127.23	70.42
0.51	126.64	70.95
0.52	125.89	71.26
0.53	124.74	70.86
0.54	123.54	69.54
0.55	122.1	67.04
0.56	0	62.12
0.57	0	52.27
0.58	0	34.92
0.59	0	25.29
0.6	0	46.44
0.61	0	61.92
0.62	0	68.29
0.63	0	68.59
0.64	0	65.4
0.65	0	61.99
0.66	0	61.39
0.67	0	71.46
0.68	126.36	80.11
0.69	126.52	83.32
0.7	126.35	84.11
0.71	123.29	83.33
0.72	119.69	82.23
0.73	115.94	82.23
0.74	113.66	82.18
0.75	111.6	82.02
0.76	109.29	81.72
0.77	107.02	81.37
0.78	104.52	80.71
0.79	102.49	79.16
0.8	99.66	76.42
0.81	94.2	71.61
0.82	89.14	64.67
0.83	87.81	60.12
0.84	89.78	59.06
0.85	93.76	58.88
0.86	98.57	60.24
0.87	102.37	62.26
0.88	105.36	65.12
0.89	103.77	67.86
0.9	100.04	68.88
0.91	96.79	68.86
0.92	94.51	68.26
0.93	93.37	67.92
0.94	92.69	67.66
0.95	92.49	67.24
0.96	92.64	66.3
0.97	91.63	63.75
0.98	90.23	59.6
0.99	89.79	56.99
1	89.23	56.03
1.01	0	53.91
1.02	0	51.59
1.03	0	51.8
1.04	0	52.94
1.05	0	54.22
1.06	0	54.28
1.07	104.25	55.77
1.08	108.1	59.69
1.09	110.61	64.72
1.1	109.98	68.08
1.11	108.15	69.64
1.12	106.21	70.3
1.13	105.05	70.42
1.14	104.05	70.3
1.15	102.98	69.93
1.16	101.78	68.92
1.17	100.98	68.15
1.18	100.91	68.63
1.19	101.73	70.11
1.2	102.25	72.09
1.21	102.39	73.63
1.22	102.83	74.36
1.23	103.8	74.8
1.24	105.1	75.33
1.25	106.01	75.5
1.26	106.46	74.63
1.27	107.03	72.32
1.28	105.49	68
1.29	0	61.19
1.3	0	52.2
1.31	0	50.74
1.32	0	59.54
1.33	0	68.31
1.34	105.49	73.86
1.35	103.29	76.58
1.36	100.9	77.42
1.37	98.14	77.49
1.38	96.51	78.14
1.39	94.41	78.58
1.4	92.31	78.66
1.41	91.45	78.64
1.42	91.06	78.4
1.43	90.62	77.98
1.44	90.44	77.6
1.45	90.66	77.08
1.46	90.98	76.3
1.47	91.22	75.27
1.48	91.14	74.11
1.49	90.67	73.36
1.5	87.53	73.04
1.51	85.55	72.59
1.52	84.99	71.63
1.53	84.98	69.79
1.54	86.9	67.67
1.55	88.81	65.16
1.56	89.95	61.81
1.57	91.34	58.41
1.58	0	55.97
1.59	0	53.89
1.6	0	51.87
1.61	0	48.8
1.62	0	47.47
1.63	0	48.2
1.64	0	49.05
1.65	0	49.65
1.66	0	50.13
1.67	0	49.43
1.68	0	48.18
1.69	0	46.51
1.7	0	45.43
1.71	0	43.61
1.72	0	41.25
1.73	0	38.48
1.74	0	36.33
1.75	0	34.43
1.76	0	31.45
1.77	0	29.47
1.78	0	27.92
1.79	0	0
1.8	0	0
1.81	0	0
?	?	?
