time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	27.08
0.04	0	27.66
0.05	0	28.05
0.06	0	25.66
0.07	0	22.25
0.08	0	22.14
0.09	0	20.68
0.1	0	19.03
0.11	0	18.03
0.12	0	25.55
0.13	0	49.65
0.14	0	64.01
0.15	0	71.21
0.16	118.75	73.72
0.17	121.13	74.37
0.18	119.97	73.58
0.19	0	68.96
0.2	0	58.56
0.21	0	43
0.22	0	31.97
0.23	0	22.72
0.24	0	17.62
0.25	0	20.92
0.26	0	39.14
0.27	0	57.41
0.28	0	64.68
0.29	0	65.64
0.3	0	64.2
0.31	0	69.55
0.32	153.81	75.92
0.33	154.31	79.34
0.34	155.54	81.67
0.35	157.26	82.61
0.36	159.92	82.43
0.37	163.8	82.02
0.38	167.75	81.68
0.39	171.53	81.04
0.4	174.34	79.53
0.41	175.61	75.73
0.42	178.62	68.45
0.43	184.85	63.37
0.44	187.03	62.89
0.45	188.67	65.52
0.46	190.09	71.67
0.47	190.52	74.63
0.48	190.83	75.07
0.49	190.05	74.8
0.5	188.91	73.93
0.51	188.28	72.51
0.52	186.44	69.82
0.53	183.56	64.49
0.54	0	54.54
0.55	0	39.95
0.56	0	29.45
0.57	0	21.35
0.58	0	21.18
0.59	0	20.82
0.6	0	18.29
0.61	0	16.54
0.62	0	16.82
0.63	0	18.31
0.64	0	22.24
0.65	0	29.8
0.66	0	42.89
0.67	0	48.72
0.68	0	52.05
0.69	0	57.06
0.7	0	61.47
0.71	147.2	64.85
0.72	148.93	67.53
0.73	148.93	69.66
0.74	147.77	71.02
0.75	143.4	71.57
0.76	140.44	71.41
0.77	137.99	70.04
0.78	134.79	65.95
0.79	129.42	64.2
0.8	126.43	67.34
0.81	124.03	69.32
0.82	121.91	69.87
0.83	119.48	69.65
0.84	116.05	68.69
0.85	113.26	67.32
0.86	111.69	66.15
0.87	111.01	64.87
0.88	110.94	63.13
0.89	108.22	60.29
0.9	104.59	55.85
0.91	0	51.09
0.92	0	48.23
0.93	0	50.07
0.94	0	54.5
0.95	0	57.87
0.96	0	58.99
0.97	0	59.08
0.98	109.82	60.41
0.99	109.49	61.97
1	109.11	62.98
1.01	108.02	63.41
1.02	106.51	63.2
1.03	104.88	62.27
1.04	104.77	61.2
1.05	104.4	59.52
1.06	0	55.31
1.07	0	53.71
1.08	104.88	57.63
1.09	105.44	60.6
1.1	105.45	61.9
1.11	104.89	62.42
1.12	104.78	62.63
1.13	105.38	62.77
1.14	109.74	65.08
1.15	110.43	69.08
1.16	106.47	70.95
1.17	105.36	71.74
1.18	104.88	72.34
1.19	104.05	72.36
1.2	102.65	72.3
1.21	101.38	72.31
1.22	99.97	72.33
1.23	99.05	72.23
1.24	98.11	71.58
1.25	97.09	69.24
1.26	0	63.56
1.27	0	55.06
1.28	0	49.1
1.29	0	46.09
1.3	0	46.39
1.31	0	50.28
1.32	0	55.26
1.33	92.64	59.01
1.34	95.6	60.93
1.35	95.77	62.12
1.36	94.15	62.01
1.37	94.85	61.51
1.38	95.06	61.05
1.39	95.11	60.31
1.4	95.62	59.37
1.41	97.05	58.6
1.42	98.2	57.93
1.43	99.23	56.98
1.44	100.16	55.53
1.45	0	53.31
1.46	0	50.26
1.47	0	46.87
1.48	0	45.06
1.49	0	45.78
1.5	0	47.94
1.51	0	50.26
1.52	0	51.87
1.53	0	52.84
1.54	0	53.63
1.55	0	54.09
1.56	0	53.92
1.57	0	53.64
1.58	0	52.51
1.59	0	51.53
1.6	0	50.2
1.61	0	46.21
1.62	0	41.69
1.63	0	39.02
1.64	0	36.58
1.65	0	33.87
1.66	0	31.85
1.67	0	29.34
1.68	0	27.37
1.69	0	26.62
1.7	0	25.82
1.71	0	25.03
1.72	0	25.17
1.73	0	0
1.74	0	0
1.75	0	0
