time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	33.46
0.04	0	34.84
0.05	0	36.02
0.06	0	35.39
0.07	0	33.84
0.08	0	33.33
0.09	0	32.74
0.1	0	32.77
0.11	0	32.53
0.12	0	32.25
0.13	0	33.73
0.14	0	48.7
0.15	0	61.73
0.16	0	65.33
0.17	0	61.89
0.18	0	58.06
0.19	0	60.7
0.2	0	58.63
0.21	0	54.61
0.22	0	54.19
0.23	0	52.53
0.24	0	57.08
0.25	173.24	69.51
0.26	174.09	76.48
0.27	175.32	79.61
0.28	175.4	81.08
0.29	174.47	82.16
0.3	173	83.11
0.31	170.82	83.74
0.32	167.44	83.78
0.33	163.01	83.57
0.34	157.54	83.19
0.35	150.32	82.39
0.36	140.22	81.16
0.37	131.28	80.39
0.38	0	80.42
0.39	0	80.14
0.4	0	79.42
0.41	0	77.17
0.42	0	74.66
0.43	0	73.82
0.44	0	71.94
0.45	0	71.45
0.46	0	69.86
0.47	95.16	70.57
0.48	104.65	71.68
0.49	114.46	72.96
0.5	115.92	73.73
0.51	116.63	74.61
0.52	117.01	75.19
0.53	117.76	74.88
0.54	119.13	73.87
0.55	120.77	73.32
0.56	122.08	73.57
0.57	122.71	73.79
0.58	120.31	73.11
0.59	118.4	70.87
0.6	119.14	67.85
0.61	119.67	64.71
0.62	120.31	62.3
0.63	120.64	61.5
0.64	123.19	61.89
0.65	126.18	63.23
0.66	127.34	64.7
0.67	127.84	66.75
0.68	127.56	69.29
0.69	126.6	71.56
0.7	124.39	72.82
0.71	121.12	72.8
0.72	0	70.07
0.73	0	62.76
0.74	0	51.94
0.75	0	48.69
0.76	0	54.48
0.77	0	62.53
0.78	114.45	69.11
0.79	111.51	71.97
0.8	107.87	71.53
0.81	105.1	69.28
0.82	102.63	65.56
0.83	0	58.69
0.84	0	47.45
0.85	0	35.27
0.86	0	29.25
0.87	0	28.89
0.88	0	29.79
0.89	0	31.57
0.9	0	39.97
0.91	0	51.77
0.92	0	60.29
0.93	0	64.46
0.94	0	66.26
0.95	0	65.73
0.96	0	63.42
0.97	0	61.33
0.98	0	59.57
0.99	145.31	62.23
1	144.15	67.81
1.01	143.45	71.56
1.02	144.1	73.93
1.03	144.42	74.95
1.04	145.29	75.03
1.05	147.11	75.03
1.06	148.87	75.21
1.07	149.92	75.35
1.08	150.62	74.87
1.09	151.44	73.14
1.1	152.18	69.52
1.11	153.47	65.56
1.12	154.83	64.59
1.13	155.36	64.65
1.14	155.9	65.96
1.15	155.52	70.49
1.16	154.53	74.32
1.17	154.27	75.54
1.18	154.29	75.25
1.19	154.14	74.11
1.2	153.6	71.11
1.21	153.16	65.54
1.22	153.43	61.49
1.23	152.74	60.95
1.24	150.96	60.79
1.25	149.25	60.63
1.26	147.15	60.25
1.27	144.35	60.43
1.28	142.71	65.05
1.29	142.05	70.82
1.3	141.55	74.43
1.31	141.46	75.34
1.32	140.73	73.71
1.33	138.14	69.67
1.34	0	62.57
1.35	0	55.78
1.36	0	54.54
1.37	0	54.71
1.38	0	55.15
1.39	0	55.28
1.4	0	53.93
1.41	0	53.02
1.42	0	53.58
1.43	0	53.49
1.44	0	53.16
1.45	0	53.52
1.46	0	54.4
1.47	0	53.06
1.48	0	55
1.49	141.14	66.21
1.5	138.23	72.75
1.51	133.83	75.44
1.52	131.4	76.44
1.53	129.77	76.98
1.54	128.65	77.33
1.55	127.66	77.51
1.56	126.19	77.87
1.57	124.64	78.43
1.58	122.55	78.59
1.59	120.22	78.65
1.6	118.31	78.05
1.61	116.34	77.02
1.62	113.58	75.62
1.63	110.56	74.15
1.64	107.38	73.34
1.65	103.47	73.05
1.66	99.96	72.87
1.67	97.46	72.27
1.68	94.71	70.82
1.69	93.27	69.34
1.7	93.78	68.34
1.71	94.13	67.53
1.72	93.81	67.57
1.73	94.97	66.87
1.74	96.02	64
1.75	0	61.45
1.76	0	60.02
1.77	0	58.3
1.78	103.18	57.84
1.79	102.9	58.71
1.8	103.04	59.63
1.81	102.99	59.2
1.82	102.23	58.13
1.83	103.1	60.17
1.84	104.38	63.18
1.85	101.33	64.74
1.86	98.15	65.25
1.87	96.31	65.34
1.88	92.95	65.55
1.89	90.22	65.1
1.9	88.73	64.54
1.91	87.52	64.17
1.92	85.85	63.33
1.93	84.62	62.68
1.94	84.3	62.05
1.95	82.98	60.93
1.96	81.61	59.14
1.97	81.37	57.11
1.98	82.29	55.8
1.99	83.39	55.53
2	83.67	55.24
2.01	0	54.03
2.02	0	51.93
2.03	0	50.62
2.04	0	49.64
2.05	0	47.94
2.06	0	46.8
2.07	0	46.42
2.08	0	44.74
2.09	0	43.57
2.1	0	42.13
2.11	0	39.57
2.12	0	38.02
2.13	0	37.74
2.14	0	37.64
2.15	0	0
2.16	0	0
?	?	?
