time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	30.34
0.04	0	30.1
0.05	0	29.88
0.06	0	29.49
0.07	0	28.77
0.08	0	29.37
0.09	0	30.16
0.1	0	30.64
0.11	0	31.67
0.12	0	33.26
0.13	0	37.51
0.14	0	49.9
0.15	0	61.75
0.16	0	67.96
0.17	0	70.23
0.18	0	68.15
0.19	0	59.82
0.2	0	57.71
0.21	0	66.33
0.22	129.66	73.72
0.23	132.26	77.76
0.24	135.14	80.08
0.25	136.4	81.66
0.26	137.6	82.57
0.27	139.06	83.52
0.28	140.8	84.42
0.29	142.64	84.95
0.3	144.1	85.23
0.31	145.1	85.01
0.32	145.98	83.86
0.33	146.8	82.31
0.34	147.94	81.28
0.35	150.07	80.99
0.36	152.34	81.12
0.37	152.87	80.79
0.38	150.97	78.74
0.39	0	73.32
0.4	0	62.9
0.41	0	51.5
0.42	0	50.66
0.43	0	56.52
0.44	140.95	63.96
0.45	144.16	70.52
0.46	147.55	75.2
0.47	149.12	77.9
0.48	149.44	79.35
0.49	148.98	79.85
0.5	148.1	79.6
0.51	146.56	78.55
0.52	143.09	75.77
0.53	137.49	69.79
0.54	0	59.4
0.55	0	50.25
0.56	0	48.78
0.57	0	49.2
0.58	0	49.88
0.59	0	50.69
0.6	0	55.11
0.61	0	60.31
0.62	0	65.63
0.63	146.22	72.87
0.64	148.36	78.07
0.65	151.63	80.27
0.66	154.75	80.71
0.67	157.77	80.32
0.68	160.07	79.12
0.69	160.96	76.8
0.7	159.91	73.11
0.71	0	66.99
0.72	0	56.2
0.73	0	40.83
0.74	0	41.03
0.75	0	46.34
0.76	0	49.55
0.77	0	49.45
0.78	0	44.47
0.79	0	41.49
0.8	0	42.14
0.81	0	48.68
0.82	122.22	58.82
0.83	122.44	67.27
0.84	119.96	72.85
0.85	119.1	75.67
0.86	119.3	76.63
0.87	118.23	77.1
0.88	117.28	77.36
0.89	116.67	77.29
0.9	115.99	77.12
0.91	114.93	76.93
0.92	113.9	76.17
0.93	114.02	75.57
0.94	114.29	75.43
0.95	114.43	75.23
0.96	114.16	75.13
0.97	113.64	74.66
0.98	113.31	73.38
0.99	113.49	72.25
1	113	71.56
1.01	112.03	70.9
1.02	111.4	70.38
1.03	110.82	70.31
1.04	109.69	70.58
1.05	109.02	70.22
1.06	106.7	68.06
1.07	0	64.17
1.08	0	58.28
1.09	0	53
1.1	0	50.65
1.11	0	47.75
1.12	0	47.58
1.13	0	49.32
1.14	0	52.15
1.15	0	55.69
1.16	0	56.71
1.17	0	63.36
1.18	141.03	71.7
1.19	140.92	76.47
1.2	141.29	78.67
1.21	141.47	79.36
1.22	140.09	79.12
1.23	138.35	77.98
1.24	0	75.1
1.25	0	71.32
1.26	0	72.45
1.27	0	73.23
1.28	0	73.17
1.29	0	73.34
1.3	0	72.02
1.31	0	70.39
1.32	0	69.16
1.33	0	67.87
1.34	0	65.3
1.35	0	60.8
1.36	0	58.91
1.37	0	59.99
1.38	125.22	59.03
1.39	122.98	58.11
1.4	119.46	57.56
1.41	116.65	56.39
1.42	0	55.35
1.43	110.56	60.24
1.44	110.97	66.89
1.45	112.25	70.65
1.46	112.49	71.84
1.47	111.6	71.71
1.48	110.8	71.6
1.49	110.14	71.1
1.5	109.6	69.85
1.51	108.93	67.39
1.52	108.16	62.7
1.53	107.55	56.78
1.54	106.95	55.06
1.55	106.56	54.93
1.56	0	54.67
1.57	0	54.42
1.58	0	54.93
1.59	0	59.25
1.6	0	64.9
1.61	0	67.4
1.62	0	68.09
1.63	0	68.84
1.64	0	70.09
1.65	0	70.75
1.66	0	70.37
1.67	0	68.84
1.68	0	67.26
1.69	0	65.32
1.7	140.82	69.66
1.71	140.43	73.98
1.72	140.11	75.28
1.73	139.45	74.06
1.74	138.14	69.8
1.75	0	62.54
1.76	0	50.93
1.77	0	39.89
1.78	0	33.05
1.79	0	33.46
1.8	0	47.4
1.81	0	56.84
1.82	0	60.22
1.83	0	63
1.84	0	66.16
1.85	0	68.36
1.86	0	69.91
1.87	0	70.29
1.88	0	69.87
1.89	0	68.88
1.9	0	65.51
1.91	0	59.22
1.92	0	58.62
1.93	126.15	65.7
1.94	122.86	70.41
1.95	120.7	72.69
1.96	118.26	73.37
1.97	115.56	73
1.98	113.63	72.12
1.99	112.49	71.05
2	110.73	69.56
2.01	108.92	67.92
2.02	108.7	66.05
2.03	0	64.04
2.04	0	62.44
2.05	0	60.93
2.06	0	54.07
2.07	0	41.98
2.08	0	33.6
2.09	0	32.09
2.1	0	36.52
2.11	0	41.07
2.12	0	45.99
2.13	0	50.95
2.14	0	53.62
2.15	0	53.28
2.16	0	51.02
2.17	0	48.79
2.18	0	46.07
2.19	0	44.68
2.2	0	43.38
2.21	0	43.1
2.22	0	43.27
2.23	0	43.08
2.24	0	42.23
2.25	0	41.28
2.26	0	40.91
2.27	0	0
2.28	0	0
2.29	0	0
?	?	?
