time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	26.39
0.04	0	27.32
0.05	0	27.58
0.06	0	27.21
0.07	0	27.39
0.08	0	27.26
0.09	0	26.35
0.1	0	25.47
0.11	0	26.1
0.12	0	30.43
0.13	0	37.28
0.14	0	45.81
0.15	0	52.28
0.16	0	57.88
0.17	0	62.23
0.18	0	64.63
0.19	0	65.98
0.2	0	68.02
0.21	0	69.82
0.22	0	70.82
0.23	0	71
0.24	0	71.2
0.25	0	70.72
0.26	0	70.54
0.27	0	69.48
0.28	0	74.24
0.29	177.67	80.92
0.3	179.34	84.46
0.31	177.08	85.37
0.32	173.29	85.29
0.33	171.98	85.65
0.34	171.52	86.07
0.35	171.94	86.31
0.36	172.79	86.51
0.37	173.78	86.58
0.38	176.15	86.21
0.39	177.3	85.54
0.4	175.07	85.26
0.41	172.68	85.38
0.42	170.41	85.79
0.43	166.77	86.16
0.44	161.38	85.93
0.45	155.68	85.5
0.46	151.45	85.07
0.47	147.88	84.19
0.48	144.75	82.02
0.49	141.04	77.49
0.5	133.37	70.15
0.51	126.65	61.74
0.52	0	55.11
0.53	0	53.38
0.54	0	55.31
0.55	0	58.61
0.56	0	62.47
0.57	0	63.44
0.58	0	58.73
0.59	0	48.02
0.6	0	33.48
0.61	0	29.55
0.62	0	50.06
0.63	0	60.92
0.64	0	64.32
0.65	0	63.92
0.66	0	64.35
0.67	0	64.02
0.68	0	61.97
0.69	0	59.44
0.7	0	58
0.71	0	66.11
0.72	160.19	74.96
0.73	157.42	78.5
0.74	153.54	78.92
0.75	151.53	78.66
0.76	150.67	78.9
0.77	149.96	79.28
0.78	149.43	79.64
0.79	148.62	80.07
0.8	147.52	80.59
0.81	146.38	81.2
0.82	145.23	81.89
0.83	143.46	82.34
0.84	140.94	82.06
0.85	137.59	80.96
0.86	134.26	78.67
0.87	128.16	74.97
0.88	126.25	69.77
0.89	0	64.71
0.9	0	64.67
0.91	0	67.27
0.92	0	67.24
0.93	0	66.33
0.94	0	65.48
0.95	0	64.41
0.96	0	64.76
0.97	0	65.79
0.98	0	66.13
0.99	0	66.51
1	0	66.27
1.01	0	64.24
1.02	0	60.15
1.03	0	60.49
1.04	124.06	64.94
1.05	124.35	66.17
1.06	124.12	65.78
1.07	121.84	64.67
1.08	117.78	62.42
1.09	0	61.87
1.1	0	65.06
1.11	0	67.54
1.12	0	68.19
1.13	0	68.36
1.14	0	69.09
1.15	0	70.47
1.16	0	71.1
1.17	0	70.44
1.18	0	68.62
1.19	0	66.48
1.2	0	61.95
1.21	0	51.68
1.22	0	41.87
1.23	0	51.47
1.24	0	59.28
1.25	0	65.24
1.26	0	71.93
1.27	128.8	74.71
1.28	124.17	75.57
1.29	120.24	76.4
1.3	118.57	76.59
1.31	117.95	75.97
1.32	117.04	74.8
1.33	115.75	73.33
1.34	115.22	71.66
1.35	115.05	70.04
1.36	114.52	68.67
1.37	114.17	67.18
1.38	113.28	64.24
1.39	0	57.14
1.4	0	46.15
1.41	0	39.54
1.42	0	35.08
1.43	0	35.04
1.44	0	33.27
1.45	0	28
1.46	0	26.74
1.47	0	26.36
1.48	0	44.3
1.49	0	58.51
1.5	0	63.98
1.51	0	62.88
1.52	0	59.18
1.53	0	60.18
1.54	0	59.15
1.55	0	55.65
1.56	0	54.14
1.57	0	55.28
1.58	0	64.01
1.59	0	70.06
1.6	0	72.14
1.61	114.71	72.15
1.62	115.85	71.47
1.63	115.52	71.25
1.64	114.68	71.67
1.65	114.47	72.05
1.66	112.41	72.24
1.67	0	71.37
1.68	0	70.38
1.69	0	67.89
1.7	0	60.2
1.71	0	54.05
1.72	0	48.32
1.73	0	34.09
1.74	0	23.31
1.75	0	25.33
1.76	0	25.28
1.77	0	26.45
1.78	0	41.42
1.79	0	48.68
1.8	0	47.57
1.81	0	39.23
1.82	0	31.63
1.83	0	30.89
1.84	0	31.76
1.85	0	33.4
1.86	0	34.73
1.87	0	35.11
1.88	0	35.37
1.89	0	36.04
1.9	0	36.43
1.91	0	36.24
1.92	0	36.96
1.93	0	37.62
1.94	0	38.44
1.95	0	39.21
1.96	0	39.16
1.97	0	39.25
1.98	0	39.87
1.99	0	39.84
2	0	39.66
2.01	0	39.83
2.02	0	39.82
2.03	0	39.65
2.04	0	39.49
2.05	0	39.63
2.06	0	39.46
2.07	0	39.18
2.08	0	39.22
2.09	0	38.99
2.1	0	38.52
2.11	0	38.68
2.12	0	38.45
2.13	0	38.44
2.14	0	38.39
2.15	0	37.84
2.16	0	37.67
2.17	0	37.5
2.18	0	37.07
2.19	0	36.41
2.2	0	35.74
2.21	0	35.82
2.22	0	35.87
2.23	0	35.56
2.24	0	35.34
2.25	0	35.06
2.26	0	34.82
2.27	0	34.53
2.28	0	34.25
2.29	0	33.52
2.3	0	33.27
2.31	0	33.78
2.32	0	34.35
2.33	0	34.17
2.34	0	0
2.35	0	0
2.36	0	0
