time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	37.17
0.05	0	37.64
0.06	0	38.21
0.07	0	38.12
0.08	0	36.85
0.09	0	35.07
0.1	0	34.86
0.11	0	35.45
0.12	0	37.04
0.13	0	50.41
0.14	0	60
0.15	0	62.49
0.16	0	63.22
0.17	0	64.35
0.18	0	64.01
0.19	0	61.24
0.2	0	63.53
0.21	142.69	70.69
0.22	138.19	75.04
0.23	134.52	76.95
0.24	132.56	77.25
0.25	128.64	75.72
0.26	126.73	71.07
0.27	118.09	64.83
0.28	114.94	65.41
0.29	119.73	69.33
0.3	125.45	72.51
0.31	127.41	73.95
0.32	127.31	73.78
0.33	126.65	72.56
0.34	124.48	70.02
0.35	0	65.2
0.36	0	57.34
0.37	0	46.95
0.38	0	39.24
0.39	0	37.63
0.4	0	36.79
0.41	0	35.8
0.42	0	36.04
0.43	0	34.95
0.44	0	34.96
0.45	0	36.07
0.46	0	50.88
0.47	0	62.75
0.48	0	66.89
0.49	0	67.6
0.5	0	65.73
0.51	0	64.14
0.52	0	70.37
0.53	121.48	75.56
0.54	123.39	77.14
0.55	124.04	77.39
0.56	123.16	76.52
0.57	122.21	74.93
0.58	121.28	73.15
0.59	120.57	71.37
0.6	120.37	70.04
0.61	121.08	69.4
0.62	121.96	69.61
0.63	123.08	70.46
0.64	123.47	71.67
0.65	0	73.14
0.66	0	73.79
0.67	0	72.27
0.68	0	67.57
0.69	0	63.26
0.7	0	63.12
0.71	0	57.64
0.72	0	50.67
0.73	0	60.46
0.74	0	72.26
0.75	113.85	80.44
0.76	113.59	83.1
0.77	114.31	82.72
0.78	117.32	81.13
0.79	119.48	78.63
0.8	0	74.43
0.81	0	65.85
0.82	0	51.84
0.83	0	46.61
0.84	0	56.66
0.85	0	64.47
0.86	0	68.08
0.87	118.41	74.27
0.88	117.82	77.6
0.89	116.37	78.12
0.9	114.53	77.71
0.91	113.35	77.05
0.92	112.19	76.04
0.93	111.11	74.8
0.94	109.62	73.69
0.95	107.23	72.38
0.96	104.35	70.47
0.97	102.04	68.12
0.98	100.02	66.16
0.99	98.36	65.2
1	97.15	64.96
1.01	97.26	65.31
1.02	98.39	66.95
1.03	100.09	69.5
1.04	101.37	72.02
1.05	102.31	73.87
1.06	102.76	75.7
1.07	103.36	77.91
1.08	103.55	79.59
1.09	103.72	80.37
1.1	103.44	80.62
1.11	102.17	79.82
1.12	101.47	78.49
1.13	101.23	77.14
1.14	101.1	76.23
1.15	100.77	76.04
1.16	101.54	75.72
1.17	0	75.24
1.18	110.64	74.28
1.19	109.35	74.45
1.2	107.72	73.12
1.21	108.01	72.35
1.22	112.35	70.59
1.23	101.39	69.46
1.24	96.11	67.13
1.25	100.29	64.22
1.26	101.18	61.55
1.27	0	57.31
1.28	0	56.02
1.29	0	58.85
1.3	0	61.71
1.31	0	64.15
1.32	0	66.39
1.33	0	67.62
1.34	0	67.4
1.35	0	67.47
1.36	0	67.09
1.37	0	65.18
1.38	0	61.52
1.39	0	56.11
1.4	0	50.3
1.41	0	46.74
1.42	0	44.66
1.43	0	44.11
1.44	0	44.41
1.45	0	44.67
1.46	0	44.17
1.47	0	43.4
1.48	0	43.22
1.49	0	0
1.5	0	0
1.51	0	0
?	?	?
