time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	28.48
0.04	0	28.04
0.05	0	27.22
0.06	0	26.81
0.07	0	27.26
0.08	0	28.23
0.09	0	28.27
0.1	0	27.55
0.11	0	29.92
0.12	0	36.64
0.13	0	45.09
0.14	0	52.5
0.15	0	58.89
0.16	0	63.75
0.17	0	66.34
0.18	0	68.5
0.19	0	70.42
0.2	0	71.63
0.21	0	72.37
0.22	0	73.57
0.23	0	75.14
0.24	0	76.24
0.25	0	76.57
0.26	0	75.19
0.27	0	72.66
0.28	0	69.41
0.29	0	71.12
0.3	156.23	75.84
0.31	157.54	78.19
0.32	158.07	79.32
0.33	159.18	80.43
0.34	160.21	81.05
0.35	160.37	81.28
0.36	160.19	81.55
0.37	160.41	81.7
0.38	160.11	81.17
0.39	158.36	78.86
0.4	154.83	74.28
0.41	0	67.54
0.42	0	58.38
0.43	0	48.33
0.44	0	38.76
0.45	0	35.59
0.46	0	39.67
0.47	0	59.7
0.48	0	71.17
0.49	0	73.96
0.5	0	69.89
0.51	0	59.79
0.52	0	46.13
0.53	0	35.01
0.54	0	29.36
0.55	0	31.7
0.56	0	43.77
0.57	0	62.23
0.58	0	74.23
0.59	0	79.44
0.6	149.3	81.06
0.61	152.53	82.41
0.62	151.91	83.71
0.63	150.08	84.59
0.64	149.4	85.53
0.65	148.83	86.22
0.66	147.97	86.6
0.67	146.67	86.83
0.68	145.21	86.84
0.69	143.31	86.54
0.7	140.3	85.5
0.71	136.21	82.39
0.72	132.22	75.46
0.73	0	63.46
0.74	0	49.96
0.75	0	39.81
0.76	0	31.61
0.77	0	33.25
0.78	0	40.04
0.79	0	46.74
0.8	0	52.59
0.81	0	57.03
0.82	135.71	59.48
0.83	134.12	60.92
0.84	131.2	62.55
0.85	128.78	64.14
0.86	128.11	65.97
0.87	128.33	67.58
0.88	130.21	69.13
0.89	133.33	70.53
0.9	136.74	71.76
0.91	140.69	73.48
0.92	145.54	76.58
0.93	145.18	79.12
0.94	143.71	80.92
0.95	144.09	83.02
0.96	144.15	84.69
0.97	143.83	85.52
0.98	143.68	85.3
0.99	144.01	83.76
1	145.59	81.23
1.01	147.11	78.9
1.02	144.79	76.67
1.03	143.7	72.57
1.04	0	65.42
1.05	0	56.02
1.06	0	45.94
1.07	0	36.27
1.08	0	43.24
1.09	0	58.35
1.1	0	65.71
1.11	0	69.24
1.12	0	69.92
1.13	0	72.19
1.14	147.34	76.09
1.15	146.62	78.22
1.16	144.97	78.8
1.17	142.92	78.35
1.18	141.55	77.51
1.19	140.91	76.5
1.2	140.62	75.11
1.21	137.73	72.64
1.22	134.74	68.24
1.23	0	61.64
1.24	0	53.16
1.25	0	42.12
1.26	0	31.82
1.27	0	27.86
1.28	0	27.55
1.29	0	27.71
1.3	0	42.12
1.31	0	61.04
1.32	0	70.59
1.33	0	73.99
1.34	0	71.45
1.35	0	67.06
1.36	0	67.38
1.37	0	67.59
1.38	0	66.12
1.39	0	66.95
1.4	0	71.75
1.41	142.14	75.58
1.42	142.61	78.73
1.43	141.53	80.69
1.44	138.97	81.31
1.45	136.36	81.19
1.46	134.04	80.69
1.47	132	79.93
1.48	130.57	79.08
1.49	129.34	78.34
1.5	128.39	77.87
1.51	127.37	77.69
1.52	125.68	77.67
1.53	123.45	77.68
1.54	119.44	77.45
1.55	114.03	77.16
1.56	109.76	77.02
1.57	106.29	76.34
1.58	103.98	75.35
1.59	102.9	74.43
1.6	101.47	72.83
1.61	99.98	69.54
1.62	98.92	65.82
1.63	98.91	62.17
1.64	101.94	58.64
1.65	103.61	55.91
1.66	0	54.29
1.67	0	52.73
1.68	0	50.3
1.69	0	49.07
1.7	0	49.09
1.71	0	48.85
1.72	0	48
1.73	0	46.46
1.74	0	44.42
1.75	0	41.88
1.76	0	40.37
1.77	0	40.22
1.78	0	39.49
1.79	0	38.3
1.8	0	37.3
1.81	0	36.45
1.82	0	0
1.83	0	0
1.84	0	0
