time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	29.43
0.05	0	28.16
0.06	0	29.17
0.07	0	30.27
0.08	0	30.06
0.09	0	28.7
0.1	0	28.14
0.11	0	28.59
0.12	0	37.28
0.13	0	51.83
0.14	0	59.24
0.15	158.45	66.34
0.16	158.69	71.59
0.17	148.43	73.45
0.18	147.27	73.74
0.19	148.75	73.69
0.2	150.36	73.49
0.21	150.8	72.95
0.22	152.28	72.18
0.23	153.93	71.73
0.24	156.06	71.41
0.25	157.67	71
0.26	158.53	70.33
0.27	158.33	69.11
0.28	156.04	67.37
0.29	152.51	65.19
0.3	150.23	63.44
0.31	148.5	63.41
0.32	147.7	65.6
0.33	146.02	68.68
0.34	141.32	71.71
0.35	137.85	73.76
0.36	132.23	73.52
0.37	126.43	71.15
0.38	121.74	67.55
0.39	116.86	62.48
0.4	0	55.75
0.41	0	50.23
0.42	0	45.61
0.43	0	44.04
0.44	0	47.99
0.45	0	53.91
0.46	0	58.01
0.47	0	56.13
0.48	0	60.32
0.49	138.99	71.51
0.5	139.98	77.69
0.51	141.26	80.15
0.52	141.36	80.95
0.53	140.71	81.02
0.54	139.88	80.96
0.55	139.61	81.35
0.56	140.1	81.92
0.57	140.16	82.1
0.58	139.85	81.52
0.59	139.64	80.57
0.6	138.91	79.91
0.61	136.54	78.81
0.62	133.43	75.78
0.63	0	69.46
0.64	0	61.99
0.65	0	54.93
0.66	0	44.8
0.67	0	43.79
0.68	0	41.11
0.69	0	35.18
0.7	0	35
0.71	0	36.25
0.72	0	36.96
0.73	0	38.6
0.74	0	41.36
0.75	0	43.09
0.76	0	45.83
0.77	0	49.57
0.78	0	51.01
0.79	0	52.73
0.8	0	60.53
0.81	154.5	69.88
0.82	146.25	74.9
0.83	143.4	76.6
0.84	141.66	76.77
0.85	140.49	76.57
0.86	140.35	76.24
0.87	139.86	75.69
0.88	139.04	74.86
0.89	139.49	73.98
0.9	140.05	72.98
0.91	139.5	71.28
0.92	138.33	67.98
0.93	135.45	62.6
0.94	0	56
0.95	0	49.58
0.96	0	43.18
0.97	0	45.54
0.98	0	52.94
0.99	0	58.42
1	0	58.94
1.01	0	55.71
1.02	0	54.56
1.03	0	55.64
1.04	0	57.39
1.05	0	57.23
1.06	0	54.69
1.07	0	51.73
1.08	0	57.66
1.09	0	66.08
1.1	133.25	68.98
1.11	133.24	68.9
1.12	130.85	68.21
1.13	128.97	67.35
1.14	127.62	65.59
1.15	125.17	61.58
1.16	0	53.16
1.17	0	37.59
1.18	0	27.1
1.19	0	27.21
1.2	0	29.88
1.21	0	47.21
1.22	0	59.03
1.23	0	61.92
1.24	0	58.58
1.25	0	55.95
1.26	0	59.41
1.27	136.06	67.53
1.28	133.66	72.9
1.29	132.84	75.6
1.3	131.66	77.26
1.31	130.41	77.96
1.32	129.47	77.62
1.33	127.99	76.17
1.34	126.79	74.01
1.35	125.24	71.74
1.36	124.22	70.03
1.37	123.86	69.47
1.38	124.33	69.35
1.39	123.55	68.23
1.4	120.22	64.62
1.41	0	57.68
1.42	0	50.2
1.43	0	49.73
1.44	0	54.7
1.45	123.9	60.6
1.46	121.99	64.56
1.47	120.17	66.44
1.48	118.53	67.07
1.49	117.08	66.85
1.5	115.54	65.31
1.51	114.18	61.27
1.52	0	54.82
1.53	0	51.1
1.54	0	48.64
1.55	0	44.42
1.56	0	43.29
1.57	0	46.07
1.58	0	46.38
1.59	0	43.75
1.6	0	45.23
1.61	0	48.29
1.62	0	47.49
1.63	0	50.75
1.64	0	62.05
1.65	0	65.69
1.66	0	62.16
1.67	0	59.03
1.68	0	61.64
1.69	0	62.87
1.7	0	63.17
1.71	0	63.38
1.72	0	63.77
1.73	0	63.83
1.74	0	64.1
1.75	0	62.69
1.76	0	62.68
1.77	0	63.88
1.78	0	63.25
1.79	0	61.48
1.8	0	58.63
1.81	110.14	58.02
1.82	127.38	58.42
1.83	116.84	57.96
1.84	118.95	58.59
1.85	118.02	59.85
1.86	116.89	60.83
1.87	114.89	61
1.88	116.64	60.3
1.89	116.65	57.07
1.9	0	50.43
1.91	0	41.9
1.92	0	38.46
1.93	0	41.92
1.94	0	45.43
1.95	0	48.14
1.96	0	49.84
1.97	0	51.72
1.98	0	53.34
1.99	0	54.43
2	0	55.11
2.01	0	55.34
2.02	0	55.07
2.03	0	54.4
2.04	0	51.01
2.05	0	44.55
2.06	0	39.62
2.07	0	37.87
2.08	0	37.55
2.09	0	37.22
2.1	0	36.14
2.11	0	33.69
2.12	0	31.16
2.13	0	29.5
2.14	0	28.63
2.15	0	27.96
2.16	0	0
2.17	0	0
2.18	0	0
