time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	27.89
0.05	0	26.84
0.06	0	26.7
0.07	0	27.85
0.08	0	27.48
0.09	0	26.76
0.1	0	25.81
0.11	0	26.18
0.12	0	35.16
0.13	0	48.4
0.14	0	56.14
0.15	0	64.8
0.16	0	70.36
0.17	0	71.98
0.18	0	74.06
0.19	110.57	76.12
0.2	111.24	76.62
0.21	110.56	76.18
0.22	110.88	75.25
0.23	110.84	74.3
0.24	110.33	73.9
0.25	109.95	74.08
0.26	109.34	74.84
0.27	109.07	75.81
0.28	108.74	76.53
0.29	108.77	76.87
0.3	109.24	77.13
0.31	109.55	77.41
0.32	109.61	77.54
0.33	109.92	77.76
0.34	110.18	78.01
0.35	110.3	78.39
0.36	109.97	78.81
0.37	110.51	79.34
0.38	111.17	80.07
0.39	111.26	81.03
0.4	112.3	81.9
0.41	114.94	82.49
0.42	117.32	83.13
0.43	119.08	83.89
0.44	120.81	84.48
0.45	122.14	84.81
0.46	123.79	84.88
0.47	124.91	84.7
0.48	124.74	84.51
0.49	124.9	84.1
0.5	125.18	83.63
0.51	125.89	83.37
0.52	126.92	83.26
0.53	126.94	82.8
0.54	126.65	81.76
0.55	126.08	80.55
0.56	123.9	78.98
0.57	122.72	77.05
0.58	122.47	75.49
0.59	122.39	74.66
0.6	121.93	74.68
0.61	121.5	75.51
0.62	121.66	77.14
0.63	122.18	79.24
0.64	122.28	80.83
0.65	121.74	81.54
0.66	121.16	81.58
0.67	120.43	80.91
0.68	119.35	79.27
0.69	116.48	75.38
0.7	119.17	70.25
0.71	118.22	71.91
0.72	121.66	74.61
0.73	122.16	75.43
0.74	123.25	75.46
0.75	123.83	75.27
0.76	123.59	74.9
0.77	122.75	74.17
0.78	121.88	72.52
0.79	0	69.34
0.8	0	68.02
0.81	0	69.32
0.82	0	70.3
0.83	0	70
0.84	0	69.4
0.85	0	69.7
0.86	0	69.49
0.87	0	66.13
0.88	0	61.91
0.89	0	59.45
0.9	0	57.12
0.91	0	54.06
0.92	0	51.98
0.93	0	59.3
0.94	0	68.94
0.95	121.3	73.66
0.96	119.74	75.7
0.97	119.12	76.99
0.98	118.16	77.77
0.99	117.57	78.01
1	118.36	77.86
1.01	118.99	77.56
1.02	118.3	77.31
1.03	116.83	77.09
1.04	115.29	76.92
1.05	113.77	76.69
1.06	112.79	76.03
1.07	112.11	75.23
1.08	112.29	74.99
1.09	111.92	75.35
1.1	110.45	75.47
1.11	109.84	75.03
1.12	109.42	74.61
1.13	108.39	73.73
1.14	106.94	72.54
1.15	106.99	71.58
1.16	106.93	69.84
1.17	105.82	65.24
1.18	106.27	60.95
1.19	105.89	59.86
1.2	103.49	57.9
1.21	0	54.66
1.22	0	49.43
1.23	0	40.92
1.24	0	30.9
1.25	0	28.14
1.26	0	47.41
1.27	0	60.71
1.28	0	65.22
1.29	0	62.41
1.3	0	57.9
1.31	122.36	64.58
1.32	117.3	68.41
1.33	112.28	68.47
1.34	111.13	66.61
1.35	108.05	62.6
1.36	0	55.68
1.37	0	50.68
1.38	0	48.92
1.39	0	46.89
1.4	0	44.52
1.41	0	46.25
1.42	0	53.77
1.43	0	63.54
1.44	110.79	71.03
1.45	109.52	74.92
1.46	111.16	76.51
1.47	111.15	76.98
1.48	109.86	76.99
1.49	108.89	76.79
1.5	108.53	76.55
1.51	108.74	76.18
1.52	108.31	75.33
1.53	108.08	73.98
1.54	107.13	71.67
1.55	105.9	67.86
1.56	102.57	61.64
1.57	0	59.32
1.58	0	62.96
1.59	0	63.67
1.6	0	58.61
1.61	0	46.81
1.62	0	32.55
1.63	0	39.57
1.64	0	50.39
1.65	0	59.98
1.66	0	62.33
1.67	0	60.69
1.68	0	62.83
1.69	99.4	65.45
1.7	100.33	65.71
1.71	104.94	65.2
1.72	103	64.12
1.73	103.72	62.59
1.74	101.41	60.42
1.75	101.01	56.51
1.76	0	51.75
1.77	0	46.68
1.78	0	41.71
1.79	0	37.66
1.8	0	36.26
1.81	0	37.03
1.82	0	35.99
1.83	0	34.31
1.84	0	36.61
1.85	0	44.87
1.86	0	47.28
1.87	0	42.1
1.88	0	35.67
1.89	0	34.81
1.9	0	34.5
1.91	0	32.73
1.92	0	30.73
1.93	0	29.62
1.94	0	28.63
1.95	0	27.69
1.96	0	0
1.97	0	0
1.98	0	0
1.99	0	0
