time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	21.96
0.05	0	21.91
0.06	0	21.54
0.07	0	20.76
0.08	0	22.28
0.09	0	24.22
0.1	0	26.44
0.11	0	28.35
0.12	0	30.91
0.13	0	39.43
0.14	0	44.88
0.15	0	47.54
0.16	0	50.11
0.17	0	52.42
0.18	0	54.21
0.19	0	55.74
0.2	0	57.87
0.21	0	60.93
0.22	0	63.22
0.23	0	64.47
0.24	0	69.38
0.25	123.2	75.38
0.26	123.36	78.33
0.27	124.92	79.59
0.28	125.83	80.04
0.29	126.76	79.96
0.3	127.36	79.83
0.31	127.43	79.12
0.32	124.96	76.63
0.33	0	72.12
0.34	0	69.72
0.35	0	71.04
0.36	0	71.52
0.37	0	71.07
0.38	0	71.13
0.39	0	71.64
0.4	0	71.01
0.41	0	68.05
0.42	0	62.91
0.43	0	60.5
0.44	0	61.79
0.45	0	62.09
0.46	111.02	64.27
0.47	110.4	65.94
0.48	109.42	66.59
0.49	108.59	67.04
0.5	110.24	69.76
0.51	111.44	72.8
0.52	112.22	73.98
0.53	112.45	74.46
0.54	112.34	74.45
0.55	111.91	74.11
0.56	110.83	73.4
0.57	110.12	73.04
0.58	109.68	73.13
0.59	109.63	72.86
0.6	110.08	72.16
0.61	110.63	71.49
0.62	111.32	70.9
0.63	111	70.34
0.64	110.04	68.98
0.65	107.05	66.61
0.66	105.32	63.98
0.67	103.37	61.55
0.68	0	57.69
0.69	0	55.58
0.7	0	59.67
0.71	0	63.5
0.72	0	66.07
0.73	0	67.05
0.74	0	65.81
0.75	0	62.68
0.76	81.36	60.72
0.77	82.41	60.63
0.78	84.99	60.17
0.79	90.04	58.79
0.8	95.01	59.48
0.81	99.46	61.82
0.82	105.11	64.72
0.83	106.37	67.9
0.84	106.88	70.41
0.85	106.89	71.94
0.86	106.22	71.86
0.87	102.46	69.32
0.88	98.16	65.35
0.89	94.64	62.73
0.9	92.05	63.25
0.91	94.46	67.62
0.92	95.2	70.68
0.93	94.18	71.61
0.94	92.8	71.6
0.95	89.64	71.3
0.96	84.49	70.46
0.97	82.9	68.4
0.98	76.71	63.46
0.99	0	54.65
1	0	42.56
1.01	0	30.35
1.02	0	26.1
1.03	0	24.53
1.04	0	30.29
1.05	0	48.59
1.06	0	60.82
1.07	0	64.9
1.08	0	64.1
1.09	0	64.24
1.1	0	65.61
1.11	0	64.84
1.12	0	65.67
1.13	0	73.69
1.14	107.74	79.6
1.15	107.21	82.4
1.16	107.06	83.24
1.17	106.34	82.91
1.18	104.71	82.61
1.19	102.91	82.6
1.2	100.65	82.21
1.21	99.66	82.1
1.22	99.62	81.99
1.23	99.85	81.85
1.24	100.19	81.79
1.25	100.65	81.7
1.26	100.69	81.42
1.27	100.27	81.19
1.28	100.01	80.98
1.29	99.77	80.18
1.3	100.71	79.49
1.31	101.21	79.74
1.32	100.73	79.5
1.33	99.51	78.25
1.34	95.77	75.82
1.35	0	71.28
1.36	0	65.6
1.37	0	65.01
1.38	0	66.75
1.39	0	67.52
1.4	0	67.24
1.41	0	65.5
1.42	0	63.71
1.43	90.71	63.55
1.44	90.94	66.15
1.45	90.91	68.48
1.46	90.12	69.91
1.47	87.11	70.59
1.48	84.58	70.8
1.49	82.7	71.17
1.5	81.38	71.43
1.51	0	70.52
1.52	0	67.63
1.53	0	62.3
1.54	0	54.11
1.55	0	38.6
1.56	0	24.94
1.57	0	24.17
1.58	0	42
1.59	0	55.13
1.6	0	60.45
1.61	0	61.6
1.62	0	62.88
1.63	0	64.15
1.64	0	64.27
1.65	0	62.49
1.66	0	61.54
1.67	0	70.02
1.68	109.85	76.05
1.69	104.48	78.41
1.7	103.06	79.8
1.71	100.29	80.45
1.72	96.87	79.89
1.73	92.94	79.6
1.74	89.22	80.11
1.75	86.32	80.21
1.76	84.83	79.62
1.77	81.67	77.71
1.78	0	74.16
1.79	0	68.37
1.8	0	60.37
1.81	0	52.36
1.82	0	44.95
1.83	0	34.22
1.84	0	28.52
1.85	0	23.81
1.86	0	21.29
1.87	0	25.42
1.88	0	40.04
1.89	0	53
1.9	0	57.2
1.91	0	56.16
1.92	0	57.51
1.93	0	62.11
1.94	0	65.59
1.95	0	67.69
1.96	0	68.1
1.97	0	67.45
1.98	0	67.35
1.99	0	66.69
2	0	65.41
2.01	0	65.04
2.02	0	65.7
2.03	0	65.04
2.04	0	63.21
2.05	0	61.44
2.06	0	60.33
2.07	0	59.47
2.08	0	57.1
2.09	0	53.39
2.1	0	48.37
2.11	0	42.11
2.12	0	37.88
2.13	0	36.87
2.14	0	36.68
2.15	0	36.21
2.16	0	35.65
2.17	0	35.96
2.18	0	36.09
2.19	0	35.49
2.2	0	34.6
2.21	0	34.73
2.22	0	35.32
2.23	0	36.25
2.24	0	36.83
2.25	0	37.12
2.26	0	37.25
2.27	0	37.74
2.28	0	38.26
2.29	0	38.44
2.3	0	38.19
2.31	0	38.34
2.32	0	38.61
2.33	0	37.85
2.34	0	37.41
2.35	0	37.23
2.36	0	36.59
2.37	0	36.21
2.38	0	36.15
2.39	0	35.97
2.4	0	35.92
2.41	0	35.48
2.42	0	35.36
2.43	0	34.99
2.44	0	35.15
2.45	0	35.69
2.46	0	35.59
2.47	0	36
2.48	0	35.92
2.49	0	35.13
2.5	0	33.89
2.51	0	0
2.52	0	0
2.53	0	0
