time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	31.01
0.04	0	30.58
0.05	0	29.62
0.06	0	27.98
0.07	0	29.22
0.08	0	35.74
0.09	0	41.97
0.1	0	45.48
0.11	0	48.57
0.12	0	49.4
0.13	0	48.29
0.14	0	46.96
0.15	0	46.1
0.16	0	44.92
0.17	0	43.01
0.18	0	42.61
0.19	0	51.33
0.2	0	62.97
0.21	0	70.04
0.22	108.81	73.25
0.23	108.46	73.81
0.24	107.39	73.05
0.25	106.91	72.44
0.26	106.79	72.22
0.27	104	71.49
0.28	100.77	70.81
0.29	100.03	69.95
0.3	99.13	69.17
0.31	98.56	68.13
0.32	0	64.54
0.33	0	56
0.34	0	43.16
0.35	0	34.29
0.36	0	29.83
0.37	0	29.31
0.38	0	30.75
0.39	0	31.31
0.4	0	30.93
0.41	0	31.8
0.42	0	43.52
0.43	0	55.27
0.44	0	61.02
0.45	0	67.35
0.46	0	75.37
0.47	0	79.5
0.48	121.03	81.28
0.49	121.57	82.94
0.5	122.13	83.84
0.51	122.83	84.08
0.52	123.36	84.01
0.53	123.79	83.91
0.54	125.25	84.36
0.55	126.62	84.43
0.56	128.4	83.34
0.57	130.34	81.61
0.58	131.68	80.38
0.59	132.36	79.6
0.6	133.12	78.76
0.61	134.6	78.12
0.62	136.28	78.1
0.63	137.1	78.01
0.64	137.47	76.98
0.65	137.23	75.14
0.66	136.88	72.88
0.67	135.84	70.6
0.68	134.9	68.2
0.69	132.81	65.72
0.7	0	64.41
0.71	0	64.7
0.72	0	65.07
0.73	0	66.16
0.74	0	67.2
0.75	0	68.54
0.76	0	68.97
0.77	0	68.86
0.78	0	70.52
0.79	0	70.78
0.8	0	66.02
0.81	0	57.13
0.82	0	45.44
0.83	0	32.55
0.84	0	30.07
0.85	0	34.09
0.86	0	46.52
0.87	0	51.41
0.88	0	54.68
0.89	0	55.35
0.9	0	54.57
0.91	0	57.7
0.92	0	57.9
0.93	0	63.43
0.94	117.66	67.69
0.95	114.7	67.81
0.96	112.94	65.9
0.97	111.95	63.92
0.98	111.66	62.44
0.99	115.27	63.02
1	119.61	65.53
1.01	121.64	67.77
1.02	123.18	69.08
1.03	124.64	69.74
1.04	126.35	70.26
1.05	127.81	70.64
1.06	129.19	70.78
1.07	130.43	70.52
1.08	131.48	69.3
1.09	131.71	66.41
1.1	134.57	63.69
1.11	135.83	62.99
1.12	135.26	62.98
1.13	134.1	63.11
1.14	132.66	63.21
1.15	131.7	63.15
1.16	129.01	62.9
1.17	127.39	63.14
1.18	123.53	64.08
1.19	119.52	63.84
1.2	0	63.55
1.21	0	64.69
1.22	0	67.38
1.23	0	70.54
1.24	0	70.85
1.25	0	68.68
1.26	0	67.82
1.27	0	68.19
1.28	0	69.39
1.29	0	68.67
1.3	0	66.39
1.31	0	64.9
1.32	0	62.45
1.33	0	58.96
1.34	0	60.35
1.35	81.12	63.15
1.36	82.48	64.29
1.37	82.8	65.01
1.38	80.27	65.08
1.39	79.45	64.58
1.4	76.58	64.02
1.41	75.83	63.68
1.42	76.65	63.39
1.43	76.88	63.25
1.44	76.01	62.95
1.45	75.51	62.09
1.46	75.04	61.76
1.47	74.99	61.37
1.48	0	60.85
1.49	0	60.25
1.5	0	59.81
1.51	0	59.27
1.52	0	58.58
1.53	0	58.01
1.54	0	57.26
1.55	0	56.23
1.56	0	54.92
1.57	0	51.53
1.58	0	48.85
1.59	0	49.6
1.6	0	50.48
1.61	0	49.4
1.62	0	46.81
1.63	0	46.16
1.64	0	42.87
1.65	0	39.52
1.66	0	39.45
1.67	0	41.65
1.68	0	50.48
1.69	0	55.26
1.7	0	53.96
1.71	0	51.96
1.72	0	51.37
1.73	0	50.29
1.74	0	50.19
1.75	0	49.31
1.76	0	48.12
1.77	0	46.81
1.78	0	47.12
1.79	0	48.26
1.8	0	0
1.81	0	0
1.82	0	0
