time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	29.06
0.04	0	29.26
0.05	0	28.9
0.06	0	29.1
0.07	0	29.14
0.08	0	29.93
0.09	0	32.23
0.1	0	34.2
0.11	0	36.77
0.12	0	40.72
0.13	0	44.52
0.14	0	46.2
0.15	0	46.96
0.16	0	47.91
0.17	0	48.04
0.18	0	48.71
0.19	0	55.78
0.2	0	62.22
0.21	116.33	65.16
0.22	115.81	67.15
0.23	114.89	67.39
0.24	111.43	65.6
0.25	112.93	64.57
0.26	113.6	65.1
0.27	113.65	65.62
0.28	113.13	65.97
0.29	112.96	66.22
0.3	116.49	68.37
0.31	117.39	72.85
0.32	117.24	75.33
0.33	116.76	75.9
0.34	116.19	74.86
0.35	115.82	72.7
0.36	0	70.83
0.37	0	68.37
0.38	0	63.92
0.39	0	59.8
0.4	0	55.3
0.41	0	52.04
0.42	0	53.11
0.43	0	56.12
0.44	111.7	59.02
0.45	113.31	60.96
0.46	114.47	62.85
0.47	119.99	67.38
0.48	120.86	71.06
0.49	120.81	72.91
0.5	121.23	74.62
0.51	121.77	75.17
0.52	123.38	75.66
0.53	125.38	76.65
0.54	127.27	77.28
0.55	128.11	75.71
0.56	0	69.92
0.57	0	60.64
0.58	0	56.07
0.59	0	55.29
0.6	0	61.25
0.61	0	73.33
0.62	140.97	80.31
0.63	141.41	82.93
0.64	141.72	83.67
0.65	141.73	84.02
0.66	141.74	83.93
0.67	141.89	84.03
0.68	141.87	84.25
0.69	141.51	84.06
0.7	141.22	83.63
0.71	141.1	82.9
0.72	140.27	81.1
0.73	139.62	76.46
0.74	142.84	71.29
0.75	143.64	74.43
0.76	141.85	76.85
0.77	142.3	76.68
0.78	142.78	75.98
0.79	142.13	74.83
0.8	140.17	72.23
0.81	130.97	67.26
0.82	128.1	61.42
0.83	0	57.51
0.84	0	55.94
0.85	0	56.22
0.86	0	57.23
0.87	141.47	58.32
0.88	141.06	60.52
0.89	142.03	64.17
0.9	142.07	67.37
0.91	141.39	69.16
0.92	139.63	70.08
0.93	139.18	70.34
0.94	138.65	69.71
0.95	137.72	67.91
0.96	138.7	66.29
0.97	138.67	65.94
0.98	138.19	65.88
0.99	138.08	65.79
1	138.97	66.51
1.01	139.05	69.28
1.02	139.38	71.59
1.03	139.87	72.5
1.04	139.77	72.67
1.05	139.83	72.51
1.06	139.45	72.36
1.07	138.7	72.48
1.08	137.17	72.72
1.09	135.26	72.89
1.1	132.09	72.81
1.11	128.7	72.86
1.12	124.44	73.22
1.13	121.3	73.27
1.14	118.95	72.72
1.15	116.53	71.77
1.16	115.29	70.84
1.17	113.46	69.98
1.18	111.45	68.93
1.19	110.02	67.92
1.2	108.98	66.87
1.21	107.92	65.92
1.22	106.49	65.68
1.23	105.76	65.81
1.24	104.68	65.67
1.25	104.73	65.37
1.26	104.06	65.68
1.27	104.48	67.07
1.28	105.51	68.96
1.29	106.44	70.41
1.3	107.11	71.42
1.31	107.74	71.82
1.32	107.95	70.81
1.33	107.72	67.56
1.34	109.03	63.59
1.35	109.83	62.94
1.36	109.61	63.11
1.37	108.99	62.76
1.38	108.56	62.17
1.39	107.47	61.62
1.4	108.97	61.96
1.41	109.51	64.89
1.42	107.51	67.26
1.43	106.75	68.41
1.44	106.19	67.75
1.45	0	63.98
1.46	0	59.08
1.47	0	59.52
1.48	0	60.7
1.49	0	59.66
1.5	0	58.71
1.51	0	58.2
1.52	0	56.54
1.53	0	53.19
1.54	0	49.06
1.55	0	44.8
1.56	0	42.3
1.57	0	55.17
1.58	0	65.27
1.59	120.04	69.73
1.6	120.67	72.07
1.61	119.71	73.33
1.62	118	73.45
1.63	116.15	73.33
1.64	113.85	73.41
1.65	111.51	73.31
1.66	109.51	73.08
1.67	107.8	72.77
1.68	104.51	71.31
1.69	101.65	68.9
1.7	99.17	67.5
1.71	0	67.66
1.72	0	67.82
1.73	0	66.1
1.74	0	62.95
1.75	0	58.53
1.76	0	53.04
1.77	0	45.79
1.78	0	42.31
1.79	0	36.04
1.8	0	31.31
1.81	0	29.1
1.82	0	33.12
1.83	0	50.18
1.84	0	61.06
1.85	0	63.47
1.86	0	57.77
1.87	0	46.06
1.88	0	44.24
1.89	0	45.08
1.9	0	44.57
1.91	0	42.6
1.92	0	40.35
1.93	0	39.3
1.94	0	39.56
1.95	0	40.42
1.96	0	0
1.97	0	0
1.98	0	0
