time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	34.25
0.05	0	31.77
0.06	0	30.09
0.07	0	30.3
0.08	0	31.46
0.09	0	33.39
0.1	0	36.4
0.11	0	39.39
0.12	0	41.79
0.13	0	43.9
0.14	0	46.5
0.15	0	56.97
0.16	0	62.23
0.17	0	61.52
0.18	0	69.94
0.19	0	76.25
0.2	0	77.45
0.21	104.19	75.66
0.22	104	71.77
0.23	102.28	67.38
0.24	105.48	66.93
0.25	106.21	67.81
0.26	107.18	68.29
0.27	108.73	68.61
0.28	109.9	68.83
0.29	110.54	69.63
0.3	113.46	74.49
0.31	113.35	79.48
0.32	113.12	81.65
0.33	113.38	82.27
0.34	114.09	82.27
0.35	114.89	81.88
0.36	116	81.2
0.37	118.14	80.45
0.38	120.45	80.05
0.39	121.87	79.7
0.4	123.29	78.58
0.41	124.37	76.22
0.42	125.33	72.46
0.43	128.07	69.17
0.44	130.54	68.46
0.45	131.47	68.4
0.46	132.5	68.31
0.47	133.63	68.3
0.48	133.8	68.33
0.49	133.97	69.36
0.5	133.64	72.1
0.51	131.68	72.78
0.52	131.22	70.9
0.53	131.39	69.42
0.54	130.6	69.12
0.55	130.18	69.58
0.56	130.5	71.12
0.57	129.9	72.92
0.58	129.3	73.28
0.59	129.31	72.46
0.6	128.89	70.72
0.61	127.63	67.41
0.62	125.8	61.74
0.63	0	54.26
0.64	0	50.75
0.65	0	51.66
0.66	0	53.93
0.67	0	56.04
0.68	0	54.79
0.69	0	48.67
0.7	0	46.08
0.71	0	45.14
0.72	0	39.97
0.73	0	45.35
0.74	0	58.62
0.75	0	65.21
0.76	0	68.54
0.77	0	70.57
0.78	0	70.18
0.79	0	66.28
0.8	0	61.32
0.81	0	63.65
0.82	0	72.89
0.83	0	77.63
0.84	117.03	78.79
0.85	116.29	79.2
0.86	114.9	79.6
0.87	113.32	79.71
0.88	112.52	79.62
0.89	112.65	79.41
0.9	112.77	79.04
0.91	112.53	78.44
0.92	112.42	77.52
0.93	112.37	76.47
0.94	112.87	75.57
0.95	113.12	74.68
0.96	112.4	73.75
0.97	111.05	72.74
0.98	109.68	71.47
0.99	108.27	69.52
1	104.19	66.36
1.01	0	61.32
1.02	0	53.53
1.03	0	44.95
1.04	0	41.06
1.05	0	42.24
1.06	0	47.74
1.07	0	52.82
1.08	0	54.32
1.09	0	55.11
1.1	0	64.03
1.11	116.31	70.22
1.12	98.45	72.11
1.13	100.38	72.05
1.14	99.79	71.56
1.15	98.56	70.5
1.16	97.13	68.84
1.17	96.09	66.97
1.18	94.62	65.32
1.19	0	64.28
1.2	0	64.9
1.21	0	65.71
1.22	0	64.24
1.23	0	61.09
1.24	0	58.03
1.25	0	54.48
1.26	0	51.91
1.27	0	49.87
1.28	0	50.23
1.29	0	57.23
1.3	0	66.22
1.31	0	70.54
1.32	94.74	70.79
1.33	95.55	68.58
1.34	95.94	65.39
1.35	96.51	63.06
1.36	96.98	62.62
1.37	96.93	62.58
1.38	96.89	62.56
1.39	97.13	62.52
1.4	96.28	62.24
1.41	97.04	63.5
1.42	99.4	69.47
1.43	98.99	74.33
1.44	99.39	76.71
1.45	100.29	77.76
1.46	101.18	78.23
1.47	102.01	78.29
1.48	102.36	78.1
1.49	102.67	77.6
1.5	102.74	76.99
1.51	102.55	76.49
1.52	102.32	76.1
1.53	102.08	75.47
1.54	101.74	73.92
1.55	101.84	71.61
1.56	101.98	68.9
1.57	101.93	66.82
1.58	101.81	66.79
1.59	102.13	67.97
1.6	102.12	69.08
1.61	102.28	70.15
1.62	101.63	70.67
1.63	101.74	70.48
1.64	101.5	69.51
1.65	101.58	68.01
1.66	102.28	67.78
1.67	103.34	69.6
1.68	103.34	71.64
1.69	102.43	72.11
1.7	101.33	70.75
1.71	99.31	67.88
1.72	96.52	63.48
1.73	0	57.16
1.74	0	53.99
1.75	0	56.37
1.76	0	56.43
1.77	0	54.21
1.78	0	48.58
1.79	0	44.31
1.8	0	57.17
1.81	0	64.04
1.82	0	65.35
1.83	0	63.18
1.84	0	60.7
1.85	0	59.71
1.86	0	58.81
1.87	0	69.71
1.88	0	78.3
1.89	93.71	81.14
1.9	99.05	82
1.91	95.27	82.24
1.92	93.69	81.74
1.93	92.95	81.02
1.94	92.63	79.85
1.95	88.48	78.04
1.96	90.99	77.06
1.97	88.24	76.26
1.98	90.23	75.09
1.99	89.01	73.69
2	88.1	71.7
2.01	87.96	69.11
2.02	0	65.5
2.03	0	61.28
2.04	0	61.34
2.05	0	64.76
2.06	0	66.96
2.07	0	67.82
2.08	0	67.48
2.09	0	67.42
2.1	0	66.91
2.11	0	64.58
2.12	0	60.75
2.13	0	60.67
2.14	0	61.01
2.15	0	59.09
2.16	0	62.06
2.17	0	62.79
2.18	0	58.35
2.19	0	58.57
2.2	0	65.44
2.21	0	68.57
2.22	0	69.32
2.23	0	69.14
2.24	0	69.66
2.25	0	68.95
2.26	0	67.54
2.27	0	67.41
2.28	0	68.08
2.29	0	65.84
2.3	0	63.12
2.31	0	60.38
2.32	0	56.34
2.33	0	52.9
2.34	0	49.76
2.35	0	46.09
2.36	0	43.43
2.37	0	41.9
2.38	0	40.34
2.39	0	39.5
2.4	0	37.64
2.41	0	35.6
2.42	0	34.48
2.43	0	33.97
2.44	0	0
2.45	0	0
2.46	0	0
2.47	0	0
