time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	26.76
0.04	0	27.43
0.05	0	29.08
0.06	0	31.25
0.07	0	34.65
0.08	0	38.05
0.09	0	40.18
0.1	0	41.48
0.11	0	43.18
0.12	0	43.88
0.13	0	52.45
0.14	0	64.36
0.15	135.89	71.07
0.16	127.07	74.52
0.17	123.31	75.11
0.18	125.95	74.66
0.19	119.76	73.26
0.2	119.2	70.59
0.21	118.73	67.39
0.22	118.6	65.78
0.23	119.09	66.34
0.24	118	67.18
0.25	118.87	67.77
0.26	118.55	67.95
0.27	117.35	68.05
0.28	116.71	68.43
0.29	116.6	68.71
0.3	116.74	69.11
0.31	116.85	69.44
0.32	116.03	68.95
0.33	112.46	66.46
0.34	108.02	60.98
0.35	0	52.3
0.36	0	43.6
0.37	0	47.98
0.38	0	58.05
0.39	0	60.17
0.4	0	57.51
0.41	0	61.87
0.42	0	72.14
0.43	0	77.37
0.44	121.6	79.43
0.45	123.48	80.73
0.46	123.63	80.75
0.47	125.13	79.83
0.48	127.91	79.22
0.49	130.64	79.49
0.5	133.28	80.01
0.51	135.82	79.92
0.52	140.56	78.96
0.53	0	77.18
0.54	0	74.41
0.55	0	71.54
0.56	0	65.65
0.57	0	52.55
0.58	0	40.76
0.59	0	41.46
0.6	0	37.85
0.61	0	34.43
0.62	0	35.67
0.63	0	46.67
0.64	0	63.09
0.65	0	72.21
0.66	141.77	75.59
0.67	135.86	76.1
0.68	132.13	76.19
0.69	129.25	76.68
0.7	124.92	77.1
0.71	120.32	76.77
0.72	118.93	76.12
0.73	119.54	76.47
0.74	119.38	76.38
0.75	120.01	76.33
0.76	119.99	76.48
0.77	119.81	76.4
0.78	119.67	75.98
0.79	119.56	75.09
0.8	118.36	73.21
0.81	117.35	72.85
0.82	117.24	72.73
0.83	116.28	71.79
0.84	113.79	69.63
0.85	109.8	65.82
0.86	106.29	60.19
0.87	0	52.11
0.88	0	39.51
0.89	0	34.72
0.9	0	35.31
0.91	0	41.84
0.92	0	55.67
0.93	0	62.6
0.94	0	62.39
0.95	0	58.6
0.96	0	57.22
0.97	0	57.37
0.98	0	56.64
0.99	0	54.24
1	0	55.76
1.01	0	64.05
1.02	0	69.17
1.03	126.5	70.95
1.04	123.94	71.98
1.05	124.51	72.46
1.06	124.84	72.16
1.07	124.82	71.61
1.08	125.09	70.94
1.09	125.32	70.52
1.1	125.16	70.09
1.11	125.37	69.64
1.12	125.29	69.27
1.13	124.78	68.63
1.14	124.02	67.81
1.15	124.26	67.06
1.16	123.55	66.12
1.17	122.56	64.88
1.18	120.89	63.57
1.19	119.34	62.05
1.2	118.25	60.74
1.21	0	60.45
1.22	0	60.43
1.23	0	61.88
1.24	0	63.78
1.25	0	64.45
1.26	0	63.09
1.27	0	61.14
1.28	0	58.93
1.29	0	55.24
1.3	0	52.5
1.31	0	51.57
1.32	0	51.03
1.33	0	51.08
1.34	0	54.71
1.35	0	61.18
1.36	124.13	64.66
1.37	117.53	65.18
1.38	117.68	66.39
1.39	0	67.34
1.4	0	68.85
1.41	0	68.73
1.42	117.62	67.92
1.43	109.1	68.8
1.44	106.47	68.96
1.45	108.02	70.14
1.46	0	71.48
1.47	0	72.58
1.48	0	73.15
1.49	0	72.44
1.5	0	71.88
1.51	0	70.41
1.52	0	67.68
1.53	0	61.91
1.54	0	59.88
1.55	0	59.67
1.56	0	58.9
1.57	0	58.59
1.58	0	58.06
1.59	0	58.61
1.6	0	62.86
1.61	101.15	65.98
1.62	0	65.21
1.63	0	62.84
1.64	0	62.99
1.65	0	62.13
1.66	0	61.33
1.67	0	59.93
1.68	0	57.62
1.69	0	53.84
1.7	0	49.81
1.71	0	46.33
1.72	0	43.7
1.73	0	43.07
1.74	0	41.98
1.75	0	40
1.76	0	37.53
1.77	0	35.54
1.78	0	33.69
1.79	0	31.25
1.8	0	30.52
1.81	0	30.38
1.82	0	0
1.83	0	0
1.84	0	0
