time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	35.45
0.04	0	35.45
0.05	0	35.03
0.06	0	34.79
0.07	0	34.73
0.08	0	35.28
0.09	0	36.05
0.1	0	37.4
0.11	0	40.68
0.12	0	44.18
0.13	0	48.17
0.14	0	52.9
0.15	0	55.2
0.16	0	56.65
0.17	0	60.24
0.18	0	69.36
0.19	0	75.15
0.2	0	79.12
0.21	145.33	81.68
0.22	141.38	82.95
0.23	139.13	83.27
0.24	137.72	83.38
0.25	137.08	83.4
0.26	133.57	82.98
0.27	130.99	82.21
0.28	125.35	81
0.29	121.05	79.16
0.3	114.38	76.89
0.31	109.79	74.64
0.32	104.55	72.42
0.33	100.11	69.4
0.34	93.75	65.65
0.35	89.36	61.24
0.36	0	55
0.37	0	46.6
0.38	0	37.78
0.39	0	34.41
0.4	0	34.55
0.41	0	34.33
0.42	0	34.8
0.43	0	44.53
0.44	0	56.9
0.45	0	61.77
0.46	0	63.19
0.47	0	62.54
0.48	0	61.08
0.49	0	64.24
0.5	0	70.69
0.51	117.76	75.82
0.52	119.66	79.12
0.53	119.63	80.56
0.54	120.06	80.79
0.55	120.32	80.82
0.56	120.34	81.03
0.57	119.87	80.58
0.58	119.29	78.35
0.59	120.52	74.2
0.6	122.84	71.51
0.61	125.26	71.57
0.62	126.67	71.94
0.63	127.01	71.92
0.64	127.62	71.61
0.65	127.97	71.14
0.66	127.28	69.83
0.67	125.74	66.84
0.68	124.94	61.63
0.69	0	64.2
0.7	0	75.13
0.71	122.27	80.5
0.72	127.11	82.18
0.73	127.21	82.42
0.74	126.58	82.14
0.75	125.57	81.91
0.76	123.74	81.47
0.77	122.76	81.02
0.78	121.78	81.06
0.79	119.26	81.26
0.8	116.24	81.42
0.81	111.97	81.21
0.82	107.25	80.42
0.83	102.55	79.64
0.84	99.65	78.81
0.85	96.24	77.64
0.86	92.85	75.86
0.87	91.46	73.17
0.88	0	68.63
0.89	0	60.64
0.9	0	47.37
0.91	0	35.09
0.92	0	32.88
0.93	0	48.49
0.94	0	60.04
0.95	0	62.76
0.96	0	60.1
0.97	0	60.31
0.98	0	62.12
0.99	0	61.46
1	0	59.88
1.01	0	61.82
1.02	90.37	64.5
1.03	89.86	65.45
1.04	89.7	65.6
1.05	89.49	65.07
1.06	88.27	64.11
1.07	86.52	62.85
1.08	0	62.24
1.09	0	64.19
1.1	0	67.42
1.11	0	69.74
1.12	0	70.72
1.13	0	70.78
1.14	0	71.11
1.15	0	71.45
1.16	0	71.82
1.17	0	72.18
1.18	0	72.04
1.19	0	72.92
1.2	0	70.77
1.21	0	65.59
1.22	0	65.42
1.23	0	69.69
1.24	91.85	70.69
1.25	88.73	70.86
1.26	88.39	71.07
1.27	87.28	71.16
1.28	86.44	71.7
1.29	86.1	72.53
1.3	85.6	72.97
1.31	85.42	72.77
1.32	84.82	72.86
1.33	84.41	73.44
1.34	84.21	73.99
1.35	84.18	74.25
1.36	84.47	74.17
1.37	84.59	73.95
1.38	84.41	73.92
1.39	84.3	73.97
1.4	84.53	73.98
1.41	85.3	73.79
1.42	85.68	73.39
1.43	0	71.72
1.44	0	66.48
1.45	0	58.88
1.46	0	56.86
1.47	0	60.28
1.48	0	63.64
1.49	0	66.53
1.5	0	67.67
1.51	0	69.45
1.52	0	69.35
1.53	0	68.91
1.54	0	67.18
1.55	0	64.47
1.56	0	60.32
1.57	0	52.59
1.58	0	48.19
1.59	0	49.84
1.6	0	47.9
1.61	0	41.62
1.62	0	39.47
1.63	0	39.44
1.64	0	40.26
1.65	0	40.29
1.66	0	38.66
1.67	0	37.62
1.68	0	37.31
1.69	0	37.5
1.7	0	0
1.71	0	0
1.72	0	0
