time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	31.13
0.04	0	30.8
0.05	0	28.62
0.06	0	24.57
0.07	0	22.76
0.08	0	24.25
0.09	0	27.88
0.1	0	29.99
0.11	0	31.44
0.12	0	34.81
0.13	0	41.13
0.14	0	46.67
0.15	0	50.43
0.16	0	56.13
0.17	0	63.12
0.18	131.83	66.43
0.19	132.34	66.28
0.2	0	63.02
0.21	0	55.6
0.22	0	45.97
0.23	0	40.92
0.24	0	35.85
0.25	0	52.67
0.26	0	64.14
0.27	0	67.65
0.28	0	66.36
0.29	161.66	70.52
0.3	161.19	78.27
0.31	161.91	82.48
0.32	166.33	84.4
0.33	173.41	85.12
0.34	180.08	85.21
0.35	186.9	84.78
0.36	193.21	84.11
0.37	197.04	83.43
0.38	199.37	82.42
0.39	200.52	80.52
0.4	199.78	76.74
0.41	191.01	69.38
0.42	179.67	63.28
0.43	170.85	64.1
0.44	157.91	65.54
0.45	144.6	68.45
0.46	136.38	71.03
0.47	130.38	71.11
0.48	126.09	68.99
0.49	121.86	65.65
0.5	0	61.9
0.51	0	61.55
0.52	0	65.31
0.53	0	67.62
0.54	0	67.72
0.55	0	67.56
0.56	0	67.18
0.57	0	66.24
0.58	0	64.23
0.59	0	66.39
0.6	129.02	73.01
0.61	127.62	76.7
0.62	124.26	77.7
0.63	121.33	77.33
0.64	119.48	76.17
0.65	117	73.84
0.66	113.9	69.82
0.67	0	63.5
0.68	0	54.04
0.69	0	40.25
0.7	0	38.92
0.71	0	50.97
0.72	0	56.78
0.73	0	58.01
0.74	0	58.22
0.75	0	63.74
0.76	134.77	68.1
0.77	133.76	68.37
0.78	132.25	66.3
0.79	137	68.17
0.8	143.96	72.63
0.81	147.2	75.22
0.82	149.82	76.58
0.83	152.46	77.66
0.84	155.12	78.21
0.85	157.65	78.37
0.86	159.3	78.29
0.87	159.01	77.75
0.88	156.53	77.16
0.89	152.09	76.23
0.9	146.21	75.01
0.91	137.36	73.37
0.92	128.42	70.77
0.93	0	66.21
0.94	0	58.29
0.95	0	45.08
0.96	0	31.65
0.97	0	30.18
0.98	0	35.44
0.99	0	51.45
1	0	60.73
1.01	0	63.4
1.02	0	62.07
1.03	0	62.74
1.04	132.25	67.14
1.05	128.93	69.81
1.06	124.27	70.84
1.07	122.11	70.85
1.08	120.84	69.2
1.09	119.94	65.12
1.1	121.1	62.31
1.11	122.76	62.97
1.12	123.08	63.28
1.13	124.24	64.13
1.14	124.19	66.97
1.15	123.38	68.5
1.16	123.77	68.37
1.17	124.08	67.84
1.18	124.06	66.37
1.19	123.97	63.85
1.2	124.16	62.69
1.21	124.14	62.58
1.22	124.58	63.12
1.23	125.89	65.58
1.24	127.12	68.53
1.25	127.85	70.66
1.26	128.08	72.66
1.27	127.48	74.37
1.28	126.21	74.79
1.29	125.07	74.28
1.3	124.43	72.87
1.31	0	68.98
1.32	0	60.37
1.33	0	45.38
1.34	0	30.41
1.35	0	26.87
1.36	0	29.04
1.37	0	33.78
1.38	0	49.64
1.39	0	63.39
1.4	0	69.8
1.41	120.16	71.58
1.42	119.57	70.91
1.43	118.33	69.41
1.44	116.88	66.95
1.45	115.2	62.76
1.46	114.53	59.11
1.47	114.02	58.44
1.48	112.27	58.8
1.49	111.08	60.53
1.5	111.59	62.51
1.51	112.28	63.13
1.52	111.72	62.1
1.53	0	58.64
1.54	0	51.01
1.55	0	48.27
1.56	0	54.57
1.57	0	59.28
1.58	0	62.45
1.59	0	62.06
1.6	0	60.92
1.61	0	60.93
1.62	148.48	66.53
1.63	149.07	70.9
1.64	151.72	72.57
1.65	156.83	72.67
1.66	162.1	71.66
1.67	167.12	70.41
1.68	171.93	69.43
1.69	174.42	68.92
1.7	173.23	68.83
1.71	167.72	69.61
1.72	157.57	70.82
1.73	147.2	70.88
1.74	131.39	69.63
1.75	116.78	69.47
1.76	109.41	69.71
1.77	105.74	67.88
1.78	103.6	63.26
1.79	0	57.52
1.8	0	54.62
1.81	0	52.54
1.82	0	49.87
1.83	0	46.16
1.84	0	41.18
1.85	0	38.01
1.86	0	39.13
1.87	0	41.15
1.88	0	41.23
1.89	0	41.07
1.9	0	41.14
1.91	0	40.84
1.92	0	40.93
1.93	0	40.81
1.94	0	40.39
1.95	0	40.56
1.96	0	40.92
1.97	0	40.83
1.98	0	39.83
1.99	0	38.97
2	0	38.26
2.01	0	37.65
2.02	0	37.09
2.03	0	37.15
2.04	0	37.49
2.05	0	37.81
2.06	0	37.58
2.07	0	37.67
2.08	0	38.5
2.09	0	38.36
2.1	0	37.11
2.11	0	36.44
2.12	0	35.94
2.13	0	35.98
2.14	0	36.16
2.15	0	35.81
2.16	0	35.54
2.17	0	36.26
2.18	0	36.51
2.19	0	36.24
2.2	0	35.67
2.21	0	34.98
2.22	0	34.22
2.23	0	33.63
2.24	0	33.71
2.25	0	34.24
2.26	0	34.07
2.27	0	34.17
2.28	0	34.56
2.29	0	34.17
2.3	0	33.74
2.31	0	0
2.32	0	0
?	?	?
