time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	30.53
0.04	0	30.88
0.05	0	29.84
0.06	0	29.23
0.07	0	30.25
0.08	0	31.72
0.09	0	32.71
0.1	0	32
0.11	0	30.92
0.12	0	30.21
0.13	0	35.85
0.14	0	42.06
0.15	0	40.78
0.16	0	35.57
0.17	0	34.87
0.18	0	36.86
0.19	0	44.62
0.2	0	57.28
0.21	0	65.16
0.22	0	69.55
0.23	126.49	71.5
0.24	125.89	71.53
0.25	123.74	71.06
0.26	121.98	69.1
0.27	0	63.68
0.28	0	55.9
0.29	0	53.49
0.3	0	53.98
0.31	0	55.77
0.32	0	59.15
0.33	117.41	61.99
0.34	117.08	63.06
0.35	119.08	63.82
0.36	119.32	64.92
0.37	118.12	68.74
0.38	115.45	74.3
0.39	115.13	77.79
0.4	115.5	79.84
0.41	115.31	80.95
0.42	117.23	81.7
0.43	118.53	82.09
0.44	119.4	81.92
0.45	120.19	81.6
0.46	119.13	80.93
0.47	115.33	79.56
0.48	111.41	77.97
0.49	110.76	75.51
0.5	111.12	71.2
0.51	110.09	65.09
0.52	122.95	61.77
0.53	127.62	61.74
0.54	126.63	60.74
0.55	125.8	59.83
0.56	127.1	61.27
0.57	123.3	65.19
0.58	123.85	69.25
0.59	127.54	72.75
0.6	126.48	75.77
0.61	125.89	77.87
0.62	125.11	78.99
0.63	123.18	79.04
0.64	122.37	78.1
0.65	121	76.5
0.66	119.48	74.24
0.67	117.59	70.39
0.68	0	63.92
0.69	0	54.02
0.7	0	40.51
0.71	0	38.01
0.72	0	46.45
0.73	0	52.16
0.74	0	56.2
0.75	0	59.81
0.76	0	62.42
0.77	0	64.39
0.78	0	65.68
0.79	0	65.69
0.8	0	63.72
0.81	0	60.89
0.82	0	65.37
0.83	0	67.82
0.84	0	68.58
0.85	0	68.18
0.86	0	68.22
0.87	0	67.97
0.88	0	67.65
0.89	0	65.73
0.9	104.06	63.9
0.91	103.71	63.84
0.92	103.41	64.12
0.93	102.59	64.88
0.94	105.34	66.39
0.95	105.9	68.67
0.96	106.11	71.57
0.97	107.86	73.94
0.98	107.17	74.55
0.99	107.17	74.1
1	104.9	73.61
1.01	105.28	73.47
1.02	104.2	73.78
1.03	104.2	73.72
1.04	104.67	72.77
1.05	106.27	70.45
1.06	0	69.2
1.07	0	70.87
1.08	0	70.5
1.09	0	70.07
1.1	0	68.56
1.11	0	66.82
1.12	0	62.61
1.13	0	59.27
1.14	0	56.37
1.15	0	54.12
1.16	0	51.41
1.17	0	48.14
1.18	0	43.85
1.19	0	41.03
1.2	0	39.89
1.21	0	39.73
1.22	0	40.19
1.23	0	39.26
1.24	0	37.66
1.25	0	36.85
1.26	0	0
1.27	0	0
1.28	0	0
