time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	38.53
0.05	0	38.74
0.06	0	38.95
0.07	0	39.22
0.08	0	38.74
0.09	0	38.06
0.1	0	37.77
0.11	0	37.34
0.12	0	36.23
0.13	0	34.94
0.14	0	34.64
0.15	0	34.27
0.16	0	33.96
0.17	0	33.12
0.18	0	35.14
0.19	0	35.39
0.2	0	38.45
0.21	0	40.86
0.22	0	47.1
0.23	0	58.05
0.24	0	64.87
0.25	0	71.75
0.26	105.85	76.82
0.27	106.46	80.07
0.28	107.03	81.8
0.29	107.68	82.57
0.3	109.14	82.45
0.31	110.56	81.36
0.32	0	78.42
0.33	0	71.51
0.34	0	57.58
0.35	0	37.89
0.36	0	39.18
0.37	0	49.74
0.38	0	59.12
0.39	0	65.93
0.4	0	68.5
0.41	0	67.66
0.42	0	65.2
0.43	0	63.28
0.44	0	61.7
0.45	0	58.69
0.46	0	60.58
0.47	122.31	72.7
0.48	122.49	79.41
0.49	111.43	81.51
0.5	101.62	81.37
0.51	99.61	80.97
0.52	98.95	80.39
0.53	98.73	79.61
0.54	98.44	78.84
0.55	97.95	77.89
0.56	97.31	75.81
0.57	97.36	72.04
0.58	0	65.56
0.59	0	56.12
0.6	0	47.73
0.61	0	40.19
0.62	0	30.75
0.63	0	40.89
0.64	0	56.37
0.65	0	62.5
0.66	0	62.84
0.67	0	64.81
0.68	0	70.56
0.69	98.94	72.69
0.7	98.77	72.53
0.71	96.29	71.56
0.72	92.89	69.63
0.73	88.03	66.34
0.74	0	60.52
0.75	0	51.93
0.76	0	38.95
0.77	0	29.31
0.78	0	47.12
0.79	0	59.06
0.8	0	62.47
0.81	0	60.62
0.82	0	59.52
0.83	0	59.95
0.84	0	58.94
0.85	0	65.37
0.86	0	74.27
0.87	99.75	78.24
0.88	98.83	79.36
0.89	98.01	80.29
0.9	97.52	80.37
0.91	97.12	79.56
0.92	96.76	77.57
0.93	96.32	73.2
0.94	96.42	67.13
0.95	96.98	64.05
0.96	97.22	63.42
0.97	96.58	62.61
0.98	95.41	61.57
0.99	94.77	59.37
1	0	54.39
1.01	0	44.53
1.02	0	46.37
1.03	0	58.14
1.04	0	61.82
1.05	0	61.56
1.06	0	60.35
1.07	0	57.61
1.08	0	58.97
1.09	0	66.23
1.1	93.9	70.26
1.11	91.48	71.22
1.12	88.26	70.57
1.13	86.1	69.91
1.14	85.12	70.04
1.15	86.32	70.23
1.16	85.68	69.86
1.17	84.58	67.45
1.18	0	65.07
1.19	0	62.43
1.2	0	58.93
1.21	0	60.36
1.22	0	63.68
1.23	0	64.97
1.24	0	64.64
1.25	0	64.66
1.26	0	65.45
1.27	0	65.19
1.28	0	64.14
1.29	0	65.5
1.3	0	65.86
1.31	0	63.55
1.32	0	67.71
1.33	95.64	73.79
1.34	93.28	76.14
1.35	91.28	76.38
1.36	89.98	76.44
1.37	88.67	76.3
1.38	88.4	75.39
1.39	88.63	73.92
1.4	89.28	71.85
1.41	90.26	70.97
1.42	0	69.86
1.43	0	64.6
1.44	0	53.28
1.45	0	48.26
1.46	0	51.02
1.47	0	53.27
1.48	0	55.21
1.49	0	56.6
1.5	0	55.7
1.51	0	62.13
1.52	94.9	69.38
1.53	91.5	71.77
1.54	88.79	71.35
1.55	88.37	68.98
1.56	0	64.08
1.57	0	55.41
1.58	0	43.55
1.59	0	31.99
1.6	0	25.87
1.61	0	26.36
1.62	0	27.39
1.63	0	34.62
1.64	0	53.36
1.65	0	61.51
1.66	0	62.19
1.67	0	59.34
1.68	0	57.96
1.69	121.75	65.09
1.7	105.89	72.09
1.71	93.76	74.46
1.72	92.11	74.97
1.73	91.02	75.58
1.74	88.22	76.55
1.75	85.68	76.67
1.76	84.52	76.6
1.77	84.74	76.59
1.78	80.12	76.52
1.79	0	76.2
1.8	0	73.72
1.81	0	72.45
1.82	0	70.59
1.83	0	68.78
1.84	0	68.43
1.85	0	66.29
1.86	0	67.47
1.87	0	65.94
1.88	0	61.95
1.89	0	59.96
1.9	0	56.08
1.91	0	53.06
1.92	0	54.07
1.93	0	59.49
1.94	0	62.34
1.95	0	62.91
1.96	0	64.36
1.97	0	64.98
1.98	0	64.07
1.99	0	62.92
2	0	62.63
2.01	0	62.67
2.02	0	61.63
2.03	0	60.8
2.04	0	60.55
2.05	0	60.75
2.06	0	60.37
2.07	0	59.21
2.08	0	59.11
2.09	0	58.74
2.1	0	54.93
2.11	0	47.15
2.12	0	40.84
2.13	0	39.82
2.14	0	39.56
2.15	0	37.88
2.16	0	36.14
2.17	0	35.66
2.18	0	35.21
2.19	0	34.67
2.2	0	35.56
2.21	0	34.38
2.22	0	32.28
2.23	0	31.8
2.24	0	31.51
2.25	0	0
2.26	0	0
2.27	0	0
?	?	?
