time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	18.52
0.05	0	18.34
0.06	0	18.96
0.07	0	19.02
0.08	0	18.48
0.09	0	19.37
0.1	0	20.38
0.11	0	20.44
0.12	0	23.06
0.13	0	37.74
0.14	0	47.91
0.15	0	52.57
0.16	0	57.03
0.17	120.95	62.27
0.18	124.15	66.23
0.19	126.39	68.77
0.2	125.02	70.82
0.21	121.83	71.35
0.22	118.51	70.09
0.23	117.43	67.75
0.24	117.53	63.57
0.25	0	57.03
0.26	0	48.55
0.27	0	42.79
0.28	0	41.05
0.29	0	39.36
0.3	0	37.94
0.31	0	37.75
0.32	0	43.74
0.33	0	52.84
0.34	148.84	59.41
0.35	149.14	66.39
0.36	150.42	71.88
0.37	153.15	75.67
0.38	156.02	78.07
0.39	159.45	79.24
0.4	162.63	79.38
0.41	163.64	78.62
0.42	161.99	76.59
0.43	158.81	73.12
0.44	156.95	68.44
0.45	0	64.88
0.46	0	64.94
0.47	0	65.86
0.48	0	65.8
0.49	0	63.54
0.5	0	57.94
0.51	0	53.59
0.52	0	55.54
0.53	165.48	58.43
0.54	164.72	60.67
0.55	163.53	61.97
0.56	162.43	62.74
0.57	162.45	66.52
0.58	160.64	73.51
0.59	157.64	77.85
0.6	156.04	79.44
0.61	154.59	79.75
0.62	153.33	79.5
0.63	152.99	79.02
0.64	153.52	78.39
0.65	152.83	76.9
0.66	147.16	73.9
0.67	0	68.82
0.68	0	60.61
0.69	0	49.07
0.7	0	41.52
0.71	0	46.89
0.72	0	52.36
0.73	0	55.36
0.74	0	60.28
0.75	145.59	65.88
0.76	145.08	69.87
0.77	143.23	72.57
0.78	139.37	73.77
0.79	135.4	73.46
0.8	133.79	72.21
0.81	132.41	70.38
0.82	130.25	67.64
0.83	127.85	64.49
0.84	128.19	61.21
0.85	0	57.7
0.86	0	54.7
0.87	0	52.85
0.88	0	53.65
0.89	0	57.47
0.9	146.51	62.07
0.91	147.16	65.42
0.92	147.98	67.55
0.93	148.21	70.19
0.94	149.64	72.84
0.95	149.32	73.75
0.96	148.3	73.65
0.97	148.22	72.93
0.98	147.81	70.24
0.99	146.68	64.96
1	146.98	62.07
1.01	148.11	63.69
1.02	148.06	66.26
1.03	147.27	67.87
1.04	146.59	68.64
1.05	146.01	69.38
1.06	146.11	69.67
1.07	146.72	69.26
1.08	146.35	69.09
1.09	145.79	68.77
1.1	145.4	68.43
1.11	144.93	68.37
1.12	144.76	68.72
1.13	144.77	69.47
1.14	144.81	70.07
1.15	145.28	70.45
1.16	146.62	71.07
1.17	148.22	71.95
1.18	149.27	72.77
1.19	149.88	73.43
1.2	150.17	73.94
1.21	150.07	74.18
1.22	149.75	74.18
1.23	148.91	73.92
1.24	147.57	73.32
1.25	144.84	72.33
1.26	141.82	70.83
1.27	139.05	68.75
1.28	135.31	65.94
1.29	131.86	63.06
1.3	130.74	61.46
1.31	130.78	61.94
1.32	131.98	63.42
1.33	135.26	64.99
1.34	138.56	67.01
1.35	139.64	69.05
1.36	139.89	70.59
1.37	141.27	71.23
1.38	142.54	70.48
1.39	141.58	68.89
1.4	139.85	67.65
1.41	138.47	66.74
1.42	137.16	65.68
1.43	136.12	64.75
1.44	135.43	64.56
1.45	135.32	65.35
1.46	135.87	66.73
1.47	136.58	68.8
1.48	136.58	70.9
1.49	133.4	71.77
1.5	130.16	71.65
1.51	128.11	70.37
1.52	123.59	66.5
1.53	0	58.81
1.54	0	46.59
1.55	0	34.05
1.56	0	23.67
1.57	0	18.88
1.58	0	19.94
1.59	0	20.25
1.6	0	20.3
1.61	0	22.45
1.62	0	42.47
1.63	0	52.8
1.64	0	56.92
1.65	0	61.31
1.66	0	64.54
1.67	0	64.85
1.68	0	64.02
1.69	0	62.91
1.7	0	61.33
1.71	0	61.17
1.72	0	60.15
1.73	0	58.97
1.74	0	60.62
1.75	158.35	65.81
1.76	156	72.01
1.77	152.12	76.23
1.78	149.17	79.36
1.79	146.55	80.55
1.8	142.05	78.48
1.81	138.21	75.5
1.82	137.27	74.57
1.83	137.44	75.19
1.84	137.24	76.62
1.85	136.97	78.21
1.86	137.86	79.48
1.87	139.61	81.32
1.88	141.16	83.54
1.89	142.74	84.8
1.9	143.75	84.96
1.91	144.36	83.9
1.92	145.16	81.9
1.93	145.77	80.01
1.94	147.39	77.29
1.95	149.71	74.78
1.96	151.67	74.15
1.97	153.12	74.43
1.98	153.75	74.81
1.99	153.41	75.14
2	152.25	75.29
2.01	150.71	74.55
2.02	149.81	72.04
2.03	147.31	68.28
2.04	0	63.89
2.05	0	58.71
2.06	0	54.46
2.07	0	46.58
2.08	0	32.57
2.09	0	22.22
2.1	0	20.15
2.11	0	19.09
2.12	0	18.3
2.13	0	18.35
2.14	0	18.46
2.15	0	18.21
2.16	0	0
2.17	0	0
2.18	0	0
?	?	?
