time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	0
0.04	0	26.5
0.05	0	29.69
0.06	0	29.71
0.07	0	28.43
0.08	0	28.29
0.09	0	26.32
0.1	0	24.18
0.11	0	23.52
0.12	0	26.29
0.13	0	30.66
0.14	0	30.45
0.15	0	25.74
0.16	0	28.72
0.17	0	46.17
0.18	0	57.54
0.19	0	63.11
0.2	128.07	64.78
0.21	130.8	64.66
0.22	130.16	61.87
0.23	0	55.12
0.24	0	46.61
0.25	0	43.15
0.26	0	42.06
0.27	0	40.29
0.28	0	38.12
0.29	0	37.46
0.3	0	38.59
0.31	0	41.67
0.32	0	44.18
0.33	0	45.08
0.34	0	46.72
0.35	0	54.1
0.36	0	65.68
0.37	145.26	72.37
0.38	145.33	75.44
0.39	145.4	76.91
0.4	145.31	77.96
0.41	145.23	78.9
0.42	145.31	79.71
0.43	145.64	80.15
0.44	146.64	80.1
0.45	148.31	79.31
0.46	151.23	77.58
0.47	154	75.18
0.48	155.43	73.06
0.49	155.56	71.77
0.5	154.84	71.47
0.51	153.53	71.99
0.52	151.23	72.89
0.53	149.36	74.02
0.54	147.88	75.63
0.55	146.94	77.63
0.56	146.6	79.18
0.57	146.29	79.73
0.58	145.8	79.49
0.59	145.67	79.34
0.6	145.95	79.45
0.61	146.45	79.2
0.62	146.67	78.87
0.63	146.51	78.69
0.64	145.98	78.21
0.65	145.19	76.99
0.66	143.77	74.89
0.67	141.18	71.86
0.68	137.34	67.48
0.69	0	63.6
0.7	0	63.75
0.71	0	65.03
0.72	0	64.14
0.73	0	62.86
0.74	0	62.7
0.75	0	65.13
0.76	132.65	69.82
0.77	132.58	72.62
0.78	132.13	74.49
0.79	131.1	75.93
0.8	130.28	78.43
0.81	127.86	81.14
0.82	126.64	82.9
0.83	126.69	83.98
0.84	126.53	84.32
0.85	125.73	83.95
0.86	124.99	83.13
0.87	124.77	81.81
0.88	124.76	80.48
0.89	124.69	79.42
0.9	124.64	78.8
0.91	124.49	78.59
0.92	124.18	78.03
0.93	0	75.15
0.94	0	67.75
0.95	0	65.26
0.96	122.68	71.17
0.97	123.09	75.04
0.98	123.87	77.19
0.99	124.24	77.53
1	123.97	77.04
1.01	123.72	76.23
1.02	123.54	75.37
1.03	123.17	74.49
1.04	122.49	72.91
1.05	120.69	69.15
1.06	0	61.06
1.07	0	48.28
1.08	0	42.78
1.09	0	46.74
1.1	120.63	56.02
1.11	120.89	64.14
1.12	120.78	68.57
1.13	120	70.21
1.14	119.39	70.21
1.15	118.78	68.24
1.16	0	62.93
1.17	0	53.29
1.18	0	46.07
1.19	0	45.09
1.2	0	44.42
1.21	0	43.93
1.22	0	54.43
1.23	0	63.66
1.24	123.79	70.53
1.25	124.08	75.29
1.26	123.45	77.01
1.27	122.29	77.65
1.28	122.1	78.69
1.29	122.15	79.39
1.3	121.83	78.61
1.31	120.73	76.6
1.32	120.12	75.45
1.33	120.43	75.22
1.34	120.8	75.12
1.35	121.05	74.52
1.36	121.25	73.21
1.37	121.18	72.16
1.38	121.19	70.74
1.39	120.97	68.39
1.4	120.53	65.67
1.41	119.85	63.07
1.42	118.92	61.24
1.43	117.94	60.6
1.44	117.22	59.9
1.45	115.75	58.33
1.46	0	55.04
1.47	0	49.74
1.48	0	43.11
1.49	0	42.76
1.5	0	47.9
1.51	0	52.89
1.52	0	56.27
1.53	0	56.49
1.54	0	53.16
1.55	0	50.6
1.56	0	50.45
1.57	0	62.14
1.58	0	70.86
1.59	0	74.12
1.6	0	75.15
1.61	109.26	75.43
1.62	108.79	74.86
1.63	107.85	74.44
1.64	107.92	74.29
1.65	0	74.13
1.66	0	74.02
1.67	0	73.34
1.68	0	72.69
1.69	0	72.04
1.7	0	71.36
1.71	0	71.03
1.72	0	70.71
1.73	0	70.36
1.74	0	70.26
1.75	0	69.67
1.76	0	68.97
1.77	0	68.41
1.78	0	68.08
1.79	0	67.83
1.8	0	67.13
1.81	0	66.36
1.82	0	65.13
1.83	0	63.21
1.84	0	58.68
1.85	0	53.78
1.86	0	50.07
1.87	0	45.98
1.88	0	42.52
1.89	0	38.67
1.9	0	34.27
1.91	0	31.99
1.92	0	30.82
1.93	0	28.24
1.94	0	26.84
1.95	0	26.98
1.96	0	25.56
1.97	0	0
1.98	0	0
1.99	0	0
?	?	?
