time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	30.45
0.04	0	30.54
0.05	0	30.55
0.06	0	30.2
0.07	0	30.26
0.08	0	30.97
0.09	0	31.27
0.1	0	32.02
0.11	0	33.38
0.12	0	36.19
0.13	0	44.02
0.14	0	59.39
0.15	0	72.39
0.16	0	79.5
0.17	108.76	82.65
0.18	108.78	83.5
0.19	108.44	83.24
0.2	108.21	82.2
0.21	108.95	80
0.22	109.6	76.72
0.23	106.36	72.72
0.24	102.53	67
0.25	0	58.27
0.26	0	47.58
0.27	0	47.08
0.28	0	56.55
0.29	0	63.4
0.3	0	67.09
0.31	0	69.31
0.32	0	71.08
0.33	0	72.24
0.34	0	72.28
0.35	0	71.13
0.36	0	70.63
0.37	0	70.55
0.38	0	70.46
0.39	0	68.94
0.4	0	67.79
0.41	0	68.15
0.42	0	66.61
0.43	0	62.73
0.44	0	58.58
0.45	0	66.81
0.46	0	73.73
0.47	108.3	76.53
0.48	107.1	78.53
0.49	104.84	80.47
0.5	103.55	81.29
0.51	103.3	81.18
0.52	103.24	80.83
0.53	103.31	80.42
0.54	103.2	79.88
0.55	102.92	78.99
0.56	102.75	77.89
0.57	101.93	76.17
0.58	100.48	73.68
0.59	99.44	71.03
0.6	98.59	68.94
0.61	97.71	67.5
0.62	97.3	66.26
0.63	97.6	65.45
0.64	100.78	67.77
0.65	104.35	72.61
0.66	105.02	75.19
0.67	104.58	75.6
0.68	104.1	74.85
0.69	103.67	73.76
0.7	103.03	72.91
0.71	102.01	72.57
0.72	101.13	72.53
0.73	100.46	72.8
0.74	100.03	73.59
0.75	99.64	74.75
0.76	99.02	75.88
0.77	98.31	76.35
0.78	0	75.56
0.79	0	72.32
0.8	0	68.36
0.81	0	68.05
0.82	0	63.86
0.83	0	50.63
0.84	0	42.36
0.85	0	49.29
0.86	0	54.56
0.87	99.52	56.67
0.88	97.26	57.74
0.89	92.61	59.96
0.9	91.79	64.56
0.91	95.21	67.36
0.92	97.39	68.07
0.93	98.59	68.58
0.94	99.25	68.62
0.95	98.63	68.09
0.96	97.4	67.16
0.97	95.44	65.96
0.98	92.13	63.88
0.99	0	60.49
1	0	59.54
1.01	0	63.06
1.02	0	65.38
1.03	0	65.18
1.04	0	62.88
1.05	0	56.88
1.06	0	47.76
1.07	0	43.09
1.08	0	48.97
1.09	0	57.63
1.1	0	60.4
1.11	0	57.29
1.12	0	51
1.13	0	46.75
1.14	0	49.38
1.15	0	62.22
1.16	102.66	69.79
1.17	101.31	73.29
1.18	100	75.04
1.19	99.63	75.67
1.2	98.64	75.32
1.21	97.53	74.57
1.22	96.81	73.29
1.23	95.4	69.32
1.24	94.27	62.6
1.25	94.85	59.11
1.26	93.48	57.74
1.27	0	58.31
1.28	0	58.52
1.29	0	57.79
1.3	0	57.12
1.31	0	58.47
1.32	98.88	60.93
1.33	99.04	62.69
1.34	99.59	65.31
1.35	99.6	68.77
1.36	98.37	71.77
1.37	97.16	73.79
1.38	96.51	74.28
1.39	96.09	73.78
1.4	95.71	73.05
1.41	94.92	72.12
1.42	93.57	70.51
1.43	91.97	67.88
1.44	90.33	64.2
1.45	0	60.68
1.46	0	57.62
1.47	0	52.73
1.48	0	45.64
1.49	0	41.02
1.5	0	37.03
1.51	0	40.81
1.52	0	47.43
1.53	0	53.04
1.54	0	56.38
1.55	0	63.72
1.56	0	72.3
1.57	89.21	75.83
1.58	92.98	76.23
1.59	96.07	76.37
1.6	95.64	75.9
1.61	95.08	75.3
1.62	94.73	74.95
1.63	94.64	74.79
1.64	94.77	74.65
1.65	95.04	74.37
1.66	95.13	74.3
1.67	95.22	74.18
1.68	95.44	73.88
1.69	95.61	73.83
1.7	95.79	73.53
1.71	95.68	72.98
1.72	95.01	72.21
1.73	94.45	71.56
1.74	94.33	71.29
1.75	94.43	70.85
1.76	94.2	70.44
1.77	93.06	69.98
1.78	91.59	68.7
1.79	90.85	66.65
1.8	90.85	64.72
1.81	91.58	63.64
1.82	94.07	64.44
1.83	95.93	66.9
1.84	95.68	69.54
1.85	94.99	71.4
1.86	94.61	72.4
1.87	94.87	72.91
1.88	95.24	73.07
1.89	95.77	72.96
1.9	96.36	72.62
1.91	96.28	72.14
1.92	96.35	71.74
1.93	96.63	70.83
1.94	96.51	69.05
1.95	96.01	65.8
1.96	96.27	61.91
1.97	97.2	59.7
1.98	97.4	58.42
1.99	96.95	57.23
2	96.54	55.99
2.01	0	54.24
2.02	0	51.02
2.03	0	52.17
2.04	0	58.94
2.05	0	60.23
2.06	104.51	60.74
2.07	105.42	64.22
2.08	106.79	66.44
2.09	108	66.91
2.1	108.94	66.52
2.11	109.07	65.67
2.12	109.3	64.2
2.13	109.52	61.44
2.14	0	57.52
2.15	0	54.07
2.16	0	50.93
2.17	0	46.85
2.18	0	41.94
2.19	0	37.1
2.2	0	34.54
2.21	0	34.1
2.22	0	33.57
2.23	0	0
2.24	0	0
2.25	0	0
?	?	?
