time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	27.82
0.04	0	28.28
0.05	0	28.68
0.06	0	28.23
0.07	0	27.24
0.08	0	28.3
0.09	0	30
0.1	0	31.33
0.11	0	33.05
0.12	0	46.7
0.13	0	60.14
0.14	109.05	66.19
0.15	109.97	69.33
0.16	110.15	72.27
0.17	109.38	74.07
0.18	110.47	75.91
0.19	110.47	77.58
0.2	110.83	77.49
0.21	110.74	76.04
0.22	112.06	75.6
0.23	112.93	76.66
0.24	113.77	78.51
0.25	114.98	81.06
0.26	114.51	82.72
0.27	114.56	83.22
0.28	114.21	83.36
0.29	113.85	83.05
0.3	113.09	82.15
0.31	112.14	81
0.32	111.06	80.09
0.33	110.25	79
0.34	106.59	77.1
0.35	106.15	74.36
0.36	107.46	70.05
0.37	109.21	63.71
0.38	0	56.87
0.39	0	53.35
0.4	0	56.32
0.41	114.21	63.13
0.42	118.73	69.46
0.43	123.05	73.83
0.44	126.29	76.23
0.45	128.93	77.13
0.46	132.62	77.55
0.47	134.41	77.94
0.48	138.18	77.9
0.49	141.92	77.32
0.5	144.85	75.83
0.51	143.61	72.25
0.52	135.46	65.65
0.53	0	61.78
0.54	0	64.9
0.55	0	67.16
0.56	0	67.71
0.57	0	66.99
0.58	0	65.3
0.59	0	62.3
0.6	0	67.5
0.61	138.29	74.96
0.62	135.73	78.03
0.63	131.87	78.99
0.64	127.04	79.4
0.65	123.13	79.89
0.66	119.97	80.38
0.67	118.07	80.65
0.68	116.63	80.85
0.69	115.75	81.05
0.7	115.44	81.42
0.71	115.28	81.92
0.72	115.1	82.2
0.73	115.72	82.33
0.74	116.42	82.64
0.75	116.49	82.85
0.76	116.57	82.78
0.77	118.29	82.45
0.78	119.94	81.32
0.79	121.15	78.7
0.8	122.12	74.47
0.81	0	68.01
0.82	0	56.49
0.83	0	35.98
0.84	0	41.03
0.85	0	53.78
0.86	0	58.06
0.87	0	55.7
0.88	0	56.46
0.89	0	63.23
0.9	120.45	66.63
0.91	116.19	67.43
0.92	115.61	65.7
0.93	0	59.9
0.94	0	50.87
0.95	0	46.4
0.96	0	44.63
0.97	0	42.69
0.98	0	40.58
0.99	0	43.26
1	0	53.48
1.01	0	62.02
1.02	0	69.5
1.03	113.31	74.34
1.04	115.2	76.82
1.05	115.59	77.63
1.06	115.55	77.56
1.07	116.45	77.75
1.08	117.77	77.68
1.09	118.52	76.36
1.1	119.27	73.65
1.11	117.28	68.71
1.12	0	62.85
1.13	0	66.37
1.14	0	68.36
1.15	0	66.1
1.16	0	61.11
1.17	0	51.85
1.18	0	36.89
1.19	0	40.08
1.2	0	53.2
1.21	0	59.58
1.22	0	68.73
1.23	119.57	75.4
1.24	120.61	77.75
1.25	119.47	78.45
1.26	118.94	79.23
1.27	118.46	80.04
1.28	117.66	80.35
1.29	117.03	80.36
1.3	116.85	80.26
1.31	117.18	80.03
1.32	117.58	79.26
1.33	117.51	77.31
1.34	117.18	73.64
1.35	116.7	67.77
1.36	0	58.77
1.37	0	43.98
1.38	0	27.38
1.39	0	33.83
1.4	0	45.8
1.41	0	49.68
1.42	0	50.68
1.43	0	58.98
1.44	0	67.83
1.45	0	71.99
1.46	109.09	73.08
1.47	107.39	72.77
1.48	105.54	71.54
1.49	0	68.09
1.5	0	59.96
1.51	0	49.13
1.52	0	45.68
1.53	0	45.03
1.54	0	45.44
1.55	0	46.17
1.56	0	46.66
1.57	0	54.61
1.58	0	64.84
1.59	113.14	71
1.6	110.69	74.73
1.61	111.67	76.33
1.62	111.6	76.41
1.63	111.56	76.54
1.64	111.74	77.17
1.65	112.49	77.45
1.66	114.58	76.83
1.67	117.23	75.11
1.68	117.6	72.23
1.69	116.74	67.38
1.7	0	61.02
1.71	0	60.69
1.72	0	62.82
1.73	0	64.46
1.74	0	64.38
1.75	0	61.77
1.76	0	56.45
1.77	0	46.78
1.78	0	35.57
1.79	0	40.22
1.8	0	48.98
1.81	0	61.35
1.82	125.96	68.76
1.83	133.08	71.17
1.84	131.97	71.64
1.85	130.95	71.31
1.86	131.56	70.69
1.87	132.82	69.82
1.88	133.33	67.65
1.89	132.7	62.96
1.9	134.39	60.43
1.91	130.24	64.32
1.92	130.09	67.64
1.93	129.67	69.32
1.94	127.97	70.09
1.95	127.71	70.33
1.96	122.82	70.22
1.97	119.96	69.67
1.98	118.71	68.21
1.99	115.62	65.68
2	113.94	62.58
2.01	110.53	59.03
2.02	106.53	55.83
2.03	0	54.81
2.04	0	55.19
2.05	102.9	57.26
2.06	101.66	60.92
2.07	100.15	64.99
2.08	96.68	68.33
2.09	93.66	70.73
2.1	91.52	72.16
2.11	90.61	72.66
2.12	87.24	72.37
2.13	85.62	71.7
2.14	83.92	70.88
2.15	84.35	70.5
2.16	82.86	70
2.17	81.95	67.65
2.18	81.09	63.49
2.19	0	57.71
2.2	0	53.82
2.21	0	53.61
2.22	0	54.27
2.23	0	53.39
2.24	0	48.25
2.25	0	43.19
2.26	0	40.99
2.27	0	38.78
2.28	0	37.04
2.29	0	34.99
2.3	0	32.67
2.31	0	31.57
2.32	0	30.95
2.33	0	30.14
2.34	0	0
2.35	0	0
2.36	0	0
