time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	30.78
0.04	0	31.49
0.05	0	29.98
0.06	0	27.42
0.07	0	26.69
0.08	0	28.26
0.09	0	29.69
0.1	0	31.44
0.11	0	41.05
0.12	0	50.51
0.13	0	55.3
0.14	129.63	58.39
0.15	127.24	63.16
0.16	128.38	66.91
0.17	131.78	69.37
0.18	134.46	71.34
0.19	134.22	72.76
0.2	133.72	74.54
0.21	133.86	76.13
0.22	135.25	77.12
0.23	136.55	77.79
0.24	136.8	77.63
0.25	137.29	76.82
0.26	137.3	75.95
0.27	136.6	74.62
0.28	132.02	71.49
0.29	129.16	67.48
0.3	131.68	66.41
0.31	134.84	67.84
0.32	138.08	69.99
0.33	140.4	71.62
0.34	142.45	72.64
0.35	143.15	73.32
0.36	141.96	73.68
0.37	140.14	73.4
0.38	136.93	71.79
0.39	132.45	67.88
0.4	124.8	61.33
0.41	0	55.03
0.42	0	54.29
0.43	121.04	59.89
0.44	124.98	66.33
0.45	128.28	70.53
0.46	130.56	72.59
0.47	132.14	73.82
0.48	132.66	75.12
0.49	132.42	75.91
0.5	131.97	75.97
0.51	131.16	75.68
0.52	131.15	75.35
0.53	132.15	75.13
0.54	132.27	75.29
0.55	132.46	75.81
0.56	133.45	76.61
0.57	134.06	77.56
0.58	134.99	78.55
0.59	135.88	79.47
0.6	136.72	80.6
0.61	136.89	81.9
0.62	136.6	82.74
0.63	136.35	83.08
0.64	136.42	83.19
0.65	136.43	83.23
0.66	136.4	82.97
0.67	136.42	82.38
0.68	136.34	81.78
0.69	136.54	80.77
0.7	136.05	79.64
0.71	135.38	78.75
0.72	135.46	78.1
0.73	135.35	77.71
0.74	135.02	77.41
0.75	135.41	77.41
0.76	136.05	77.92
0.77	136.03	78.42
0.78	135.18	78.41
0.79	133.97	77.78
0.8	132.59	76.53
0.81	130.96	74.09
0.82	127.12	70.44
0.83	122.89	67.11
0.84	121.73	66.14
0.85	122.24	67.73
0.86	126.57	70.39
0.87	128.23	72.61
0.88	127.87	73.64
0.89	127.36	73.57
0.9	127.75	72.24
0.91	123.01	69.95
0.92	122.06	65.7
0.93	116.18	58.18
0.94	0	47.76
0.95	0	47.06
0.96	0	57.11
0.97	0	60.82
0.98	0	65.29
0.99	128.46	71.58
1	128.23	74.63
1.01	127.86	75.82
1.02	127.14	75.99
1.03	126.96	76.8
1.04	127.03	78.05
1.05	127.94	78.7
1.06	128.78	78.87
1.07	129.18	79.17
1.08	129.61	79.56
1.09	130.59	80.19
1.1	131.68	80.65
1.11	133.12	80.91
1.12	133.98	81.07
1.13	134.06	80.85
1.14	133.26	79.92
1.15	131.94	77.29
1.16	0	71.37
1.17	123.26	68.53
1.18	122.8	71.4
1.19	121.4	72.33
1.2	118.73	71.82
1.21	116.12	69.94
1.22	112.3	67.51
1.23	108.99	64.72
1.24	105.04	60.9
1.25	0	55.91
1.26	0	51.71
1.27	0	50.74
1.28	0	50.44
1.29	0	49.83
1.3	0	49.12
1.31	0	48.4
1.32	0	47.72
1.33	0	47.06
1.34	0	45.67
1.35	0	43.74
1.36	0	42.24
1.37	0	41.87
1.38	0	42.95
1.39	0	44.64
1.4	0	45.18
1.41	0	45.37
1.42	0	44.89
1.43	0	44.06
1.44	0	43.08
1.45	0	42.31
1.46	0	41.41
1.47	0	40.49
1.48	0	39.99
1.49	0	38.19
1.5	0	37.13
1.51	0	36.62
1.52	0	36.56
1.53	0	36.51
1.54	0	36.87
1.55	0	37.2
1.56	0	37.38
1.57	0	37.63
1.58	0	38.18
1.59	0	37.67
1.6	0	37.46
1.61	0	37.9
1.62	0	38.29
1.63	0	38.64
1.64	0	38.46
1.65	0	38.6
1.66	0	38.97
1.67	0	38.66
1.68	0	37.97
1.69	0	37.87
1.7	0	37.93
1.71	0	37.98
1.72	0	37.63
1.73	0	37.72
1.74	0	38.46
1.75	0	38.55
1.76	0	38.27
1.77	0	37.96
1.78	0	37.48
1.79	0	37.49
1.8	0	38.02
1.81	0	38.18
1.82	0	37.7
1.83	0	37.31
1.84	0	37.79
1.85	0	38.3
1.86	0	38.33
1.87	0	37.92
1.88	0	37.96
1.89	0	37.95
1.9	0	37.6
1.91	0	37.39
1.92	0	37.68
1.93	0	37.86
1.94	0	37.61
1.95	0	37.3
1.96	0	36.97
1.97	0	36.88
1.98	0	36.78
1.99	0	37.04
2	0	37.33
2.01	0	37.59
2.02	0	37.83
2.03	0	37.66
2.04	0	37.09
2.05	0	36.7
2.06	0	36.67
2.07	0	36.91
2.08	0	36.59
2.09	0	35.9
2.1	0	35.64
2.11	0	35.19
2.12	0	34.54
2.13	0	33.77
2.14	0	33.32
2.15	0	32.99
2.16	0	33.23
2.17	0	33.99
2.18	0	34.28
2.19	0	33.98
2.2	0	33.66
2.21	0	33.94
2.22	0	34.2
2.23	0	34.69
2.24	0	35.04
2.25	0	34.85
2.26	0	34.54
2.27	0	34.32
2.28	0	34.25
2.29	0	34.06
2.3	0	34.19
2.31	0	34.1
2.32	0	33.75
2.33	0	33.16
2.34	0	32.87
2.35	0	32.95
2.36	0	32.57
2.37	0	32.21
2.38	0	32.28
2.39	0	31.8
2.4	0	31.15
2.41	0	31.51
2.42	0	31.3
2.43	0	30.91
2.44	0	30.9
2.45	0	30.38
2.46	0	0
2.47	0	0
2.48	0	0
