time	pitch	intensity
0.01	0	0
0.02	0	0
0.03	0	22.46
0.04	0	22.67
0.05	0	22.55
0.06	0	22.69
0.07	0	22.98
0.08	0	22.67
0.09	0	22.28
0.1	0	23.85
0.11	0	28.9
0.12	0	35.57
0.13	0	41.62
0.14	0	45.37
0.15	0	50.23
0.16	152.98	59.96
0.17	132.91	67.98
0.18	125.79	72.3
0.19	120.13	73.92
0.2	117.12	74.01
0.21	115.66	72.99
0.22	113.13	70.84
0.23	109.63	68.07
0.24	106.82	65.47
0.25	104.69	63.12
0.26	101.43	60.66
0.27	100.79	59.66
0.28	105.42	60.67
0.29	111	64.06
0.3	112.54	69.14
0.31	0	73.32
0.32	0	75.93
0.33	0	78.66
0.34	0	80.44
0.35	0	80.37
0.36	88.84	79.92
0.37	90.81	79.78
0.38	93.84	79.92
0.39	96.54	80.47
0.4	99.4	81.21
0.41	101.84	82.11
0.42	104.36	83.04
0.43	106.42	83.98
0.44	107.7	84.57
0.45	108.69	84.67
0.46	109.47	84.27
0.47	110.36	83.35
0.48	111.78	82.41
0.49	113.09	81.87
0.5	114.9	81.38
0.51	116.79	81.34
0.52	117.83	80.67
0.53	121.17	79.15
0.54	124.4	78.79
0.55	126.2	78.15
0.56	127.6	76.13
0.57	129.23	73.74
0.58	129.05	70.67
0.59	124.98	66.42
0.6	122.18	62.33
0.61	0	60.78
0.62	0	60.71
0.63	0	61.17
0.64	0	61.83
0.65	0	62.38
0.66	0	61.04
0.67	0	56.3
0.68	0	49.29
0.69	0	47.36
0.7	0	48.46
0.71	0	49.47
0.72	0	50.14
0.73	0	50.7
0.74	0	51.69
0.75	0	58.61
0.76	0	69.8
0.77	108.82	75.98
0.78	108.04	78.17
0.79	107.72	78.65
0.8	107.89	78.67
0.81	108.46	78.73
0.82	109.25	78.85
0.83	109.88	78.7
0.84	110.05	78.53
0.85	110.05	78.67
0.86	110.58	78.78
0.87	111.25	78.54
0.88	111.2	77.85
0.89	110.86	76.95
0.9	110.62	76.17
0.91	110.36	75.48
0.92	110.12	74.31
0.93	109.96	72.96
0.94	109.96	71.57
0.95	109.86	69.74
0.96	109.47	66.65
0.97	108.47	61.97
0.98	108.62	59.54
0.99	108.74	59.27
1	108.12	58.61
1.01	0	56.84
1.02	0	53.73
1.03	0	52.02
1.04	0	53.66
1.05	0	56.18
1.06	0	56.34
1.07	0	53.89
1.08	0	51.37
1.09	0	50.73
1.1	0	50.35
1.11	0	49.67
1.12	0	49.44
1.13	0	48.92
1.14	0	48.95
1.15	0	49.13
1.16	0	49.64
1.17	0	50.6
1.18	0	57.42
1.19	125.55	66.16
1.2	120.26	70.48
1.21	114.53	71.81
1.22	110.88	71.78
1.23	108.97	71.42
1.24	108.16	71.16
1.25	107.67	71.02
1.26	107.49	71.03
1.27	107.04	71.01
1.28	105.93	70.02
1.29	103.67	67.45
1.3	100.92	64.03
1.31	99.3	61
1.32	98.59	59.26
1.33	99.3	60.01
1.34	100.54	62.72
1.35	101.45	66.11
1.36	101.32	69.18
1.37	100.82	71.26
1.38	100.06	72.37
1.39	98.75	72.51
1.4	96.96	71.84
1.41	95.19	70.81
1.42	92.54	69.47
1.43	91.56	67.82
1.44	89.87	65.31
1.45	0	61.01
1.46	0	58.52
1.47	0	59.4
1.48	0	60.63
1.49	0	61.99
1.5	0	63.02
1.51	0	63.91
1.52	0	64.05
1.53	0	63.8
1.54	0	64.13
1.55	0	63.8
1.56	0	62.72
1.57	0	60.37
1.58	0	56.67
1.59	0	54.24
1.6	0	56.2
1.61	0	59.3
1.62	0	64.87
1.63	0	65.66
1.64	0	67.53
1.65	81.87	71.29
1.66	81.61	72.11
1.67	79.98	71.24
1.68	81.4	69.9
1.69	81.51	68.96
1.7	81.65	67.89
1.71	82.73	66.47
1.72	0	64.34
1.73	0	60.04
1.74	0	56.42
1.75	0	52.74
1.76	0	48.6
1.77	0	48.22
1.78	0	47.98
1.79	0	44.76
1.8	0	41.26
1.81	0	39.01
1.82	0	36.66
1.83	0	35.8
1.84	0	35.79
1.85	0	34.69
1.86	0	33.79
1.87	0	33.69
1.88	0	32.45
1.89	0	0
1.9	0	0
1.91	0	0
